# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_35f799d663b47001436f"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "12C(2P3/2)^+"
# neutral: "Ne"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 400 K"
# group_comment: "Excited State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "excited state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 12, M = 20.1797, &alpha; = 0.39488."
# updated: "2021-12-19 21:03:09"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_1383_neutral_38_39_40/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "dc54bc6fe0789087aea9ea1c60086e1fa4e0ac6133dd56ba65b1bb228f606557"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,8.811000000000e+20
9.000000000000e-02,8.811000000000e+20
3.600000000000e-01,8.813000000000e+20
6.300000000000e-01,8.818000000000e+20
1.100000000000e+00,8.835000000000e+20
1.540000000000e+00,8.856000000000e+20
2.160000000000e+00,8.905000000000e+20
2.590000000000e+00,8.945000000000e+20
3.110000000000e+00,9.005000000000e+20
3.570000000000e+00,9.067000000000e+20
4.100000000000e+00,9.147000000000e+20
4.720000000000e+00,9.255000000000e+20
5.420000000000e+00,9.398000000000e+20
5.960000000000e+00,9.525000000000e+20
6.550000000000e+00,9.681000000000e+20
6.870000000000e+00,9.770000000000e+20
7.210000000000e+00,9.868000000000e+20
7.560000000000e+00,9.979000000000e+20
7.940000000000e+00,1.010200000000e+21
8.330000000000e+00,1.023700000000e+21
8.740000000000e+00,1.038700000000e+21
9.170000000000e+00,1.055400000000e+21
9.610000000000e+00,1.073800000000e+21
1.008000000000e+01,1.094200000000e+21
1.058000000000e+01,1.116900000000e+21
1.109000000000e+01,1.142000000000e+21
1.131000000000e+01,1.152800000000e+21
1.153000000000e+01,1.164200000000e+21
1.175000000000e+01,1.176100000000e+21
1.198000000000e+01,1.188500000000e+21
1.221000000000e+01,1.201400000000e+21
1.244000000000e+01,1.214900000000e+21
1.268000000000e+01,1.228900000000e+21
1.293000000000e+01,1.243500000000e+21
1.318000000000e+01,1.258700000000e+21
1.343000000000e+01,1.274600000000e+21
1.369000000000e+01,1.291200000000e+21
1.395000000000e+01,1.308400000000e+21
1.422000000000e+01,1.326300000000e+21
1.449000000000e+01,1.344900000000e+21
1.477000000000e+01,1.361400000000e+21
1.505000000000e+01,1.381300000000e+21
1.533000000000e+01,1.401900000000e+21
1.563000000000e+01,1.423300000000e+21
1.592000000000e+01,1.445500000000e+21
1.622000000000e+01,1.468600000000e+21
1.653000000000e+01,1.492600000000e+21
1.684000000000e+01,1.517500000000e+21
1.716000000000e+01,1.543300000000e+21
1.748000000000e+01,1.570200000000e+21
1.781000000000e+01,1.597900000000e+21
1.814000000000e+01,1.626600000000e+21
1.848000000000e+01,1.656300000000e+21
1.882000000000e+01,1.687800000000e+21
1.917000000000e+01,1.719100000000e+21
1.953000000000e+01,1.752000000000e+21
1.989000000000e+01,1.786000000000e+21
2.026000000000e+01,1.821300000000e+21
2.064000000000e+01,1.865700000000e+21
2.102000000000e+01,1.904600000000e+21
2.141000000000e+01,1.944500000000e+21
2.180000000000e+01,1.985400000000e+21
2.220000000000e+01,2.027700000000e+21
2.260000000000e+01,2.070900000000e+21
2.302000000000e+01,2.115300000000e+21
2.343000000000e+01,2.161000000000e+21
2.386000000000e+01,2.207900000000e+21
2.564000000000e+01,2.388400000000e+21
2.610000000000e+01,2.438500000000e+21
2.658000000000e+01,2.490300000000e+21
2.706000000000e+01,2.542700000000e+21
2.755000000000e+01,2.596500000000e+21
2.805000000000e+01,2.651600000000e+21
2.856000000000e+01,2.707600000000e+21
2.908000000000e+01,2.762700000000e+21
2.961000000000e+01,2.822400000000e+21
3.070000000000e+01,2.943900000000e+21
3.425000000000e+01,3.339700000000e+21
3.488000000000e+01,3.409300000000e+21
3.554000000000e+01,3.502200000000e+21
3.757000000000e+01,3.708400000000e+21
4.055000000000e+01,4.039700000000e+21
4.134000000000e+01,4.126900000000e+21
4.215000000000e+01,4.217100000000e+21
4.299000000000e+01,4.309800000000e+21
4.385000000000e+01,4.404700000000e+21
4.473000000000e+01,4.502600000000e+21
4.657000000000e+01,4.719000000000e+21
4.853000000000e+01,4.918900000000e+21
4.955000000000e+01,5.033700000000e+21
5.060000000000e+01,5.151300000000e+21
5.513000000000e+01,5.636000000000e+21
5.636000000000e+01,5.768300000000e+21
5.762000000000e+01,5.908400000000e+21
5.892000000000e+01,6.045800000000e+21
6.026000000000e+01,6.198600000000e+21
6.165000000000e+01,6.352700000000e+21
6.307000000000e+01,6.508700000000e+21
6.455000000000e+01,6.672000000000e+21
6.607000000000e+01,6.842000000000e+21
6.763000000000e+01,7.018800000000e+21
6.925000000000e+01,7.203200000000e+21
7.092000000000e+01,7.327800000000e+21
7.264000000000e+01,7.531000000000e+21
7.441000000000e+01,7.708000000000e+21
7.624000000000e+01,7.872600000000e+21
7.813000000000e+01,8.065200000000e+21
8.007000000000e+01,8.265300000000e+21
8.208000000000e+01,8.472700000000e+21
8.414000000000e+01,8.687000000000e+21
8.627000000000e+01,8.909600000000e+21
8.847000000000e+01,9.139600000000e+21
9.073000000000e+01,9.378600000000e+21
9.306000000000e+01,9.626500000000e+21
9.546000000000e+01,9.884300000000e+21
9.794000000000e+01,1.015290000000e+22
1.004900000000e+02,1.042960000000e+22
1.031100000000e+02,1.071850000000e+22
1.058100000000e+02,1.102260000000e+22
1.086000000000e+02,1.133120000000e+22
1.114600000000e+02,1.165580000000e+22
1.144100000000e+02,1.199370000000e+22
1.174400000000e+02,1.234640000000e+22
1.205500000000e+02,1.273360000000e+22
1.270500000000e+02,1.348940000000e+22
1.304400000000e+02,1.390000000000e+22
1.339200000000e+02,1.432940000000e+22
1.374900000000e+02,1.477650000000e+22
1.411700000000e+02,1.524220000000e+22
1.449400000000e+02,1.573070000000e+22
1.488200000000e+02,1.623670000000e+22
1.527900000000e+02,1.676050000000e+22
1.568800000000e+02,1.731910000000e+22
1.610700000000e+02,1.789590000000e+22
1.653700000000e+02,1.849730000000e+22
1.697800000000e+02,1.912450000000e+22
1.743000000000e+02,1.977980000000e+22
1.789400000000e+02,2.046500000000e+22
1.837000000000e+02,2.118140000000e+22
1.885800000000e+02,2.193100000000e+22
1.935700000000e+02,2.271560000000e+22
1.986900000000e+02,2.353210000000e+22
2.039400000000e+02,2.438780000000e+22
2.093100000000e+02,2.529690000000e+22
2.148200000000e+02,2.580150000000e+22
2.204300000000e+02,2.722810000000e+22
2.262100000000e+02,2.776190000000e+22
2.321000000000e+02,2.936790000000e+22
2.381500000000e+02,2.994160000000e+22
2.443100000000e+02,3.110470000000e+22
2.506100000000e+02,3.234680000000e+22
2.570700000000e+02,3.364660000000e+22
2.636600000000e+02,3.526320000000e+22
2.843100000000e+02,4.017970000000e+22
2.914700000000e+02,4.164890000000e+22
2.987900000000e+02,4.364150000000e+22
3.062500000000e+02,4.572310000000e+22
3.138500000000e+02,4.789250000000e+22
3.216000000000e+02,5.018930000000e+22
3.294900000000e+02,5.262370000000e+22
3.375300000000e+02,5.518260000000e+22
3.457100000000e+02,5.788070000000e+22
3.540400000000e+02,6.073230000000e+22
3.625100000000e+02,6.374030000000e+22
3.711200000000e+02,6.692240000000e+22
