# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_708de11835fbcb792485"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "12C(2P3/2)^+"
# neutral: "Ne"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "Excited State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "excited state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 12, M = 20.1797, &alpha; = 0.39488."
# updated: "2021-12-19 21:03:09"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_1383_neutral_38_39_40/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "dc54bc6fe0789087aea9ea1c60086e1fa4e0ac6133dd56ba65b1bb228f606557"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,4.147000000000e+20
7.000000000000e-02,4.148000000000e+20
2.700000000000e-01,4.150000000000e+20
4.700000000000e-01,4.152000000000e+20
8.300000000000e-01,4.158000000000e+20
1.160000000000e+00,4.170000000000e+20
1.620000000000e+00,4.190000000000e+20
1.940000000000e+00,4.213000000000e+20
2.330000000000e+00,4.240000000000e+20
2.680000000000e+00,4.268000000000e+20
3.080000000000e+00,4.306000000000e+20
3.540000000000e+00,4.356000000000e+20
4.070000000000e+00,4.423000000000e+20
4.470000000000e+00,4.481000000000e+20
4.920000000000e+00,4.551000000000e+20
5.160000000000e+00,4.592000000000e+20
5.410000000000e+00,4.638000000000e+20
5.680000000000e+00,4.689000000000e+20
5.960000000000e+00,4.745000000000e+20
6.260000000000e+00,4.807000000000e+20
6.570000000000e+00,4.876000000000e+20
6.890000000000e+00,4.951000000000e+20
7.230000000000e+00,5.035000000000e+20
7.580000000000e+00,5.128000000000e+20
7.950000000000e+00,5.231000000000e+20
8.340000000000e+00,5.345000000000e+20
8.510000000000e+00,5.395000000000e+20
8.670000000000e+00,5.447000000000e+20
8.840000000000e+00,5.501000000000e+20
9.010000000000e+00,5.558000000000e+20
9.190000000000e+00,5.617000000000e+20
9.370000000000e+00,5.679000000000e+20
9.550000000000e+00,5.742000000000e+20
9.740000000000e+00,5.809000000000e+20
9.920000000000e+00,5.879000000000e+20
1.012000000000e+01,5.952000000000e+20
1.031000000000e+01,6.029000000000e+20
1.051000000000e+01,6.109000000000e+20
1.071000000000e+01,6.192000000000e+20
1.113000000000e+01,6.370000000000e+20
1.135000000000e+01,6.465000000000e+20
1.156000000000e+01,6.565000000000e+20
1.179000000000e+01,6.669000000000e+20
1.201000000000e+01,6.777000000000e+20
1.224000000000e+01,6.891000000000e+20
1.247000000000e+01,7.009000000000e+20
1.271000000000e+01,7.134000000000e+20
1.296000000000e+01,7.265000000000e+20
1.320000000000e+01,7.392000000000e+20
1.346000000000e+01,7.536000000000e+20
1.371000000000e+01,7.684000000000e+20
1.397000000000e+01,7.840000000000e+20
1.424000000000e+01,8.001000000000e+20
1.450000000000e+01,8.169000000000e+20
1.478000000000e+01,8.346000000000e+20
1.505000000000e+01,8.530000000000e+20
1.533000000000e+01,8.722000000000e+20
1.562000000000e+01,8.925000000000e+20
1.591000000000e+01,9.136000000000e+20
1.621000000000e+01,9.372000000000e+20
1.651000000000e+01,9.599000000000e+20
1.682000000000e+01,9.796000000000e+20
1.713000000000e+01,1.004400000000e+21
1.744000000000e+01,1.033700000000e+21
1.776000000000e+01,1.059000000000e+21
1.809000000000e+01,1.087400000000e+21
1.842000000000e+01,1.115800000000e+21
1.876000000000e+01,1.145000000000e+21
1.910000000000e+01,1.175300000000e+21
1.943000000000e+01,1.221700000000e+21
1.980000000000e+01,1.258200000000e+21
2.015000000000e+01,1.294300000000e+21
2.052000000000e+01,1.331800000000e+21
2.089000000000e+01,1.369600000000e+21
2.126000000000e+01,1.409800000000e+21
2.164000000000e+01,1.449900000000e+21
2.203000000000e+01,1.492100000000e+21
2.242000000000e+01,1.534900000000e+21
2.281000000000e+01,1.578500000000e+21
2.321000000000e+01,1.623400000000e+21
2.404000000000e+01,1.716300000000e+21
2.489000000000e+01,1.811900000000e+21
2.533000000000e+01,1.861700000000e+21
2.576000000000e+01,1.911400000000e+21
2.620000000000e+01,1.961100000000e+21
2.665000000000e+01,2.012400000000e+21
2.711000000000e+01,2.065600000000e+21
2.805000000000e+01,2.172000000000e+21
2.854000000000e+01,2.228900000000e+21
2.903000000000e+01,2.284500000000e+21
2.952000000000e+01,2.344600000000e+21
3.055000000000e+01,2.458100000000e+21
3.162000000000e+01,2.580100000000e+21
3.217000000000e+01,2.642700000000e+21
