# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_0976cffd8c5db2c87cba"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "13C(2P1/2)^+"
# neutral: "Ne"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 400 K"
# group_comment: "Ground State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "ground state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 13.0034, M = 20.1797, &alpha; = 0.39488."
# updated: "2021-12-19 21:19:34"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13996_neutral_38_39_40/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "ccc54c8756d8d79ed1ea115ef4b788296b3e1af906ea123951b1efb95b8549e0"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,7.521000000000e+20
1.100000000000e-01,7.521000000000e+20
4.200000000000e-01,7.523000000000e+20
7.400000000000e-01,7.528000000000e+20
1.290000000000e+00,7.542000000000e+20
1.810000000000e+00,7.562000000000e+20
2.530000000000e+00,7.602000000000e+20
3.030000000000e+00,7.637000000000e+20
3.640000000000e+00,7.689000000000e+20
4.180000000000e+00,7.745000000000e+20
4.810000000000e+00,7.818000000000e+20
5.530000000000e+00,7.917000000000e+20
6.350000000000e+00,8.053000000000e+20
6.980000000000e+00,8.169000000000e+20
7.670000000000e+00,8.310000000000e+20
8.050000000000e+00,8.398000000000e+20
8.440000000000e+00,8.491000000000e+20
8.860000000000e+00,8.599000000000e+20
9.300000000000e+00,8.719000000000e+20
9.750000000000e+00,8.852000000000e+20
1.023000000000e+01,9.002000000000e+20
1.073000000000e+01,9.170000000000e+20
1.126000000000e+01,9.361000000000e+20
1.180000000000e+01,9.583000000000e+20
1.238000000000e+01,9.840000000000e+20
1.297000000000e+01,1.012100000000e+21
1.322000000000e+01,1.024300000000e+21
1.348000000000e+01,1.037500000000e+21
1.374000000000e+01,1.051300000000e+21
1.400000000000e+01,1.062800000000e+21
1.427000000000e+01,1.075200000000e+21
1.454000000000e+01,1.090600000000e+21
1.482000000000e+01,1.106600000000e+21
1.510000000000e+01,1.125400000000e+21
1.539000000000e+01,1.143600000000e+21
1.626000000000e+01,1.213100000000e+21
1.658000000000e+01,1.238100000000e+21
1.689000000000e+01,1.263300000000e+21
1.720000000000e+01,1.290100000000e+21
1.752000000000e+01,1.318400000000e+21
1.785000000000e+01,1.348500000000e+21
1.818000000000e+01,1.380100000000e+21
1.851000000000e+01,1.413800000000e+21
1.885000000000e+01,1.449600000000e+21
1.919000000000e+01,1.487100000000e+21
1.954000000000e+01,1.526800000000e+21
1.989000000000e+01,1.568600000000e+21
2.024000000000e+01,1.612700000000e+21
2.060000000000e+01,1.659400000000e+21
2.097000000000e+01,1.708500000000e+21
2.170000000000e+01,1.812600000000e+21
2.208000000000e+01,1.871200000000e+21
2.246000000000e+01,1.930400000000e+21
2.285000000000e+01,1.992500000000e+21
2.324000000000e+01,2.057300000000e+21
2.363000000000e+01,2.124500000000e+21
2.403000000000e+01,2.198400000000e+21
2.443000000000e+01,2.259600000000e+21
2.913000000000e+01,2.769400000000e+21
2.957000000000e+01,2.859200000000e+21
3.233000000000e+01,3.335600000000e+21
3.283000000000e+01,3.393000000000e+21
3.332000000000e+01,3.488800000000e+21
3.381000000000e+01,3.580700000000e+21
3.430000000000e+01,3.664800000000e+21
3.480000000000e+01,3.775300000000e+21
3.531000000000e+01,3.878300000000e+21
3.583000000000e+01,3.979000000000e+21
3.635000000000e+01,4.103300000000e+21
4.437000000000e+01,6.033500000000e+21
4.502000000000e+01,6.174600000000e+21
4.569000000000e+01,6.316800000000e+21
4.637000000000e+01,6.471600000000e+21
4.707000000000e+01,6.625800000000e+21
4.778000000000e+01,6.792500000000e+21
4.851000000000e+01,6.956000000000e+21
4.927000000000e+01,7.129300000000e+21
5.004000000000e+01,7.314900000000e+21
5.084000000000e+01,7.499600000000e+21
5.166000000000e+01,7.690200000000e+21
5.252000000000e+01,7.891000000000e+21
5.339000000000e+01,8.098300000000e+21
5.430000000000e+01,8.310700000000e+21
5.523000000000e+01,8.529200000000e+21
5.619000000000e+01,8.750700000000e+21
5.718000000000e+01,8.982200000000e+21
5.821000000000e+01,9.225600000000e+21
5.927000000000e+01,9.474800000000e+21
6.037000000000e+01,9.733700000000e+21
6.150000000000e+01,1.000070000000e+22
6.267000000000e+01,1.028330000000e+22
6.388000000000e+01,1.055480000000e+22
6.513000000000e+01,1.085020000000e+22
6.914000000000e+01,1.170760000000e+22
8.381000000000e+01,1.382510000000e+22
8.571000000000e+01,1.381790000000e+22
8.767000000000e+01,1.438460000000e+22
8.970000000000e+01,1.504400000000e+22
9.178000000000e+01,1.561260000000e+22
9.394000000000e+01,1.615930000000e+22
9.615000000000e+01,1.669180000000e+22
9.844000000000e+01,1.726020000000e+22
1.007900000000e+02,1.783240000000e+22
1.032200000000e+02,1.836030000000e+22
1.057100000000e+02,1.899510000000e+22
1.082800000000e+02,1.960710000000e+22
1.109300000000e+02,2.024150000000e+22
1.136400000000e+02,2.089510000000e+22
1.164500000000e+02,2.156720000000e+22
1.193200000000e+02,2.228730000000e+22
1.222800000000e+02,2.301530000000e+22
1.253200000000e+02,2.376560000000e+22
1.284400000000e+02,2.454970000000e+22
1.316500000000e+02,2.536810000000e+22
1.349400000000e+02,2.621560000000e+22
1.383300000000e+02,2.709740000000e+22
1.418000000000e+02,2.802150000000e+22
1.453700000000e+02,2.897400000000e+22
1.490300000000e+02,2.996620000000e+22
1.527900000000e+02,3.100050000000e+22
1.566400000000e+02,3.207200000000e+22
1.606000000000e+02,3.319290000000e+22
1.646500000000e+02,3.435880000000e+22
1.687800000000e+02,3.555160000000e+22
1.730700000000e+02,3.682380000000e+22
1.774500000000e+02,3.849850000000e+22
1.819100000000e+02,3.955720000000e+22
1.865200000000e+02,4.093520000000e+22
1.912400000000e+02,4.244390000000e+22
1.960600000000e+02,4.400060000000e+22
2.010000000000e+02,4.561200000000e+22
2.060600000000e+02,4.731280000000e+22
2.112500000000e+02,4.909660000000e+22
2.165800000000e+02,5.089970000000e+22
2.220100000000e+02,5.290660000000e+22
2.275900000000e+02,5.485240000000e+22
2.333100000000e+02,5.700150000000e+22
2.391600000000e+02,5.936080000000e+22
2.512800000000e+02,6.305660000000e+22
2.640000000000e+02,6.787260000000e+22
2.773300000000e+02,7.321210000000e+22
2.913100000000e+02,7.920110000000e+22
3.059400000000e+02,8.506320000000e+22
3.212800000000e+02,9.211750000000e+22
3.456600000000e+02,9.607280000000e+22
3.541700000000e+02,9.965300000000e+22
3.628800000000e+02,1.019370000000e+23
3.717800000000e+02,1.057530000000e+23
3.808900000000e+02,1.097310000000e+23
3.902100000000e+02,1.138760000000e+23
3.997500000000e+02,1.181790000000e+23
4.095100000000e+02,1.226540000000e+23
4.194800000000e+02,1.273050000000e+23
4.296900000000e+02,1.321280000000e+23
4.401300000000e+02,1.371440000000e+23
