# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_c4a4d7d997536d03ebc8"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "70Ge^+(2P3/2)"
# neutral: "Ne"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 20.1797, &alpha; = 0.39488."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14056_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "455027430317d211af01cd4de91f2115444a4408122c68bc7bc38f9a3457d899"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,1.365000000000e+20
7.000000000000e-02,1.365000000000e+20
2.900000000000e-01,1.366000000000e+20
5.100000000000e-01,1.366000000000e+20
8.900000000000e-01,1.369000000000e+20
1.240000000000e+00,1.373000000000e+20
1.740000000000e+00,1.380000000000e+20
2.090000000000e+00,1.387000000000e+20
2.500000000000e+00,1.396000000000e+20
2.880000000000e+00,1.406000000000e+20
3.310000000000e+00,1.419000000000e+20
3.810000000000e+00,1.437000000000e+20
4.370000000000e+00,1.461000000000e+20
4.810000000000e+00,1.481000000000e+20
5.290000000000e+00,1.505000000000e+20
5.550000000000e+00,1.520000000000e+20
5.830000000000e+00,1.536000000000e+20
6.120000000000e+00,1.554000000000e+20
6.420000000000e+00,1.573000000000e+20
6.740000000000e+00,1.595000000000e+20
7.080000000000e+00,1.619000000000e+20
7.430000000000e+00,1.645000000000e+20
7.790000000000e+00,1.674000000000e+20
8.180000000000e+00,1.706000000000e+20
8.580000000000e+00,1.742000000000e+20
9.010000000000e+00,1.781000000000e+20
9.180000000000e+00,1.799000000000e+20
9.370000000000e+00,1.817000000000e+20
1.013000000000e+01,1.896000000000e+20
1.032000000000e+01,1.918000000000e+20
1.073000000000e+01,1.965000000000e+20
1.095000000000e+01,1.989000000000e+20
1.116000000000e+01,2.015000000000e+20
1.138000000000e+01,2.042000000000e+20
1.160000000000e+01,2.070000000000e+20
1.183000000000e+01,2.100000000000e+20
1.206000000000e+01,2.130000000000e+20
1.229000000000e+01,2.162000000000e+20
1.253000000000e+01,2.195000000000e+20
1.278000000000e+01,2.230000000000e+20
1.303000000000e+01,2.266000000000e+20
1.328000000000e+01,2.303000000000e+20
1.407000000000e+01,2.426000000000e+20
1.435000000000e+01,2.470000000000e+20
