# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_47dc26af8749107cf4c8"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P)"
# neutral: "Ne"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 20.1797, &alpha; = 0.39488."
# updated: "2022-02-26 11:15:21"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14060_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "c105f0a582c6973b30afb6fc22567706f0840e78e78539a5711cf55f58c81c20"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,1.636118494529e+22
1.000000000000e-01,1.636118494529e+22
3.900000000000e-01,1.636145010987e+22
1.200000000000e+00,1.636330626194e+22
1.680000000000e+00,1.636569274316e+22
2.350000000000e+00,1.636993537645e+22
2.820000000000e+00,1.637364768058e+22
3.380000000000e+00,1.637921613677e+22
3.890000000000e+00,1.638504975754e+22
4.470000000000e+00,1.639273953037e+22
5.140000000000e+00,1.640281578443e+22
5.900000000000e+00,1.641607401345e+22
6.490000000000e+00,1.642747609042e+22
7.130000000000e+00,1.644126464860e+22
7.490000000000e+00,1.644948475060e+22
7.860000000000e+00,1.645876551091e+22
8.250000000000e+00,1.646857660039e+22
8.650000000000e+00,1.647918318361e+22
9.080000000000e+00,1.649085042515e+22
9.530000000000e+00,1.650384348960e+22
9.990000000000e+00,1.651789721236e+22
1.048000000000e+01,1.653354192261e+22
1.153000000000e+01,1.656907397640e+22
1.233000000000e+01,1.659824208025e+22
1.257000000000e+01,1.660725767599e+22
1.281000000000e+01,1.661653843630e+22
1.306000000000e+01,1.662634952578e+22
1.332000000000e+01,1.663642577984e+22
1.358000000000e+01,1.664597170474e+22
1.384000000000e+01,1.665657828796e+22
1.411000000000e+01,1.666798036492e+22
1.438000000000e+01,1.667938244188e+22
1.466000000000e+01,1.669104968342e+22
1.494000000000e+01,1.670324725412e+22
1.522000000000e+01,1.671703581231e+22
1.552000000000e+01,1.673029404133e+22
1.581000000000e+01,1.674381743494e+22
1.612000000000e+01,1.675760599312e+22
1.643000000000e+01,1.677112938673e+22
1.674000000000e+01,1.678730442614e+22
1.706000000000e+01,1.680347946555e+22
1.738000000000e+01,1.681938934038e+22
1.771000000000e+01,1.683582954437e+22
1.805000000000e+01,1.685306524210e+22
1.839000000000e+01,1.687030093983e+22
1.874000000000e+01,1.688806696672e+22
1.945000000000e+01,1.692465967883e+22
1.982000000000e+01,1.694322119947e+22
2.019000000000e+01,1.696310854300e+22
2.095000000000e+01,1.700606520504e+22
2.134000000000e+01,1.702727837148e+22
2.174000000000e+01,1.704902186708e+22
2.214000000000e+01,1.707129569184e+22
2.256000000000e+01,1.709409984576e+22
2.297000000000e+01,1.711743432885e+22
2.383000000000e+01,1.716516395333e+22
2.427000000000e+01,1.718955909474e+22
2.472000000000e+01,1.721448456531e+22
2.517000000000e+01,1.723967520045e+22
2.564000000000e+01,1.726539616476e+22
2.611000000000e+01,1.729138229365e+22
2.658000000000e+01,1.731763358712e+22
2.707000000000e+01,1.734415004516e+22
2.757000000000e+01,1.737093166779e+22
2.807000000000e+01,1.739771329042e+22
2.858000000000e+01,1.742476007763e+22
2.963000000000e+01,1.747911881663e+22
3.017000000000e+01,1.750616560384e+22
3.072000000000e+01,1.753135623899e+22
3.128000000000e+01,1.755840302620e+22
3.185000000000e+01,1.758518464883e+22
3.243000000000e+01,1.761170110688e+22
3.302000000000e+01,1.763795240035e+22
3.363000000000e+01,1.766420369381e+22
3.487000000000e+01,1.771511529327e+22
3.616000000000e+01,1.776151909485e+22
3.683000000000e+01,1.778670973000e+22
3.965000000000e+01,1.786891074995e+22
4.039000000000e+01,1.788747227058e+22
4.115000000000e+01,1.790391247457e+22
4.194000000000e+01,1.792061784315e+22
4.274000000000e+01,1.793546705965e+22
4.356000000000e+01,1.794846012410e+22
4.527000000000e+01,1.796887779679e+22
4.615000000000e+01,1.797630240505e+22
4.707000000000e+01,1.798160569666e+22
4.801000000000e+01,1.798478767162e+22
