# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_276806ffaa026f0f6513"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "72Ge^+(2P3/2)"
# neutral: "Ne"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 20.1797, &alpha; = 0.39488."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14064_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "ae4c3d464369eeefce3369239dfefc1b580b903f8117040d3811563144eb419a"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,2.833000000000e+20
1.000000000000e-01,2.833000000000e+20
4.000000000000e-01,2.833000000000e+20
6.900000000000e-01,2.835000000000e+20
1.210000000000e+00,2.840000000000e+20
1.690000000000e+00,2.847000000000e+20
2.370000000000e+00,2.862000000000e+20
2.850000000000e+00,2.877000000000e+20
3.410000000000e+00,2.896000000000e+20
3.930000000000e+00,2.916000000000e+20
4.510000000000e+00,2.943000000000e+20
5.190000000000e+00,2.979000000000e+20
5.960000000000e+00,3.026000000000e+20
6.560000000000e+00,3.067000000000e+20
7.210000000000e+00,3.116000000000e+20
7.570000000000e+00,3.145000000000e+20
7.950000000000e+00,3.178000000000e+20
8.340000000000e+00,3.213000000000e+20
8.760000000000e+00,3.253000000000e+20
9.190000000000e+00,3.296000000000e+20
9.650000000000e+00,3.344000000000e+20
1.012000000000e+01,3.397000000000e+20
1.063000000000e+01,3.456000000000e+20
1.115000000000e+01,3.521000000000e+20
1.170000000000e+01,3.592000000000e+20
1.228000000000e+01,3.672000000000e+20
1.252000000000e+01,3.706000000000e+20
1.277000000000e+01,3.742000000000e+20
1.302000000000e+01,3.779000000000e+20
1.328000000000e+01,3.819000000000e+20
1.354000000000e+01,3.859000000000e+20
1.381000000000e+01,3.902000000000e+20
1.408000000000e+01,3.946000000000e+20
1.436000000000e+01,3.992000000000e+20
1.464000000000e+01,4.040000000000e+20
1.493000000000e+01,4.090000000000e+20
1.522000000000e+01,4.142000000000e+20
1.552000000000e+01,4.196000000000e+20
1.582000000000e+01,4.252000000000e+20
1.613000000000e+01,4.311000000000e+20
1.645000000000e+01,4.373000000000e+20
1.677000000000e+01,4.437000000000e+20
1.777000000000e+01,4.645000000000e+20
1.812000000000e+01,4.719000000000e+20
1.883000000000e+01,4.881000000000e+20
1.957000000000e+01,5.052000000000e+20
1.995000000000e+01,5.144000000000e+20
2.034000000000e+01,5.240000000000e+20
2.073000000000e+01,5.340000000000e+20
2.113000000000e+01,5.444000000000e+20
2.154000000000e+01,5.552000000000e+20
2.196000000000e+01,5.664000000000e+20
2.238000000000e+01,5.781000000000e+20
2.282000000000e+01,5.903000000000e+20
2.326000000000e+01,6.029000000000e+20
2.370000000000e+01,6.161000000000e+20
2.416000000000e+01,6.297000000000e+20
2.463000000000e+01,6.439000000000e+20
2.510000000000e+01,6.586000000000e+20
2.558000000000e+01,6.739000000000e+20
2.607000000000e+01,6.897000000000e+20
2.657000000000e+01,7.061000000000e+20
2.708000000000e+01,7.231000000000e+20
2.760000000000e+01,7.409000000000e+20
2.813000000000e+01,7.591000000000e+20
2.866000000000e+01,7.780000000000e+20
2.921000000000e+01,7.979000000000e+20
2.977000000000e+01,8.177000000000e+20
3.034000000000e+01,8.386000000000e+20
3.091000000000e+01,8.594000000000e+20
3.151000000000e+01,8.816000000000e+20
3.211000000000e+01,9.043000000000e+20
3.272000000000e+01,9.276000000000e+20
3.334000000000e+01,9.516000000000e+20
3.398000000000e+01,9.765000000000e+20
3.463000000000e+01,1.001600000000e+21
3.529000000000e+01,1.027700000000e+21
3.596000000000e+01,1.055100000000e+21
3.807000000000e+01,1.137500000000e+21
3.955000000000e+01,1.186000000000e+21
4.109000000000e+01,1.257100000000e+21
4.354000000000e+01,1.354200000000e+21
4.440000000000e+01,1.385000000000e+21
4.527000000000e+01,1.417500000000e+21
4.617000000000e+01,1.449400000000e+21
4.709000000000e+01,1.483300000000e+21
4.803000000000e+01,1.520300000000e+21
4.900000000000e+01,1.558100000000e+21
4.999000000000e+01,1.597700000000e+21
5.101000000000e+01,1.638400000000e+21
5.205000000000e+01,1.680500000000e+21
5.313000000000e+01,1.725000000000e+21
5.774000000000e+01,1.809800000000e+21
6.026000000000e+01,1.933700000000e+21
6.294000000000e+01,2.010700000000e+21
6.434000000000e+01,2.024900000000e+21
6.727000000000e+01,2.127600000000e+21
6.881000000000e+01,2.146200000000e+21
7.040000000000e+01,2.204700000000e+21
7.204000000000e+01,2.227300000000e+21
7.548000000000e+01,2.307100000000e+21
7.729000000000e+01,2.351200000000e+21
7.915000000000e+01,2.415400000000e+21
8.108000000000e+01,2.465400000000e+21
8.307000000000e+01,2.514900000000e+21
8.726000000000e+01,2.588600000000e+21
8.946000000000e+01,2.644100000000e+21
9.408000000000e+01,2.737800000000e+21
9.650000000000e+01,2.792600000000e+21
9.901000000000e+01,2.832500000000e+21
1.016000000000e+02,2.897200000000e+21
1.042700000000e+02,2.946100000000e+21
1.070300000000e+02,3.010400000000e+21
1.098900000000e+02,3.073800000000e+21
1.158800000000e+02,3.201400000000e+21
1.190200000000e+02,3.268500000000e+21
1.222700000000e+02,3.336400000000e+21
1.256100000000e+02,3.405300000000e+21
1.290700000000e+02,3.483300000000e+21
1.326400000000e+02,3.557500000000e+21
1.363200000000e+02,3.631400000000e+21
1.402400000000e+02,3.716900000000e+21
1.440300000000e+02,3.784600000000e+21
1.480700000000e+02,3.940400000000e+21
1.565400000000e+02,4.117900000000e+21
1.609600000000e+02,4.214100000000e+21
1.702100000000e+02,4.414700000000e+21
1.750500000000e+02,4.531600000000e+21
1.800400000000e+02,4.651000000000e+21
1.851700000000e+02,4.776900000000e+21
1.904600000000e+02,4.903400000000e+21
1.959100000000e+02,4.973100000000e+21
2.015300000000e+02,5.263500000000e+21
2.072300000000e+02,5.403300000000e+21
2.131800000000e+02,5.529400000000e+21
2.193100000000e+02,5.700000000000e+21
2.256000000000e+02,5.863400000000e+21
2.320800000000e+02,6.044900000000e+21
2.387200000000e+02,6.236300000000e+21
2.672600000000e+02,7.032800000000e+21
2.749100000000e+02,7.343300000000e+21
2.827500000000e+02,7.632800000000e+21
3.250200000000e+02,8.719400000000e+21
3.634200000000e+02,9.737100000000e+21
3.737900000000e+02,1.015840000000e+22
3.950800000000e+02,1.066170000000e+22
4.171000000000e+02,1.170480000000e+22
4.287000000000e+02,1.186290000000e+22
4.405000000000e+02,1.251780000000e+22
4.526300000000e+02,1.282580000000e+22
4.650500000000e+02,1.291010000000e+22
