# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_b4ee020e0205539a3d5a"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P3/2)"
# neutral: "Ne"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 20.1797, &alpha; = 0.39488."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14064_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "a703d73199088c61984dfdca70e9b1fed9e9b3a25b252c6574daeed8a369ca25"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,1.558876052233e+22
7.000000000000e-02,1.558876052233e+22
2.900000000000e-01,1.558902568691e+22
5.100000000000e-01,1.558929085149e+22
8.900000000000e-01,1.559008634523e+22
1.250000000000e+00,1.559114700356e+22
1.740000000000e+00,1.559326832020e+22
2.090000000000e+00,1.559512447226e+22
2.510000000000e+00,1.559777611807e+22
2.890000000000e+00,1.560069292845e+22
3.320000000000e+00,1.560467039716e+22
3.820000000000e+00,1.560944335961e+22
4.390000000000e+00,1.561607247412e+22
4.830000000000e+00,1.562190609489e+22
5.310000000000e+00,1.562853520940e+22
5.570000000000e+00,1.563251267811e+22
5.850000000000e+00,1.563702047598e+22
6.140000000000e+00,1.564179343843e+22
6.440000000000e+00,1.564709673004e+22
6.760000000000e+00,1.565266518623e+22
7.100000000000e+00,1.565902913616e+22
7.450000000000e+00,1.566592341525e+22
7.820000000000e+00,1.567361318809e+22
8.200000000000e+00,1.568183329008e+22
8.610000000000e+00,1.569084888582e+22
9.030000000000e+00,1.570092513988e+22
9.210000000000e+00,1.570516777317e+22
9.390000000000e+00,1.570967557103e+22
1.036000000000e+01,1.573327521870e+22
1.077000000000e+01,1.574361663734e+22
1.119000000000e+01,1.575634453720e+22
1.141000000000e+01,1.576270848713e+22
1.164000000000e+01,1.576907243706e+22
1.187000000000e+01,1.577596671616e+22
1.210000000000e+01,1.578312615983e+22
1.233000000000e+01,1.579002043892e+22
1.257000000000e+01,1.579717988259e+22
1.282000000000e+01,1.580486965543e+22
1.307000000000e+01,1.581255942826e+22
1.332000000000e+01,1.582051436568e+22
1.412000000000e+01,1.584411401334e+22
1.554000000000e+01,1.589290429615e+22
1.584000000000e+01,1.590324571479e+22
1.615000000000e+01,1.591358713343e+22
1.646000000000e+01,1.592445888123e+22
1.678000000000e+01,1.593559579361e+22
1.710000000000e+01,1.594699787057e+22
1.743000000000e+01,1.595893027669e+22
1.776000000000e+01,1.597059751823e+22
1.810000000000e+01,1.598306025352e+22
1.845000000000e+01,1.599552298880e+22
1.881000000000e+01,1.600851605324e+22
1.917000000000e+01,1.602230461143e+22
1.953000000000e+01,1.603609316961e+22
1.990000000000e+01,1.605014689238e+22
2.028000000000e+01,1.606446577973e+22
2.107000000000e+01,1.609389904816e+22
2.147000000000e+01,1.610901342925e+22
2.187000000000e+01,1.612439297492e+22
2.229000000000e+01,1.614030284975e+22
2.271000000000e+01,1.615700821832e+22
2.314000000000e+01,1.617344842231e+22
2.403000000000e+01,1.620791981777e+22
2.448000000000e+01,1.622568584466e+22
2.494000000000e+01,1.624398220072e+22
2.589000000000e+01,1.628004458366e+22
2.638000000000e+01,1.630046225636e+22
2.687000000000e+01,1.631981927074e+22
2.788000000000e+01,1.636091978071e+22
2.893000000000e+01,1.640175512611e+22
3.002000000000e+01,1.644497695273e+22
3.058000000000e+01,1.646565979001e+22
3.115000000000e+01,1.648713812103e+22
3.172000000000e+01,1.650914678121e+22
3.231000000000e+01,1.653115544139e+22
3.291000000000e+01,1.655263377241e+22
3.352000000000e+01,1.657464243259e+22
3.414000000000e+01,1.659691625735e+22
3.541000000000e+01,1.663907742565e+22
3.809000000000e+01,1.672552107888e+22
4.099000000000e+01,1.679976716142e+22
4.253000000000e+01,1.683423855688e+22
4.333000000000e+01,1.685147425462e+22
4.414000000000e+01,1.686738412945e+22
4.851000000000e+01,1.693102362876e+22
4.945000000000e+01,1.693924373076e+22
5.041000000000e+01,1.694640317443e+22
5.140000000000e+01,1.695170646604e+22
5.243000000000e+01,1.695488844101e+22
5.347000000000e+01,1.695621426391e+22
5.455000000000e+01,1.695435811185e+22
5.681000000000e+01,1.694640317443e+22
5.799000000000e+01,1.693818307244e+22
5.921000000000e+01,1.692704616006e+22
6.047000000000e+01,1.691193177897e+22
6.177000000000e+01,1.689761289162e+22
6.311000000000e+01,1.688011202931e+22
6.449000000000e+01,1.685677754623e+22
6.592000000000e+01,1.682893526528e+22
6.740000000000e+01,1.679658518646e+22
6.893000000000e+01,1.676211379099e+22
7.051000000000e+01,1.672339976224e+22
7.214000000000e+01,1.668097342936e+22
7.383000000000e+01,1.663006182991e+22
7.739000000000e+01,1.652956445390e+22
7.926000000000e+01,1.647096308162e+22
8.119000000000e+01,1.641501335513e+22
8.319000000000e+01,1.635057836207e+22
8.526000000000e+01,1.627606711496e+22
8.962000000000e+01,1.612624912698e+22
9.191000000000e+01,1.605226820902e+22
9.927000000000e+01,1.579824054092e+22
1.018900000000e+02,1.570569810233e+22
1.132700000000e+02,1.534533943744e+22
1.228300000000e+02,1.501547469932e+22
1.262400000000e+02,1.490171909429e+22
1.297600000000e+02,1.479485776835e+22
1.333800000000e+02,1.468428413829e+22
1.409700000000e+02,1.445889424487e+22
2.344500000000e+02,1.243118069788e+22
3.673600000000e+02,1.087015681254e+22
3.780500000000e+02,1.078079634892e+22
3.885900000000e+02,1.069567851858e+22
3.996400000000e+02,1.060684838412e+22
4.106700000000e+02,1.052570802249e+22
4.220500000000e+02,1.044483282544e+22
4.337800000000e+02,1.036501828671e+22
4.457700000000e+02,1.028652957089e+22
4.580600000000e+02,1.020963184254e+22
4.706500000000e+02,1.013379477252e+22
