# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_edff609c5e4c4ddb5079"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P3/2)"
# neutral: "Ne"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 20.1797, &alpha; = 0.39488."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14064_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "a703d73199088c61984dfdca70e9b1fed9e9b3a25b252c6574daeed8a369ca25"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,1.622329936344e+22
1.000000000000e-01,1.622329936344e+22
4.000000000000e-01,1.622356452802e+22
6.900000000000e-01,1.622382969260e+22
1.210000000000e+00,1.622436002176e+22
1.690000000000e+00,1.622542068008e+22
2.370000000000e+00,1.622754199673e+22
2.850000000000e+00,1.622966331337e+22
3.410000000000e+00,1.623231495918e+22
3.930000000000e+00,1.623523176956e+22
4.510000000000e+00,1.623894407369e+22
5.190000000000e+00,1.624371703614e+22
5.960000000000e+00,1.625034615065e+22
6.560000000000e+00,1.625591460684e+22
7.210000000000e+00,1.626254372135e+22
7.570000000000e+00,1.626652119006e+22
7.950000000000e+00,1.627049865877e+22
8.340000000000e+00,1.627553678580e+22
8.760000000000e+00,1.628030974824e+22
9.190000000000e+00,1.628614336902e+22
9.650000000000e+00,1.629224215437e+22
1.012000000000e+01,1.629913643346e+22
1.063000000000e+01,1.630656104171e+22
1.115000000000e+01,1.631478114371e+22
1.170000000000e+01,1.632379673944e+22
1.228000000000e+01,1.633360782892e+22
1.252000000000e+01,1.633785046221e+22
1.277000000000e+01,1.634235826008e+22
1.302000000000e+01,1.634686605795e+22
1.328000000000e+01,1.635163902040e+22
1.354000000000e+01,1.635641198284e+22
1.381000000000e+01,1.636145010987e+22
1.408000000000e+01,1.636648823690e+22
1.436000000000e+01,1.637179152851e+22
1.464000000000e+01,1.637762514928e+22
1.493000000000e+01,1.638319360547e+22
1.522000000000e+01,1.638929239083e+22
1.552000000000e+01,1.639512601160e+22
1.582000000000e+01,1.640148996153e+22
1.613000000000e+01,1.640785391146e+22
1.645000000000e+01,1.641448302597e+22
1.677000000000e+01,1.642137730506e+22
1.777000000000e+01,1.644444662357e+22
