# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_dd44976d1bebcff58bba"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "73Ge^+(2P1/2)"
# neutral: "Ne"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 72.9235, M = 20.1797, &alpha; = 0.39488."
# updated: "2022-01-01 15:59:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14068_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "cc139ac52122b34b168e55f903fa3e445ba1b00bc5256da9a3019c9a42123f28"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,1.482694268259e+22
8.000000000000e-02,1.482694268259e+22
3.100000000000e-01,1.482694268259e+22
5.400000000000e-01,1.482800334091e+22
9.400000000000e-01,1.482853367007e+22
1.310000000000e+00,1.483038982213e+22
1.830000000000e+00,1.483357179710e+22
2.200000000000e+00,1.483648860749e+22
2.640000000000e+00,1.484073124077e+22
3.040000000000e+00,1.484523903864e+22
3.490000000000e+00,1.485107265941e+22
4.010000000000e+00,1.485929276141e+22
4.610000000000e+00,1.486989934463e+22
5.070000000000e+00,1.487918010494e+22
5.570000000000e+00,1.489058218191e+22
5.850000000000e+00,1.489747646100e+22
6.140000000000e+00,1.490490106925e+22
6.440000000000e+00,1.491338633583e+22
6.760000000000e+00,1.492266709614e+22
7.090000000000e+00,1.493300851478e+22
7.440000000000e+00,1.494467575632e+22
7.800000000000e+00,1.495766882077e+22
8.190000000000e+00,1.497198770812e+22
8.590000000000e+00,1.498816274752e+22
9.010000000000e+00,1.500619393900e+22
9.450000000000e+00,1.502634644712e+22
9.630000000000e+00,1.503509687827e+22
9.820000000000e+00,1.504437763859e+22
1.001000000000e+01,1.505418872807e+22
1.020000000000e+01,1.506426498212e+22
1.040000000000e+01,1.507487156534e+22
1.060000000000e+01,1.508786462979e+22
1.080000000000e+01,1.509979703591e+22
1.101000000000e+01,1.511199460661e+22
1.122000000000e+01,1.512472250648e+22
1.144000000000e+01,1.513798073550e+22
1.166000000000e+01,1.515203445827e+22
1.188000000000e+01,1.516688367477e+22
1.211000000000e+01,1.518226322044e+22
1.234000000000e+01,1.519843825985e+22
1.257000000000e+01,1.521540879300e+22
1.281000000000e+01,1.523317481990e+22
1.305000000000e+01,1.525173634053e+22
1.329000000000e+01,1.527109335491e+22
1.354000000000e+01,1.529151102760e+22
1.380000000000e+01,1.531325452320e+22
1.405000000000e+01,1.533579351255e+22
1.432000000000e+01,1.535912799563e+22
1.458000000000e+01,1.538405346619e+22
1.484000000000e+01,1.541110025340e+22
1.512000000000e+01,1.543788187603e+22
1.626000000000e+01,1.555216781022e+22
1.744000000000e+01,1.570543293775e+22
1.774000000000e+01,1.574573795398e+22
1.805000000000e+01,1.578869461602e+22
1.836000000000e+01,1.582952996141e+22
1.868000000000e+01,1.587566859842e+22
1.932000000000e+01,1.597192334114e+22
1.964000000000e+01,1.602416076349e+22
2.029000000000e+01,1.613234791233e+22
2.063000000000e+01,1.618882796798e+22
2.096000000000e+01,1.624636868194e+22
2.130000000000e+01,1.630603071255e+22
2.164000000000e+01,1.636781405981e+22
2.198000000000e+01,1.643039290080e+22
2.233000000000e+01,1.648899427309e+22
2.268000000000e+01,1.655555058279e+22
2.302000000000e+01,1.662741018410e+22
2.337000000000e+01,1.669794396251e+22
2.372000000000e+01,1.676953839925e+22
2.408000000000e+01,1.684007217766e+22
2.444000000000e+01,1.691405309561e+22
2.480000000000e+01,1.698803401357e+22
2.516000000000e+01,1.706360591901e+22
2.554000000000e+01,1.713599584948e+22
2.591000000000e+01,1.721421940072e+22
2.627000000000e+01,1.729933723106e+22
2.665000000000e+01,1.738047759269e+22
2.703000000000e+01,1.746135278974e+22
2.741000000000e+01,1.754726611382e+22
2.780000000000e+01,1.763238394415e+22
2.819000000000e+01,1.771935792656e+22
2.858000000000e+01,1.780633190896e+22
2.898000000000e+01,1.789622270174e+22
2.938000000000e+01,1.798690898827e+22
2.979000000000e+01,1.807892109770e+22
3.021000000000e+01,1.817199386545e+22
3.063000000000e+01,1.826586212694e+22
3.148000000000e+01,1.845810644780e+22
3.193000000000e+01,1.855277020303e+22
3.238000000000e+01,1.864982043949e+22
3.283000000000e+01,1.874793133427e+22
3.330000000000e+01,1.885638364769e+22
3.368000000000e+01,1.892744775526e+22
3.476000000000e+01,1.913931425507e+22
3.526000000000e+01,1.922947021244e+22
3.632000000000e+01,1.942383584993e+22
3.687000000000e+01,1.951399180730e+22
3.861000000000e+01,1.977199694412e+22
3.922000000000e+01,1.985048565994e+22
3.986000000000e+01,1.993136085699e+22
4.051000000000e+01,2.000613726869e+22
4.119000000000e+01,2.008276983245e+22
4.415000000000e+01,2.035535902119e+22
4.667000000000e+01,2.050756349039e+22
4.757000000000e+01,2.054070906295e+22
4.852000000000e+01,2.056086157107e+22
4.949000000000e+01,2.057677144590e+22
5.051000000000e+01,2.058525671247e+22
5.156000000000e+01,2.058817352286e+22
5.266000000000e+01,2.058472638331e+22
7.504000000000e+01,1.969722053242e+22
7.701000000000e+01,1.961316336040e+22
7.906000000000e+01,1.951027950317e+22
8.559000000000e+01,1.913931425507e+22
8.792000000000e+01,1.900858811689e+22
9.034000000000e+01,1.886725539549e+22
9.548000000000e+01,1.859042357346e+22
1.008200000000e+02,1.830749296608e+22
1.036900000000e+02,1.817066804255e+22
1.128500000000e+02,1.773022967436e+22
1.160600000000e+02,1.758412399051e+22
1.194000000000e+02,1.742529040679e+22
1.228500000000e+02,1.728793515410e+22
1.264200000000e+02,1.713705650780e+22
1.377800000000e+02,1.668309474601e+22
1.459600000000e+02,1.639194403663e+22
1.502700000000e+02,1.624769450484e+22
1.546800000000e+02,1.609389904816e+22
1.592400000000e+02,1.594514171851e+22
1.639300000000e+02,1.579108109724e+22
2.008700000000e+02,1.480493402241e+22
2.130200000000e+02,1.452863252954e+22
2.192900000000e+02,1.439233793517e+22
2.257700000000e+02,1.427036222814e+22
2.324700000000e+02,1.412399137971e+22
2.392700000000e+02,1.399167425405e+22
2.463000000000e+02,1.386598624290e+22
2.535600000000e+02,1.373791175052e+22
2.610200000000e+02,1.361142824563e+22
2.765600000000e+02,1.336270386913e+22
2.846800000000e+02,1.324178882043e+22
2.930300000000e+02,1.312113893631e+22
3.016100000000e+02,1.300234520425e+22
3.104300000000e+02,1.288487729509e+22
3.194900000000e+02,1.276900037342e+22
3.288000000000e+02,1.265471443923e+22
3.384500000000e+02,1.254122399878e+22
3.482600000000e+02,1.243012003955e+22
3.583700000000e+02,1.232007673865e+22
3.687100000000e+02,1.221162442523e+22
5.797300000000e+02,1.065908580647e+22
6.651800000000e+02,1.027433200018e+22
7.032400000000e+02,1.010860413738e+22
7.437600000000e+02,9.943936932894e+21
