# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_f6ddba9a0d3490ca7b09"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "73Ge^+(2P1/2)"
# neutral: "Ne"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 72.9235, M = 20.1797, &alpha; = 0.39488."
# updated: "2022-01-01 15:59:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14068_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "6e3fe77e37cf9523d1aab08edaafefe27004ce48f1e4efd482f0f509f09fd0d8"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,2.913000000000e+20
1.000000000000e-01,2.913000000000e+20
3.800000000000e-01,2.914000000000e+20
6.700000000000e-01,2.916000000000e+20
1.180000000000e+00,2.922000000000e+20
1.650000000000e+00,2.932000000000e+20
2.310000000000e+00,2.949000000000e+20
2.770000000000e+00,2.968000000000e+20
3.320000000000e+00,2.992000000000e+20
3.810000000000e+00,3.018000000000e+20
4.380000000000e+00,3.053000000000e+20
5.030000000000e+00,3.098000000000e+20
5.770000000000e+00,3.154000000000e+20
6.340000000000e+00,3.212000000000e+20
6.970000000000e+00,3.277000000000e+20
7.310000000000e+00,3.317000000000e+20
7.660000000000e+00,3.360000000000e+20
8.040000000000e+00,3.408000000000e+20
8.430000000000e+00,3.461000000000e+20
8.840000000000e+00,3.521000000000e+20
9.270000000000e+00,3.587000000000e+20
9.710000000000e+00,3.662000000000e+20
1.018000000000e+01,3.745000000000e+20
1.067000000000e+01,3.838000000000e+20
1.117000000000e+01,3.941000000000e+20
1.170000000000e+01,4.057000000000e+20
1.192000000000e+01,4.108000000000e+20
1.215000000000e+01,4.162000000000e+20
1.238000000000e+01,4.218000000000e+20
1.261000000000e+01,4.276000000000e+20
1.285000000000e+01,4.338000000000e+20
1.309000000000e+01,4.402000000000e+20
1.333000000000e+01,4.470000000000e+20
1.358000000000e+01,4.541000000000e+20
1.383000000000e+01,4.615000000000e+20
1.409000000000e+01,4.692000000000e+20
1.435000000000e+01,4.774000000000e+20
1.461000000000e+01,4.860000000000e+20
1.488000000000e+01,4.949000000000e+20
1.515000000000e+01,5.043000000000e+20
1.543000000000e+01,5.141000000000e+20
1.571000000000e+01,5.245000000000e+20
1.599000000000e+01,5.353000000000e+20
1.628000000000e+01,5.466000000000e+20
1.658000000000e+01,5.585000000000e+20
1.687000000000e+01,5.710000000000e+20
1.717000000000e+01,5.840000000000e+20
1.748000000000e+01,5.976000000000e+20
1.778000000000e+01,6.122000000000e+20
1.811000000000e+01,6.274000000000e+20
1.842000000000e+01,6.430000000000e+20
1.875000000000e+01,6.592000000000e+20
1.907000000000e+01,6.763000000000e+20
1.941000000000e+01,6.939000000000e+20
1.974000000000e+01,7.123000000000e+20
2.043000000000e+01,7.511000000000e+20
2.078000000000e+01,7.717000000000e+20
2.113000000000e+01,7.929000000000e+20
2.149000000000e+01,8.150000000000e+20
2.185000000000e+01,8.381000000000e+20
2.222000000000e+01,8.619000000000e+20
2.259000000000e+01,8.860000000000e+20
2.297000000000e+01,9.112000000000e+20
2.335000000000e+01,9.371000000000e+20
2.374000000000e+01,9.641000000000e+20
2.413000000000e+01,9.915000000000e+20
2.453000000000e+01,1.019600000000e+21
2.493000000000e+01,1.048600000000e+21
2.534000000000e+01,1.078300000000e+21
2.576000000000e+01,1.108800000000e+21
2.618000000000e+01,1.140000000000e+21
2.704000000000e+01,1.204500000000e+21
2.749000000000e+01,1.237900000000e+21
2.793000000000e+01,1.273700000000e+21
2.839000000000e+01,1.306500000000e+21
2.885000000000e+01,1.342000000000e+21
2.933000000000e+01,1.378200000000e+21
2.981000000000e+01,1.415400000000e+21
3.030000000000e+01,1.452400000000e+21
3.079000000000e+01,1.491000000000e+21
3.130000000000e+01,1.529900000000e+21
3.182000000000e+01,1.569900000000e+21
3.289000000000e+01,1.644500000000e+21
3.344000000000e+01,1.687200000000e+21
3.400000000000e+01,1.722500000000e+21
3.517000000000e+01,1.816500000000e+21
3.639000000000e+01,1.891300000000e+21
3.703000000000e+01,1.972900000000e+21
3.769000000000e+01,1.988600000000e+21
3.836000000000e+01,2.031700000000e+21
3.905000000000e+01,2.080800000000e+21
3.977000000000e+01,2.141200000000e+21
4.050000000000e+01,2.226000000000e+21
4.204000000000e+01,2.124100000000e+21
4.367000000000e+01,2.239800000000e+21
4.453000000000e+01,2.240200000000e+21
4.825000000000e+01,2.463000000000e+21
5.031000000000e+01,2.516300000000e+21
5.139000000000e+01,2.530900000000e+21
5.368000000000e+01,2.611400000000e+21
5.488000000000e+01,2.646200000000e+21
5.612000000000e+01,2.694300000000e+21
6.012000000000e+01,2.760500000000e+21
6.456000000000e+01,2.962500000000e+21
6.778000000000e+01,3.064800000000e+21
6.952000000000e+01,3.077900000000e+21
7.124000000000e+01,3.143500000000e+21
7.306000000000e+01,3.185100000000e+21
7.494000000000e+01,3.258800000000e+21
7.689000000000e+01,3.296600000000e+21
7.890000000000e+01,3.396500000000e+21
8.099000000000e+01,3.422400000000e+21
8.768000000000e+01,3.608000000000e+21
9.006000000000e+01,3.715200000000e+21
9.252000000000e+01,3.757300000000e+21
9.507000000000e+01,3.864500000000e+21
9.770000000000e+01,3.855300000000e+21
1.004200000000e+02,3.933600000000e+21
1.032200000000e+02,4.028500000000e+21
1.061200000000e+02,4.109300000000e+21
1.091100000000e+02,4.196100000000e+21
1.122000000000e+02,4.290100000000e+21
1.153900000000e+02,4.384300000000e+21
1.220700000000e+02,4.591300000000e+21
1.255800000000e+02,4.686700000000e+21
1.291900000000e+02,4.808200000000e+21
1.329200000000e+02,5.123600000000e+21
1.406600000000e+02,5.312900000000e+21
1.489700000000e+02,5.480400000000e+21
1.533900000000e+02,5.581600000000e+21
1.578500000000e+02,5.728100000000e+21
1.671600000000e+02,6.085000000000e+21
1.823800000000e+02,6.590300000000e+21
1.932700000000e+02,6.922800000000e+21
2.233500000000e+02,8.028600000000e+21
3.647200000000e+02,1.360430000000e+22
3.726200000000e+02,1.403280000000e+22
3.746700000000e+02,1.420160000000e+22
6.573800000000e+02,2.532010000000e+22
6.748500000000e+02,2.644800000000e+22
7.537800000000e+02,3.019400000000e+22
1.017310000000e+03,4.471650000000e+22
1.439210000000e+03,6.895080000000e+22
