# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_2a5106d16faabc29e574"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "74Ge^+(2P1/2)"
# neutral: "Ne"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 20.1797, &alpha; = 0.39488."
# updated: "2022-01-01 15:59:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14074_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "c35a8908adb6b21f3c646573547d5be7b4062dd644f6b483fff01f50a6e46264"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,1.938485665660e+22
1.200000000000e-01,1.938485665660e+22
4.700000000000e-01,1.938538698576e+22
8.200000000000e-01,1.938618247950e+22
1.430000000000e+00,1.938909928989e+22
2.000000000000e+00,1.939281159402e+22
2.810000000000e+00,1.939758455647e+22
3.370000000000e+00,1.940500916472e+22
4.040000000000e+00,1.941614607710e+22
4.640000000000e+00,1.942648749574e+22
6.130000000000e+00,1.945777691624e+22
7.040000000000e+00,1.948190689306e+22
7.730000000000e+00,1.950152907202e+22
8.500000000000e+00,1.952459839052e+22
8.920000000000e+00,1.953812178412e+22
9.350000000000e+00,1.955270583605e+22
9.810000000000e+00,1.956914604004e+22
1.080000000000e+01,1.960600391673e+22
1.133000000000e+01,1.962615642485e+22
1.188000000000e+01,1.964896057877e+22
1.246000000000e+01,1.967202989727e+22
1.306000000000e+01,1.969801602616e+22
1.370000000000e+01,1.972691896543e+22
1.436000000000e+01,1.975449608180e+22
1.492000000000e+01,1.978101253985e+22
1.521000000000e+01,1.979453593346e+22
1.610000000000e+01,1.983881841840e+22
1.641000000000e+01,1.985234181200e+22
1.673000000000e+01,1.986772135767e+22
1.705000000000e+01,1.988469189082e+22
1.737000000000e+01,1.990033660107e+22
1.770000000000e+01,1.991783746338e+22
1.804000000000e+01,1.993401250279e+22
1.839000000000e+01,1.995018754220e+22
1.874000000000e+01,1.996662774619e+22
1.910000000000e+01,1.998386344393e+22
1.946000000000e+01,2.000030364792e+22
2.021000000000e+01,2.003610086628e+22
2.098000000000e+01,2.007454973045e+22
2.138000000000e+01,2.009364158025e+22
2.178000000000e+01,2.011220310088e+22
2.220000000000e+01,2.013102978610e+22
2.262000000000e+01,2.014985647131e+22
2.304000000000e+01,2.016894832111e+22
2.393000000000e+01,2.020686685612e+22
2.438000000000e+01,2.022569354133e+22
2.484000000000e+01,2.024425506197e+22
2.531000000000e+01,2.026281658260e+22
2.579000000000e+01,2.028111293865e+22
2.628000000000e+01,2.029914413013e+22
2.678000000000e+01,2.031691015702e+22
2.729000000000e+01,2.033388069017e+22
2.781000000000e+01,2.035085122332e+22
2.834000000000e+01,2.036702626273e+22
2.888000000000e+01,2.038267097298e+22
2.943000000000e+01,2.039778535407e+22
2.999000000000e+01,2.041210424141e+22
3.056000000000e+01,2.042509730586e+22
3.116000000000e+01,2.043756004114e+22
3.176000000000e+01,2.044949244726e+22
3.237000000000e+01,2.046036419506e+22
3.300000000000e+01,2.046991011996e+22
3.364000000000e+01,2.047892571570e+22
3.498000000000e+01,2.048979746350e+22
3.567000000000e+01,2.049510075511e+22
3.638000000000e+01,2.049748723633e+22
3.710000000000e+01,2.049828273007e+22
3.785000000000e+01,2.049775240091e+22
3.939000000000e+01,2.049059295724e+22
4.019000000000e+01,2.048475933647e+22
4.274000000000e+01,2.045055310559e+22
4.364000000000e+01,2.043570388908e+22
4.456000000000e+01,2.041714236844e+22
4.551000000000e+01,2.039592920200e+22
4.648000000000e+01,2.037312504808e+22
4.749000000000e+01,2.034422210881e+22
4.852000000000e+01,2.031452367579e+22
4.959000000000e+01,2.028111293865e+22
5.069000000000e+01,2.024478539113e+22
5.182000000000e+01,2.020527586863e+22
5.299000000000e+01,2.016231920659e+22
5.419000000000e+01,2.011458958211e+22
5.543000000000e+01,2.006606446388e+22
5.671000000000e+01,2.001276638320e+22
5.804000000000e+01,1.995655149214e+22
6.081000000000e+01,1.982449953105e+22
6.226000000000e+01,1.975820838593e+22
6.377000000000e+01,1.969006108874e+22
6.692000000000e+01,1.953573530290e+22
6.857000000000e+01,1.945618592875e+22
7.028000000000e+01,1.936921194635e+22
7.204000000000e+01,1.928038181189e+22
7.387000000000e+01,1.919022585452e+22
7.575000000000e+01,1.909423627639e+22
7.769000000000e+01,1.899824669825e+22
7.970000000000e+01,1.889827965141e+22
8.178000000000e+01,1.879486546502e+22
8.392000000000e+01,1.868826930366e+22
8.613000000000e+01,1.857981699024e+22
8.842000000000e+01,1.846871303102e+22
9.078000000000e+01,1.835469226141e+22
9.321000000000e+01,1.823934566889e+22
9.573000000000e+01,1.812081710141e+22
9.833000000000e+01,1.800494017974e+22
1.010100000000e+02,1.787845667485e+22
1.037800000000e+02,1.775091251163e+22
1.066400000000e+02,1.762920196919e+22
1.095900000000e+02,1.750218813514e+22
1.126300000000e+02,1.737411364276e+22
1.157700000000e+02,1.724497849206e+22
1.223600000000e+02,1.698113973448e+22
1.258000000000e+02,1.685120909004e+22
1.293600000000e+02,1.671862679979e+22
1.330300000000e+02,1.658498385123e+22
1.368100000000e+02,1.645134090266e+22
1.407100000000e+02,1.631769795409e+22
1.447300000000e+02,1.618352467637e+22
1.488800000000e+02,1.604935139864e+22
1.531500000000e+02,1.591517812091e+22
1.575500000000e+02,1.578047451402e+22
1.620900000000e+02,1.564683156546e+22
1.667600000000e+02,1.551530993354e+22
1.715800000000e+02,1.538617478284e+22
1.765500000000e+02,1.525147117595e+22
1.816600000000e+02,1.511597207532e+22
1.869200000000e+02,1.498392011424e+22
1.923400000000e+02,1.485398946980e+22
1.979200000000e+02,1.472379366078e+22
2.036700000000e+02,1.459545400382e+22
2.095900000000e+02,1.446711434687e+22
2.156700000000e+02,1.433957018365e+22
2.219400000000e+02,1.421335184334e+22
2.283900000000e+02,1.408527735096e+22
2.350200000000e+02,1.396409713768e+22
2.418700000000e+02,1.384053044317e+22
2.488900000000e+02,1.371828957157e+22
2.561200000000e+02,1.359710935828e+22
2.635500000000e+02,1.347752013248e+22
2.712000000000e+02,1.335925672958e+22
2.790800000000e+02,1.324125849127e+22
2.871700000000e+02,1.312511640501e+22
2.954800000000e+02,1.301109563540e+22
3.102700000000e+02,1.278915288153e+22
3.192100000000e+02,1.267884441605e+22
3.284000000000e+02,1.256986177347e+22
3.378600000000e+02,1.246193978921e+22
3.475700000000e+02,1.235507846328e+22
3.575400000000e+02,1.224980812482e+22
3.678000000000e+02,1.214586360927e+22
3.783700000000e+02,1.204271458746e+22
6.985500000000e+02,1.010250535203e+22
7.378500000000e+02,9.924579918519e+21
