# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_e96457fa007deb308f1f"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "74Ge^+(2P3/2)"
# neutral: "Ne"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 20.1797, &alpha; = 0.39488."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14075_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "3210eceb40eb09278687f12699790ba768ddc570c7b93c4f29b6960330d64c59"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,1.654653498705e+22
1.200000000000e-01,1.654653498705e+22
4.700000000000e-01,1.654653498705e+22
8.300000000000e-01,1.654680015164e+22
1.450000000000e+00,1.654759564538e+22
2.030000000000e+00,1.654865630370e+22
2.850000000000e+00,1.655077762034e+22
3.420000000000e+00,1.655263377241e+22
4.100000000000e+00,1.655528541821e+22
4.710000000000e+00,1.655820222860e+22
5.420000000000e+00,1.656164936814e+22
6.230000000000e+00,1.656668749517e+22
7.160000000000e+00,1.657305144510e+22
7.880000000000e+00,1.657835473671e+22
8.660000000000e+00,1.658471868665e+22
9.090000000000e+00,1.658869615535e+22
9.540000000000e+00,1.659267362406e+22
1.002000000000e+01,1.659718142193e+22
1.052000000000e+01,1.660221954896e+22
1.104000000000e+01,1.660752284057e+22
1.276000000000e+01,1.662714501952e+22
1.340000000000e+01,1.663456962778e+22
1.406000000000e+01,1.664305489435e+22
1.475000000000e+01,1.665180532551e+22
1.504000000000e+01,1.665578279422e+22
1.534000000000e+01,1.665976026292e+22
1.564000000000e+01,1.666347256705e+22
1.595000000000e+01,1.666718487118e+22
1.627000000000e+01,1.667116233988e+22
1.659000000000e+01,1.667513980859e+22
1.692000000000e+01,1.667938244188e+22
1.725000000000e+01,1.668415540433e+22
1.759000000000e+01,1.668972386052e+22
1.794000000000e+01,1.669555748129e+22
1.829000000000e+01,1.670086077290e+22
1.865000000000e+01,1.670589889993e+22
1.901000000000e+01,1.671146735612e+22
1.939000000000e+01,1.671703581231e+22
1.977000000000e+01,1.672286943308e+22
2.096000000000e+01,1.674037029539e+22
2.179000000000e+01,1.675124204319e+22
2.221000000000e+01,1.675760599312e+22
2.265000000000e+01,1.676317444931e+22
2.447000000000e+01,1.679340321149e+22
2.495000000000e+01,1.680029749058e+22
2.544000000000e+01,1.680719176968e+22
2.593000000000e+01,1.681435121335e+22
2.644000000000e+01,1.682124549244e+22
2.696000000000e+01,1.682840493611e+22
2.748000000000e+01,1.683529921521e+22
2.802000000000e+01,1.684245865888e+22
2.856000000000e+01,1.684935293797e+22
2.912000000000e+01,1.685598205248e+22
2.969000000000e+01,1.686287633158e+22
3.027000000000e+01,1.686950544609e+22
3.086000000000e+01,1.687613456060e+22
3.146000000000e+01,1.688249851053e+22
3.208000000000e+01,1.688859729588e+22
3.271000000000e+01,1.689443091666e+22
3.335000000000e+01,1.689999937285e+22
3.400000000000e+01,1.690503749988e+22
3.467000000000e+01,1.690981046232e+22
3.535000000000e+01,1.691431826019e+22
3.604000000000e+01,1.691882605806e+22
3.675000000000e+01,1.692174286845e+22
3.748000000000e+01,1.692465967883e+22
3.822000000000e+01,1.692678099548e+22
3.898000000000e+01,1.692837198296e+22
4.135000000000e+01,1.692890231212e+22
4.303000000000e+01,1.692439451425e+22
4.569000000000e+01,1.690954529774e+22
4.758000000000e+01,1.689549157498e+22
4.856000000000e+01,1.688541532092e+22
4.956000000000e+01,1.687401324396e+22
5.059000000000e+01,1.686075501493e+22
5.165000000000e+01,1.684802711507e+22
5.274000000000e+01,1.683238240482e+22
5.385000000000e+01,1.681488154251e+22
5.500000000000e+01,1.679552452813e+22
5.618000000000e+01,1.677457652627e+22
5.739000000000e+01,1.675124204319e+22
5.864000000000e+01,1.672605140805e+22
5.992000000000e+01,1.669873945626e+22
6.125000000000e+01,1.666983651698e+22
6.261000000000e+01,1.663748643816e+22
6.401000000000e+01,1.659930273857e+22
6.545000000000e+01,1.655926288692e+22
6.694000000000e+01,1.651922303526e+22
7.005000000000e+01,1.643569619241e+22
7.169000000000e+01,1.638982271999e+22
7.337000000000e+01,1.634076727260e+22
7.510000000000e+01,1.628640853360e+22
7.689000000000e+01,1.623231495918e+22
7.874000000000e+01,1.617822138476e+22
8.065000000000e+01,1.611537737918e+22
8.262000000000e+01,1.605359403193e+22
8.465000000000e+01,1.598836354513e+22
8.675000000000e+01,1.592498921039e+22
8.892000000000e+01,1.584941730495e+22
9.115000000000e+01,1.577649704532e+22
9.347000000000e+01,1.570119030446e+22
9.585000000000e+01,1.562323191779e+22
9.831000000000e+01,1.554341737907e+22
1.008600000000e+02,1.545962537163e+22
1.034800000000e+02,1.537424237672e+22
1.061900000000e+02,1.528753355890e+22
1.089900000000e+02,1.520029441192e+22
1.118800000000e+02,1.510748680874e+22
1.148700000000e+02,1.501282305351e+22
1.179500000000e+02,1.491975028576e+22
