# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_dacffb8c31e93a1ebf3c"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "76Ge^+(2P3/2)"
# neutral: "Ne"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 75.9214, M = 20.1797, &alpha; = 0.39488."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14081_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "2920a6a844b99fe719fa2b7e63094bb7e7c43da3e56ee40f8a42a2e0f73fc5f3"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,7.361000000000e+20
1.500000000000e-01,7.361000000000e+20
6.000000000000e-01,7.363000000000e+20
1.050000000000e+00,7.365000000000e+20
1.840000000000e+00,7.380000000000e+20
2.580000000000e+00,7.398000000000e+20
3.610000000000e+00,7.434000000000e+20
4.330000000000e+00,7.466000000000e+20
5.190000000000e+00,7.512000000000e+20
5.970000000000e+00,7.561000000000e+20
6.870000000000e+00,7.625000000000e+20
7.900000000000e+00,7.710000000000e+20
9.080000000000e+00,7.822000000000e+20
9.990000000000e+00,7.918000000000e+20
1.099000000000e+01,8.035000000000e+20
1.154000000000e+01,8.103000000000e+20
1.211000000000e+01,8.179000000000e+20
1.272000000000e+01,8.262000000000e+20
1.335000000000e+01,8.353000000000e+20
1.402000000000e+01,8.454000000000e+20
1.472000000000e+01,8.565000000000e+20
1.545000000000e+01,8.686000000000e+20
1.622000000000e+01,8.820000000000e+20
1.703000000000e+01,8.967000000000e+20
1.788000000000e+01,9.129000000000e+20
1.877000000000e+01,9.306000000000e+20
1.953000000000e+01,9.462000000000e+20
1.992000000000e+01,9.545000000000e+20
2.199000000000e+01,1.000400000000e+21
2.243000000000e+01,1.010700000000e+21
2.288000000000e+01,1.021300000000e+21
2.526000000000e+01,1.080300000000e+21
2.628000000000e+01,1.107200000000e+21
2.845000000000e+01,1.165800000000e+21
2.902000000000e+01,1.181600000000e+21
2.961000000000e+01,1.198100000000e+21
3.020000000000e+01,1.214900000000e+21
3.081000000000e+01,1.232400000000e+21
3.143000000000e+01,1.250500000000e+21
3.207000000000e+01,1.269000000000e+21
3.272000000000e+01,1.288100000000e+21
3.338000000000e+01,1.307800000000e+21
3.405000000000e+01,1.328100000000e+21
3.475000000000e+01,1.348800000000e+21
3.545000000000e+01,1.370200000000e+21
3.617000000000e+01,1.392200000000e+21
3.691000000000e+01,1.414800000000e+21
3.767000000000e+01,1.437900000000e+21
3.844000000000e+01,1.461700000000e+21
3.923000000000e+01,1.486100000000e+21
4.003000000000e+01,1.511000000000e+21
4.086000000000e+01,1.536600000000e+21
4.170000000000e+01,1.562800000000e+21
4.257000000000e+01,1.589500000000e+21
4.345000000000e+01,1.616900000000e+21
4.436000000000e+01,1.645000000000e+21
4.529000000000e+01,1.673600000000e+21
4.624000000000e+01,1.702300000000e+21
4.721000000000e+01,1.732100000000e+21
4.821000000000e+01,1.764000000000e+21
4.923000000000e+01,1.791700000000e+21
5.028000000000e+01,1.825000000000e+21
5.136000000000e+01,1.854200000000e+21
5.246000000000e+01,1.889600000000e+21
5.360000000000e+01,1.921000000000e+21
5.476000000000e+01,1.961200000000e+21
5.595000000000e+01,1.991500000000e+21
5.718000000000e+01,2.024000000000e+21
5.844000000000e+01,2.057300000000e+21
5.974000000000e+01,2.100200000000e+21
6.107000000000e+01,2.135700000000e+21
6.244000000000e+01,2.171400000000e+21
6.384000000000e+01,2.209400000000e+21
6.529000000000e+01,2.248300000000e+21
6.678000000000e+01,2.288000000000e+21
6.831000000000e+01,2.330900000000e+21
6.989000000000e+01,2.369200000000e+21
7.152000000000e+01,2.411200000000e+21
7.319000000000e+01,2.453100000000e+21
7.491000000000e+01,2.497000000000e+21
7.669000000000e+01,2.540900000000e+21
7.851000000000e+01,2.585700000000e+21
8.040000000000e+01,2.631400000000e+21
8.234000000000e+01,2.677900000000e+21
8.434000000000e+01,2.725500000000e+21
8.641000000000e+01,2.773300000000e+21
8.854000000000e+01,2.822200000000e+21
9.073000000000e+01,2.869600000000e+21
9.300000000000e+01,2.917900000000e+21
9.533000000000e+01,2.970800000000e+21
9.774000000000e+01,3.021700000000e+21
1.002200000000e+02,3.078200000000e+21
1.054300000000e+02,3.192000000000e+21
1.081500000000e+02,3.251200000000e+21
1.109600000000e+02,3.313300000000e+21
1.138600000000e+02,3.378000000000e+21
1.168500000000e+02,3.441500000000e+21
1.199400000000e+02,3.510300000000e+21
1.231200000000e+02,3.577500000000e+21
1.264000000000e+02,3.650300000000e+21
1.297900000000e+02,3.724600000000e+21
1.332800000000e+02,3.802000000000e+21
1.368800000000e+02,3.871500000000e+21
1.405900000000e+02,3.963200000000e+21
1.444200000000e+02,4.049500000000e+21
1.483600000000e+02,4.137300000000e+21
1.524200000000e+02,4.228400000000e+21
1.566100000000e+02,4.324400000000e+21
1.609300000000e+02,4.421900000000e+21
1.653800000000e+02,4.525300000000e+21
1.699600000000e+02,4.632700000000e+21
1.746800000000e+02,4.743600000000e+21
1.795500000000e+02,4.858900000000e+21
1.845600000000e+02,4.978800000000e+21
1.897100000000e+02,5.103200000000e+21
1.950200000000e+02,5.230900000000e+21
2.004900000000e+02,5.367600000000e+21
2.061200000000e+02,5.511200000000e+21
2.119100000000e+02,5.654900000000e+21
2.178600000000e+02,5.805100000000e+21
2.239900000000e+02,5.961900000000e+21
2.303000000000e+02,6.128800000000e+21
2.367900000000e+02,6.308100000000e+21
2.434600000000e+02,6.470400000000e+21
2.503200000000e+02,6.670600000000e+21
2.573700000000e+02,6.860400000000e+21
2.646200000000e+02,7.059100000000e+21
2.720700000000e+02,7.269500000000e+21
2.797300000000e+02,7.485300000000e+21
2.876000000000e+02,7.713600000000e+21
2.956800000000e+02,7.970000000000e+21
3.125500000000e+02,8.483400000000e+21
3.212900000000e+02,8.718100000000e+21
3.395200000000e+02,9.276400000000e+21
3.489600000000e+02,9.661000000000e+21
3.586100000000e+02,1.008350000000e+22
3.686000000000e+02,1.038850000000e+22
4.583700000000e+02,1.361010000000e+22
6.462200000000e+02,2.200520000000e+22
9.477300000000e+02,3.739990000000e+22
1.510440000000e+03,8.160750000000e+22
