# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_f5cfd57ae25e57cacbf0"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "CO3^-"
# neutral: "O2"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Compiled Ko Data of Ellis et al., At. Data Nucl. Data Tables 17 (1976) 177."
# source_family: "compiled ko data of ellis et al., at. data nucl. data tables 17 (1976) 177."
# comment: ""
# updated: "2010-05-14 15:04:20"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_041_222_222/002_mobility.txt"
# source_file_sha256: "4b3742742fc33d87b98781e48a7e0c13c173adeb13c3f4cdc0e55c80f10c59b4"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e+00,6.655630970258e+21
4.000000000000e+00,6.655630970258e+21
5.000000000000e+00,6.655630970258e+21
6.000000000000e+00,6.655630970258e+21
7.000000000000e+00,6.655630970258e+21
8.000000000000e+00,6.682147428307e+21
1.000000000000e+01,6.682147428307e+21
1.500000000000e+01,6.708663886356e+21
2.000000000000e+01,6.788213260502e+21
2.500000000000e+01,6.841246176600e+21
3.000000000000e+01,6.920795550747e+21
3.500000000000e+01,7.000344924893e+21
4.000000000000e+01,7.079894299040e+21
5.000000000000e+01,7.212476589284e+21
6.000000000000e+01,7.318542421479e+21
7.000000000000e+01,7.424608253674e+21
