# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_d67238e76cbef68e6b7e"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "O2^-"
# neutral: "O2"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Raw mobility Data from Technical Reports from Georgia Tech, 1970-1974."
# source_family: "raw transport data from technical reports from georgia tech, 1970-1974."
# comment: ""
# updated: "2010-05-14 15:04:20"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_032_278_278/002_mobility.txt"
# source_file_sha256: "fad92c2ca18e677df2ca6b091f1e9a56f2e090804898d330ce7fdea1de645159"
reduced_electric_field_Td,reduced_transport_SI
3.100000000000e+00,5.772632917232e+21
3.940000000000e+00,5.650657210207e+21
4.030000000000e+00,5.735509875964e+21
4.960000000000e+00,5.762026334012e+21
5.470000000000e+00,5.650657210207e+21
6.200000000000e+00,5.764677979817e+21
6.850000000000e+00,5.738161521768e+21
7.700000000000e+00,5.762026334012e+21
8.700000000000e+00,5.743464813378e+21
9.660000000000e+00,5.711645063720e+21
1.084000000000e+01,5.740813167573e+21
1.201000000000e+01,5.759374688207e+21
1.232000000000e+01,5.735509875964e+21
1.366000000000e+01,5.783239500451e+21
1.541000000000e+01,5.751419750793e+21
1.744000000000e+01,5.764677979817e+21
1.935000000000e+01,5.732858230159e+21
2.182000000000e+01,5.738161521768e+21
2.468000000000e+01,5.769981271427e+21
2.743000000000e+01,5.732858230159e+21
3.080000000000e+01,5.724903292744e+21
3.482000000000e+01,5.706341772110e+21
3.897000000000e+01,5.724903292744e+21
4.399000000000e+01,5.685128605671e+21
5.558000000000e+01,5.687780251476e+21
7.946000000000e+01,5.618837460549e+21
8.717000000000e+01,5.563152898646e+21
9.834000000000e+01,5.358976171670e+21
1.241600000000e+02,5.308594901377e+21
1.404900000000e+02,5.181315902743e+21
