# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_0efbd481f75011068861"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "12C(2P3/2)^+"
# neutral: "Rn"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "1:1 Average of the PI-3/2 and SIGMA-1/2 CBS Potentials of A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. The accuracies are limited by the potentials, as described in the paper."
# source_family: "1:1 average of the pi-3/2 and sigma-1/2 cbs potentials of a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 12, M = 222.018, &alpha; = 5.102."
# updated: "2021-12-24 00:09:58"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_1383_neutral_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "215cac49a963860ef28d5e235d4645799a1820522e8f6c6a05a6a6e27b175d27"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,5.125366176260e+21
9.000000000000e-02,5.125366176260e+21
3.800000000000e-01,5.125366176260e+21
6.600000000000e-01,5.125366176260e+21
1.150000000000e+00,5.125366176260e+21
1.620000000000e+00,5.125366176260e+21
2.260000000000e+00,5.125101011679e+21
2.720000000000e+00,5.124835847099e+21
3.260000000000e+00,5.124570682518e+21
4.310000000000e+00,5.124040353357e+21
6.270000000000e+00,5.122714530455e+21
7.990000000000e+00,5.120858378391e+21
8.390000000000e+00,5.120328049230e+21
8.810000000000e+00,5.119797720070e+21
9.720000000000e+00,5.118471897167e+21
1.021000000000e+01,5.117676403426e+21
1.072000000000e+01,5.116880909684e+21
1.126000000000e+01,5.115820251362e+21
1.182000000000e+01,5.114759593040e+21
1.206000000000e+01,5.114229263879e+21
1.230000000000e+01,5.113698934718e+21
1.255000000000e+01,5.113168605557e+21
1.280000000000e+01,5.112638276396e+21
1.306000000000e+01,5.112107947235e+21
1.332000000000e+01,5.111577618074e+21
1.386000000000e+01,5.110251795172e+21
1.414000000000e+01,5.109456301430e+21
1.562000000000e+01,5.105478832723e+21
1.626000000000e+01,5.103622680660e+21
1.659000000000e+01,5.102562022338e+21
1.692000000000e+01,5.101501364016e+21
1.727000000000e+01,5.100440705694e+21
1.761000000000e+01,5.099114882791e+21
1.797000000000e+01,5.098054224469e+21
1.833000000000e+01,5.096728401567e+21
1.908000000000e+01,5.094076755762e+21
1.947000000000e+01,5.092485768279e+21
1.987000000000e+01,5.090894780796e+21
2.027000000000e+01,5.089303793313e+21
2.153000000000e+01,5.084000501704e+21
2.197000000000e+01,5.081879185060e+21
2.242000000000e+01,5.079757868416e+21
2.288000000000e+01,5.077636551772e+21
2.334000000000e+01,5.075250070547e+21
2.382000000000e+01,5.072863589323e+21
2.431000000000e+01,5.070477108099e+21
2.481000000000e+01,5.067825462294e+21
2.532000000000e+01,5.064908651908e+21
2.637000000000e+01,5.059075031138e+21
2.691000000000e+01,5.055893056172e+21
2.747000000000e+01,5.052445916625e+21
2.803000000000e+01,5.048998777079e+21
2.861000000000e+01,5.045286472952e+21
2.921000000000e+01,5.041574168825e+21
2.981000000000e+01,5.037596700118e+21
3.043000000000e+01,5.033354066830e+21
3.107000000000e+01,5.028846268962e+21
3.172000000000e+01,5.024338471094e+21
3.238000000000e+01,5.019565508645e+21
3.306000000000e+01,5.014527381616e+21
3.376000000000e+01,5.009224090006e+21
3.447000000000e+01,5.003920798396e+21
3.520000000000e+01,4.998087177625e+21
3.594000000000e+01,4.992253556855e+21
3.670000000000e+01,4.986154771503e+21
3.749000000000e+01,4.979525656991e+21
3.829000000000e+01,4.972896542479e+21
3.911000000000e+01,4.966002263386e+21
3.995000000000e+01,4.958842819713e+21
4.081000000000e+01,4.951153046879e+21
4.169000000000e+01,4.943463274045e+21
4.259000000000e+01,4.935243172050e+21
4.351000000000e+01,4.926757905474e+21
4.446000000000e+01,4.918272638898e+21
4.544000000000e+01,4.909257043162e+21
4.643000000000e+01,4.899976282845e+21
4.745000000000e+01,4.890430357947e+21
4.850000000000e+01,4.880354103889e+21
4.957000000000e+01,4.870277849830e+21
5.068000000000e+01,4.859936431191e+21
5.181000000000e+01,4.849064683391e+21
5.296000000000e+01,4.838192935591e+21
5.415000000000e+01,4.827056023210e+21
5.537000000000e+01,4.815388781669e+21
5.662000000000e+01,4.803721540127e+21
5.790000000000e+01,4.791789134005e+21
5.921000000000e+01,4.779591563303e+21
6.055000000000e+01,4.767128828020e+21
6.193000000000e+01,4.754400928157e+21
6.335000000000e+01,4.741673028293e+21
6.479000000000e+01,4.728679963849e+21
6.628000000000e+01,4.715952063986e+21
6.780000000000e+01,4.703224164122e+21
6.935000000000e+01,4.690496264259e+21
7.094000000000e+01,4.677503199815e+21
7.257000000000e+01,4.664510135371e+21
7.424000000000e+01,4.651517070927e+21
7.595000000000e+01,4.638524006483e+21
7.769000000000e+01,4.625796106620e+21
7.948000000000e+01,4.613333371337e+21
8.130000000000e+01,4.600870636054e+21
8.316000000000e+01,4.588407900771e+21
8.506000000000e+01,4.576475494649e+21
8.700000000000e+01,4.564543088527e+21
8.898000000000e+01,4.553141011566e+21
9.101000000000e+01,4.541738934605e+21
9.307000000000e+01,4.530867186805e+21
9.517000000000e+01,4.520260603585e+21
9.732000000000e+01,4.509919184946e+21
9.950000000000e+01,4.500373260049e+21
1.017300000000e+02,4.490827335151e+21
1.039900000000e+02,4.482342068575e+21
1.063000000000e+02,4.473856802000e+21
1.086500000000e+02,4.466167029166e+21
1.110400000000e+02,4.459272750073e+21
1.134700000000e+02,4.453173964722e+21
1.159400000000e+02,4.447870673112e+21
1.184500000000e+02,4.443097710663e+21
1.210000000000e+02,4.439385406536e+21
1.235900000000e+02,4.437264089892e+21
1.262100000000e+02,4.435938266990e+21
1.288700000000e+02,4.435938266990e+21
1.315600000000e+02,4.437794419053e+21
1.342900000000e+02,4.440976394019e+21
1.370500000000e+02,4.446014521049e+21
1.398500000000e+02,4.453173964722e+21
1.426600000000e+02,4.461924395878e+21
1.483700000000e+02,4.487645360185e+21
1.512700000000e+02,4.502759741273e+21
1.541300000000e+02,4.521851591068e+21
1.570100000000e+02,4.542004099185e+21
1.598500000000e+02,4.564808253107e+21
1.626800000000e+02,4.588938229932e+21
1.654900000000e+02,4.614924358820e+21
1.682600000000e+02,4.640910487708e+21
1.709900000000e+02,4.666896616595e+21
1.736800000000e+02,4.693678239225e+21
1.841600000000e+02,4.793380121488e+21
1.868200000000e+02,4.816184275410e+21
1.893800000000e+02,4.837397441849e+21
1.919400000000e+02,4.858345443708e+21
2.220900000000e+02,5.055893056172e+21
2.376500000000e+02,5.192717979704e+21
2.401600000000e+02,5.217378285689e+21
2.428700000000e+02,5.244159908319e+21
2.506800000000e+02,5.330603561558e+21
2.533800000000e+02,5.360301994572e+21
2.561500000000e+02,5.394773390036e+21
2.589600000000e+02,5.431100937563e+21
2.617400000000e+02,5.473262105861e+21
2.648400000000e+02,5.510119982548e+21
2.678900000000e+02,5.552546315427e+21
2.710400000000e+02,5.595768142046e+21
