# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_0455bcdadde22a232aca"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "12C(2P)^+"
# neutral: "Rn"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 500 K"
# group_comment: "1:1:1 Average of the PI-1/2, PI-3/2 and SIGMA-1/2 CBS Potentials of A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. The accuracies are limited by the potentials, as described in the paper."
# source_family: "1:1:1 average of the pi-1/2, pi-3/2 and sigma-1/2 cbs potentials of a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 12, M = 222.018, &alpha; = 5.102."
# updated: "2021-12-24 00:07:15"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_656_neutral_38_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "d393d9a263bd1e8a914414477e57c6de4291b22ce6f8fd45bec37934cb3e3d1a"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,5.115024757621e+21
1.500000000000e-01,5.115024757621e+21
6.000000000000e-01,5.115024757621e+21
1.050000000000e+00,5.115024757621e+21
2.560000000000e+00,5.114759593040e+21
3.590000000000e+00,5.114494428460e+21
4.300000000000e+00,5.114229263879e+21
5.940000000000e+00,5.113433770138e+21
6.830000000000e+00,5.112903440977e+21
9.040000000000e+00,5.111312453494e+21
9.940000000000e+00,5.110516959752e+21
1.267000000000e+01,5.107865313948e+21
1.330000000000e+01,5.107069820206e+21
1.467000000000e+01,5.105213668143e+21
1.541000000000e+01,5.104153009821e+21
1.618000000000e+01,5.103092351499e+21
1.700000000000e+01,5.101766528596e+21
1.785000000000e+01,5.100440705694e+21
1.875000000000e+01,5.098849718211e+21
1.951000000000e+01,5.097523895308e+21
2.030000000000e+01,5.096198072406e+21
2.071000000000e+01,5.095402578665e+21
2.113000000000e+01,5.094607084923e+21
2.156000000000e+01,5.093811591182e+21
2.244000000000e+01,5.091955439118e+21
2.289000000000e+01,5.090894780796e+21
2.335000000000e+01,5.089834122474e+21
2.382000000000e+01,5.088773464152e+21
2.430000000000e+01,5.087712805830e+21
2.530000000000e+01,5.085326324606e+21
2.581000000000e+01,5.084000501704e+21
2.633000000000e+01,5.082674678801e+21
2.741000000000e+01,5.079757868416e+21
2.911000000000e+01,5.074984905967e+21
3.093000000000e+01,5.069416449777e+21
3.220000000000e+01,5.065173816489e+21
3.286000000000e+01,5.063052499845e+21
3.353000000000e+01,5.060666018621e+21
3.422000000000e+01,5.058279537396e+21
3.492000000000e+01,5.055627891591e+21
3.564000000000e+01,5.052976245786e+21
3.637000000000e+01,5.050059435401e+21
3.712000000000e+01,5.046877460435e+21
3.788000000000e+01,5.043695485469e+21
3.866000000000e+01,5.040248345923e+21
3.946000000000e+01,5.036801206377e+21
4.028000000000e+01,5.033088902250e+21
4.112000000000e+01,5.029111433542e+21
4.197000000000e+01,5.025133964835e+21
4.285000000000e+01,5.020626166967e+21
4.374000000000e+01,5.016118369099e+21
4.466000000000e+01,5.011345406650e+21
4.560000000000e+01,5.006307279620e+21
4.656000000000e+01,5.001003988011e+21
4.754000000000e+01,4.995435531820e+21
4.854000000000e+01,4.989601911050e+21
4.958000000000e+01,4.983503125698e+21
5.063000000000e+01,4.977139175767e+21
5.171000000000e+01,4.970244896674e+21
5.282000000000e+01,4.962820288420e+21
5.396000000000e+01,4.955660844747e+21
5.512000000000e+01,4.947971071913e+21
5.632000000000e+01,4.939750969918e+21
5.754000000000e+01,4.931000538762e+21
5.880000000000e+01,4.921984943025e+21
6.009000000000e+01,4.912704182708e+21
6.141000000000e+01,4.902893093230e+21
6.277000000000e+01,4.892551674591e+21
6.417000000000e+01,4.881679926791e+21
6.560000000000e+01,4.870543014410e+21
6.708000000000e+01,4.858875772869e+21
6.859000000000e+01,4.846678202166e+21
7.015000000000e+01,4.833950302303e+21
7.174000000000e+01,4.820957237859e+21
7.339000000000e+01,4.807168679674e+21
7.508000000000e+01,4.793114956908e+21
7.682000000000e+01,4.778530904981e+21
7.861000000000e+01,4.763151359313e+21
