# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_639c358a85024b0c4c3e"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "12C(2P)^+"
# neutral: "Rn"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 500 K"
# group_comment: "1:1:1 Average of the PI-1/2, PI-3/2 and SIGMA-1/2 CBS Potentials of A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. The accuracies are limited by the potentials, as described in the paper."
# source_family: "1:1:1 average of the pi-1/2, pi-3/2 and sigma-1/2 cbs potentials of a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 12, M = 222.018, &alpha; = 5.102."
# updated: "2021-12-24 00:07:15"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_656_neutral_38_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "912bddb2e19ae028c4283dcfd49c5f341b89a96efe4ce428e415dd33c24c5a50"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,2.233000000000e+20
1.500000000000e-01,2.233000000000e+20
6.000000000000e-01,2.233000000000e+20
1.050000000000e+00,2.234000000000e+20
2.560000000000e+00,2.240000000000e+20
3.590000000000e+00,2.247000000000e+20
4.300000000000e+00,2.253000000000e+20
5.940000000000e+00,2.271000000000e+20
6.830000000000e+00,2.283000000000e+20
9.040000000000e+00,2.321000000000e+20
9.940000000000e+00,2.339000000000e+20
1.267000000000e+01,2.405000000000e+20
1.330000000000e+01,2.422000000000e+20
1.467000000000e+01,2.463000000000e+20
1.541000000000e+01,2.486000000000e+20
1.618000000000e+01,2.512000000000e+20
1.700000000000e+01,2.540000000000e+20
1.785000000000e+01,2.571000000000e+20
1.875000000000e+01,2.605000000000e+20
1.951000000000e+01,2.635000000000e+20
2.030000000000e+01,2.668000000000e+20
2.071000000000e+01,2.685000000000e+20
2.113000000000e+01,2.703000000000e+20
2.156000000000e+01,2.722000000000e+20
2.244000000000e+01,2.761000000000e+20
2.289000000000e+01,2.782000000000e+20
2.335000000000e+01,2.804000000000e+20
2.382000000000e+01,2.826000000000e+20
2.430000000000e+01,2.849000000000e+20
2.530000000000e+01,2.898000000000e+20
2.581000000000e+01,2.924000000000e+20
2.633000000000e+01,2.951000000000e+20
2.741000000000e+01,3.008000000000e+20
2.911000000000e+01,3.102000000000e+20
3.093000000000e+01,3.206000000000e+20
3.220000000000e+01,3.282000000000e+20
