# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_741ea1ed1034811e45a6"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "12C(2P)^+"
# neutral: "Rn"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "1:1:1 Average of the PI-1/2, PI-3/2 and SIGMA-1/2 CBS Potentials of A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. The accuracies are limited by the potentials, as described in the paper."
# source_family: "1:1:1 average of the pi-1/2, pi-3/2 and sigma-1/2 cbs potentials of a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 12, M = 222.018, &alpha; = 5.102."
# updated: "2021-12-24 00:07:15"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_656_neutral_38_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "d393d9a263bd1e8a914414477e57c6de4291b22ce6f8fd45bec37934cb3e3d1a"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,5.132790784513e+21
1.300000000000e-01,5.132790784513e+21
5.300000000000e-01,5.132790784513e+21
9.300000000000e-01,5.132790784513e+21
1.630000000000e+00,5.132790784513e+21
2.280000000000e+00,5.132525619933e+21
3.200000000000e+00,5.132260455352e+21
4.600000000000e+00,5.131730126191e+21
5.290000000000e+00,5.131464961611e+21
7.000000000000e+00,5.130404303289e+21
8.860000000000e+00,5.129078480387e+21
1.075000000000e+01,5.127487492904e+21
1.129000000000e+01,5.126957163743e+21
1.245000000000e+01,5.125631340840e+21
1.307000000000e+01,5.124835847099e+21
1.373000000000e+01,5.124040353357e+21
1.514000000000e+01,5.122184201294e+21
1.670000000000e+01,5.119797720070e+21
1.704000000000e+01,5.119267390909e+21
1.738000000000e+01,5.118737061748e+21
1.773000000000e+01,5.118206732587e+21
1.808000000000e+01,5.117676403426e+21
1.845000000000e+01,5.117146074265e+21
1.920000000000e+01,5.115820251362e+21
1.998000000000e+01,5.114494428460e+21
2.038000000000e+01,5.113698934718e+21
2.079000000000e+01,5.112903440977e+21
2.121000000000e+01,5.112107947235e+21
2.164000000000e+01,5.111312453494e+21
2.207000000000e+01,5.110516959752e+21
2.297000000000e+01,5.108660807689e+21
2.344000000000e+01,5.107600149367e+21
2.391000000000e+01,5.106539491045e+21
2.439000000000e+01,5.105478832723e+21
2.489000000000e+01,5.104418174401e+21
2.539000000000e+01,5.103357516079e+21
2.643000000000e+01,5.100971034855e+21
2.696000000000e+01,5.099645211952e+21
2.807000000000e+01,5.096728401567e+21
2.864000000000e+01,5.095137414084e+21
2.922000000000e+01,5.093546426601e+21
2.981000000000e+01,5.091955439118e+21
3.042000000000e+01,5.090099287055e+21
3.103000000000e+01,5.088243134991e+21
3.167000000000e+01,5.086386982928e+21
3.231000000000e+01,5.084530830865e+21
3.297000000000e+01,5.082409514221e+21
3.433000000000e+01,5.077901716352e+21
3.575000000000e+01,5.072863589323e+21
3.723000000000e+01,5.067295133133e+21
3.800000000000e+01,5.064113158167e+21
3.878000000000e+01,5.060931183201e+21
3.958000000000e+01,5.057749208235e+21
4.040000000000e+01,5.054036904108e+21
4.123000000000e+01,5.050324599982e+21
4.209000000000e+01,5.046612295855e+21
4.296000000000e+01,5.042369662567e+21
4.386000000000e+01,5.038127029279e+21
4.478000000000e+01,5.033354066830e+21
4.571000000000e+01,5.028581104382e+21
4.667000000000e+01,5.023542977352e+21
4.765000000000e+01,5.018239685742e+21
4.866000000000e+01,5.012406064972e+21
4.969000000000e+01,5.006572444201e+21
5.183000000000e+01,4.993579379757e+21
5.293000000000e+01,4.986685100664e+21
5.407000000000e+01,4.979525656991e+21
5.643000000000e+01,4.963615782162e+21
5.766000000000e+01,4.955130515586e+21
5.891000000000e+01,4.946380084430e+21
6.020000000000e+01,4.937099324113e+21
6.153000000000e+01,4.927288234635e+21
6.289000000000e+01,4.916946815996e+21
6.429000000000e+01,4.906340232776e+21
6.572000000000e+01,4.895203320396e+21
6.720000000000e+01,4.883270914274e+21
6.872000000000e+01,4.870808178991e+21
7.028000000000e+01,4.858080279127e+21
7.188000000000e+01,4.844822050103e+21
7.353000000000e+01,4.831033491918e+21
