# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_7e79009958f328d9a54e"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "12C(2P)^+"
# neutral: "Rn"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "1:1:1 Average of the PI-1/2, PI-3/2 and SIGMA-1/2 CBS Potentials of A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. The accuracies are limited by the potentials, as described in the paper."
# source_family: "1:1:1 average of the pi-1/2, pi-3/2 and sigma-1/2 cbs potentials of a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 12, M = 222.018, &alpha; = 5.102."
# updated: "2021-12-24 00:07:15"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_656_neutral_38_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "912bddb2e19ae028c4283dcfd49c5f341b89a96efe4ce428e415dd33c24c5a50"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,1.349000000000e+20
1.100000000000e-01,1.349000000000e+20
4.600000000000e-01,1.350000000000e+20
8.000000000000e-01,1.350000000000e+20
1.970000000000e+00,1.354000000000e+20
3.310000000000e+00,1.362000000000e+20
3.970000000000e+00,1.367000000000e+20
4.570000000000e+00,1.373000000000e+20
6.040000000000e+00,1.390000000000e+20
6.950000000000e+00,1.404000000000e+20
8.410000000000e+00,1.429000000000e+20
8.830000000000e+00,1.437000000000e+20
9.270000000000e+00,1.446000000000e+20
9.740000000000e+00,1.456000000000e+20
1.023000000000e+01,1.467000000000e+20
1.074000000000e+01,1.479000000000e+20
1.128000000000e+01,1.492000000000e+20
1.184000000000e+01,1.506000000000e+20
1.306000000000e+01,1.540000000000e+20
1.440000000000e+01,1.581000000000e+20
1.499000000000e+01,1.600000000000e+20
1.591000000000e+01,1.631000000000e+20
1.623000000000e+01,1.642000000000e+20
1.655000000000e+01,1.654000000000e+20
1.689000000000e+01,1.666000000000e+20
1.723000000000e+01,1.679000000000e+20
1.865000000000e+01,1.735000000000e+20
1.941000000000e+01,1.766000000000e+20
1.980000000000e+01,1.783000000000e+20
2.020000000000e+01,1.800000000000e+20
2.061000000000e+01,1.818000000000e+20
2.103000000000e+01,1.837000000000e+20
2.145000000000e+01,1.856000000000e+20
2.277000000000e+01,1.919000000000e+20
2.323000000000e+01,1.941000000000e+20
2.370000000000e+01,1.965000000000e+20
2.418000000000e+01,1.989000000000e+20
2.467000000000e+01,2.015000000000e+20
2.517000000000e+01,2.041000000000e+20
2.620000000000e+01,2.097000000000e+20
2.673000000000e+01,2.126000000000e+20
2.727000000000e+01,2.157000000000e+20
2.782000000000e+01,2.188000000000e+20
2.838000000000e+01,2.221000000000e+20
2.896000000000e+01,2.255000000000e+20
2.955000000000e+01,2.291000000000e+20
3.076000000000e+01,2.366000000000e+20
3.202000000000e+01,2.446000000000e+20
3.334000000000e+01,2.532000000000e+20
3.402000000000e+01,2.577000000000e+20
3.471000000000e+01,2.624000000000e+20
3.542000000000e+01,2.673000000000e+20
3.615000000000e+01,2.723000000000e+20
3.689000000000e+01,2.775000000000e+20
3.764000000000e+01,2.829000000000e+20
3.842000000000e+01,2.885000000000e+20
3.921000000000e+01,2.942000000000e+20
4.001000000000e+01,3.001000000000e+20
4.084000000000e+01,3.062000000000e+20
4.168000000000e+01,3.125000000000e+20
4.255000000000e+01,3.190000000000e+20
4.343000000000e+01,3.257000000000e+20
4.433000000000e+01,3.326000000000e+20
4.525000000000e+01,3.398000000000e+20
4.620000000000e+01,3.471000000000e+20
4.717000000000e+01,3.547000000000e+20
4.816000000000e+01,3.624000000000e+20
4.917000000000e+01,3.704000000000e+20
5.021000000000e+01,3.787000000000e+20
5.127000000000e+01,3.871000000000e+20
5.236000000000e+01,3.958000000000e+20
5.348000000000e+01,4.048000000000e+20
5.463000000000e+01,4.140000000000e+20
5.824000000000e+01,4.443000000000e+20
5.951000000000e+01,4.534000000000e+20
6.082000000000e+01,4.639000000000e+20
6.216000000000e+01,4.747000000000e+20
6.353000000000e+01,4.858000000000e+20
6.494000000000e+01,4.971000000000e+20
6.640000000000e+01,5.088000000000e+20
6.789000000000e+01,5.207000000000e+20
6.942000000000e+01,5.330000000000e+20
7.100000000000e+01,5.457000000000e+20
7.263000000000e+01,5.586000000000e+20
7.430000000000e+01,5.719000000000e+20
7.602000000000e+01,5.856000000000e+20
7.779000000000e+01,5.996000000000e+20
7.961000000000e+01,6.139000000000e+20
8.149000000000e+01,6.288000000000e+20
8.342000000000e+01,6.441000000000e+20
8.541000000000e+01,6.597000000000e+20
8.746000000000e+01,6.759000000000e+20
8.957000000000e+01,6.926000000000e+20
9.175000000000e+01,7.097000000000e+20
9.399000000000e+01,7.276000000000e+20
9.630000000000e+01,7.461000000000e+20
9.867000000000e+01,7.653000000000e+20
1.011200000000e+02,7.851000000000e+20
1.036400000000e+02,8.058000000000e+20
1.062300000000e+02,8.278000000000e+20
1.089000000000e+02,8.509000000000e+20
1.116400000000e+02,8.750000000000e+20
1.144600000000e+02,9.002000000000e+20
1.173600000000e+02,9.273000000000e+20
1.203300000000e+02,9.559000000000e+20
1.233800000000e+02,9.870000000000e+20
1.265000000000e+02,1.020700000000e+21
1.297100000000e+02,1.057900000000e+21
1.329900000000e+02,1.098700000000e+21
1.363200000000e+02,1.143300000000e+21
1.397300000000e+02,1.193300000000e+21
1.432200000000e+02,1.249000000000e+21
1.467600000000e+02,1.311000000000e+21
1.503500000000e+02,1.382800000000e+21
1.540500000000e+02,1.465400000000e+21
1.577900000000e+02,1.559300000000e+21
1.691700000000e+02,1.924600000000e+21
1.730400000000e+02,2.087200000000e+21
1.769300000000e+02,2.270000000000e+21
1.808400000000e+02,2.478200000000e+21
1.887200000000e+02,2.977100000000e+21
1.926500000000e+02,3.259400000000e+21
1.965300000000e+02,3.562000000000e+21
2.003400000000e+02,3.867400000000e+21
2.041100000000e+02,4.205200000000e+21
2.078400000000e+02,4.532300000000e+21
2.114800000000e+02,4.870100000000e+21
2.150700000000e+02,5.198400000000e+21
2.186100000000e+02,5.533300000000e+21
2.221300000000e+02,5.863200000000e+21
2.256100000000e+02,6.194700000000e+21
2.359900000000e+02,7.179300000000e+21
2.392400000000e+02,7.445500000000e+21
2.427600000000e+02,7.791500000000e+21
2.461300000000e+02,8.080700000000e+21
2.496200000000e+02,8.425800000000e+21
2.529700000000e+02,8.732700000000e+21
2.564600000000e+02,9.067100000000e+21
2.599300000000e+02,9.394100000000e+21
2.634100000000e+02,9.723200000000e+21
2.669100000000e+02,1.005620000000e+22
2.704300000000e+02,1.040880000000e+22
2.740200000000e+02,1.075780000000e+22
2.775700000000e+02,1.111370000000e+22
2.811800000000e+02,1.149180000000e+22
2.950800000000e+02,1.297600000000e+22
2.985400000000e+02,1.337790000000e+22
3.020400000000e+02,1.378760000000e+22
3.055800000000e+02,1.421860000000e+22
3.092500000000e+02,1.469510000000e+22
3.129600000000e+02,1.519570000000e+22
3.167900000000e+02,1.570590000000e+22
3.206900000000e+02,1.623240000000e+22
3.247200000000e+02,1.676530000000e+22
3.289400000000e+02,1.736890000000e+22
3.330700000000e+02,1.792700000000e+22
3.374700000000e+02,1.853530000000e+22
3.418100000000e+02,1.910510000000e+22
3.464600000000e+02,1.972190000000e+22
3.514700000000e+02,2.042600000000e+22
3.563600000000e+02,2.105480000000e+22
3.616200000000e+02,2.175020000000e+22
3.669300000000e+02,2.242160000000e+22
3.724300000000e+02,2.310700000000e+22
3.781100000000e+02,2.379180000000e+22
3.839600000000e+02,2.448880000000e+22
3.901000000000e+02,2.522400000000e+22
3.964000000000e+02,2.594640000000e+22
4.029400000000e+02,2.670740000000e+22
4.097600000000e+02,2.748590000000e+22
