# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_88f41ecddca9e588de41"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "13C(2P)^+"
# neutral: "Rn"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of the PI-1/2, PI-3/2 and SIGMA-1/2 CBS Potentials. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of the pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 13.0034, M = 222.018, &alpha; = 5.102."
# updated: "2021-12-19 21:18:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13995_neutral_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "d10260e42124f850d67c28ca50f917819dd1977552bf2ad42652f198e75699c5"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,8.690000000000e+19
1.000000000000e-01,8.690000000000e+19
3.900000000000e-01,8.690000000000e+19
6.800000000000e-01,8.690000000000e+19
1.190000000000e+00,8.700000000000e+19
2.800000000000e+00,8.770000000000e+19
3.360000000000e+00,8.810000000000e+19
3.860000000000e+00,8.840000000000e+19
4.440000000000e+00,8.890000000000e+19
5.110000000000e+00,8.960000000000e+19
6.460000000000e+00,9.120000000000e+19
7.110000000000e+00,9.210000000000e+19
7.470000000000e+00,9.260000000000e+19
8.640000000000e+00,9.450000000000e+19
1.001000000000e+01,9.710000000000e+19
1.159000000000e+01,1.005000000000e+20
1.267000000000e+01,1.031000000000e+20
1.292000000000e+01,1.037000000000e+20
1.318000000000e+01,1.044000000000e+20
1.345000000000e+01,1.051000000000e+20
1.372000000000e+01,1.058000000000e+20
1.456000000000e+01,1.081000000000e+20
1.485000000000e+01,1.090000000000e+20
1.515000000000e+01,1.098000000000e+20
1.546000000000e+01,1.107000000000e+20
1.577000000000e+01,1.117000000000e+20
1.609000000000e+01,1.126000000000e+20
1.674000000000e+01,1.147000000000e+20
1.708000000000e+01,1.157000000000e+20
1.743000000000e+01,1.169000000000e+20
1.814000000000e+01,1.192000000000e+20
1.851000000000e+01,1.205000000000e+20
1.888000000000e+01,1.218000000000e+20
1.926000000000e+01,1.231000000000e+20
1.965000000000e+01,1.245000000000e+20
2.005000000000e+01,1.259000000000e+20
2.046000000000e+01,1.274000000000e+20
2.174000000000e+01,1.322000000000e+20
2.218000000000e+01,1.339000000000e+20
2.263000000000e+01,1.357000000000e+20
2.309000000000e+01,1.375000000000e+20
2.357000000000e+01,1.394000000000e+20
2.405000000000e+01,1.414000000000e+20
2.454000000000e+01,1.434000000000e+20
2.505000000000e+01,1.455000000000e+20
2.556000000000e+01,1.477000000000e+20
2.609000000000e+01,1.499000000000e+20
2.663000000000e+01,1.523000000000e+20
2.718000000000e+01,1.547000000000e+20
2.774000000000e+01,1.571000000000e+20
2.832000000000e+01,1.597000000000e+20
2.890000000000e+01,1.624000000000e+20
2.951000000000e+01,1.651000000000e+20
3.012000000000e+01,1.679000000000e+20
3.075000000000e+01,1.708000000000e+20
3.140000000000e+01,1.738000000000e+20
3.206000000000e+01,1.769000000000e+20
3.273000000000e+01,1.801000000000e+20
3.343000000000e+01,1.834000000000e+20
3.413000000000e+01,1.868000000000e+20
3.486000000000e+01,1.904000000000e+20
3.560000000000e+01,1.940000000000e+20
3.636000000000e+01,1.977000000000e+20
3.714000000000e+01,2.016000000000e+20
3.794000000000e+01,2.055000000000e+20
3.876000000000e+01,2.096000000000e+20
3.960000000000e+01,2.139000000000e+20
4.046000000000e+01,2.182000000000e+20
4.135000000000e+01,2.227000000000e+20
4.225000000000e+01,2.273000000000e+20
4.318000000000e+01,2.321000000000e+20
4.414000000000e+01,2.370000000000e+20
4.511000000000e+01,2.421000000000e+20
4.612000000000e+01,2.473000000000e+20
4.715000000000e+01,2.527000000000e+20
4.821000000000e+01,2.585000000000e+20
4.929000000000e+01,2.643000000000e+20
5.041000000000e+01,2.702000000000e+20
5.156000000000e+01,2.764000000000e+20
5.273000000000e+01,2.827000000000e+20
