# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_f8daa63a6f5f340f7c55"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "13C(2P)^+"
# neutral: "Rn"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of the PI-1/2, PI-3/2 and SIGMA-1/2 CBS Potentials. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of the pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 13.0034, M = 222.018, &alpha; = 5.102."
# updated: "2021-12-19 21:18:42"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13995_neutral_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "f57c2053d87e95e010c8824d8d93a17f9513d65f6e24dd551c850083a0fe5f05"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,4.896794307879e+21
1.400000000000e-01,4.896794307879e+21
5.600000000000e-01,4.896794307879e+21
1.710000000000e+00,4.896529143298e+21
3.350000000000e+00,4.895468484976e+21
4.830000000000e+00,4.893877497493e+21
5.560000000000e+00,4.892816839171e+21
6.390000000000e+00,4.891491016269e+21
7.350000000000e+00,4.889900028786e+21
8.460000000000e+00,4.887778712142e+21
9.310000000000e+00,4.885922560079e+21
1.024000000000e+01,4.883536078854e+21
1.076000000000e+01,4.882210255952e+21
1.130000000000e+01,4.880619268469e+21
1.187000000000e+01,4.879028280986e+21
1.247000000000e+01,4.877172128923e+21
1.310000000000e+01,4.875050812279e+21
1.376000000000e+01,4.872929495635e+21
1.445000000000e+01,4.870277849830e+21
1.518000000000e+01,4.867626204025e+21
1.595000000000e+01,4.864444229059e+21
1.676000000000e+01,4.860997089513e+21
1.761000000000e+01,4.857284785386e+21
1.797000000000e+01,4.855428633323e+21
1.834000000000e+01,4.853837645840e+21
1.871000000000e+01,4.851981493776e+21
1.909000000000e+01,4.850125341713e+21
1.948000000000e+01,4.848269189649e+21
1.988000000000e+01,4.846147873006e+21
2.029000000000e+01,4.844026556362e+21
2.070000000000e+01,4.841905239718e+21
2.112000000000e+01,4.839518758493e+21
2.156000000000e+01,4.837132277269e+21
2.200000000000e+01,4.834480631464e+21
2.245000000000e+01,4.832094150240e+21
2.291000000000e+01,4.829177339854e+21
2.387000000000e+01,4.823343719084e+21
2.436000000000e+01,4.820426908698e+21
2.486000000000e+01,4.817244933732e+21
2.538000000000e+01,4.813797794186e+21
2.590000000000e+01,4.810350654640e+21
2.644000000000e+01,4.806638350513e+21
2.699000000000e+01,4.802926046386e+21
2.755000000000e+01,4.798948577679e+21
2.812000000000e+01,4.794971108971e+21
2.871000000000e+01,4.790728475683e+21
2.931000000000e+01,4.786220677815e+21
2.993000000000e+01,4.781447715366e+21
3.055000000000e+01,4.776674752918e+21
3.120000000000e+01,4.771901790469e+21
3.185000000000e+01,4.766598498859e+21
3.253000000000e+01,4.761295207249e+21
3.322000000000e+01,4.755461586478e+21
3.392000000000e+01,4.749627965708e+21
3.464000000000e+01,4.743794344937e+21
3.538000000000e+01,4.737430395005e+21
3.614000000000e+01,4.730801280493e+21
3.691000000000e+01,4.724172165981e+21
3.771000000000e+01,4.717012722308e+21
3.852000000000e+01,4.709853278634e+21
3.935000000000e+01,4.702428670381e+21
4.020000000000e+01,4.694473732966e+21
4.108000000000e+01,4.686518795552e+21
