# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_43c9d81acb8ba8635cba"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "29Si^+(2P)"
# neutral: "Rn"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 28.9765, M = 222.018, &alpha; = 5.102."
# updated: "2021-12-28 21:31:05"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_004_2132_2132/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "620a0ec0afa707bdc749075f97a7918b1d6fc67182ea08a032838c22fcc4477d"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,3.346907334924e+21
1.800000000000e-01,3.346907334924e+21
7.100000000000e-01,3.346907334924e+21
1.240000000000e+00,3.346642170344e+21
2.170000000000e+00,3.346642170344e+21
3.030000000000e+00,3.346642170344e+21
4.250000000000e+00,3.346377005763e+21
5.100000000000e+00,3.346377005763e+21
6.110000000000e+00,3.346111841183e+21
7.030000000000e+00,3.345846676602e+21
8.090000000000e+00,3.345581512022e+21
9.300000000000e+00,3.345316347441e+21
1.070000000000e+01,3.344786018280e+21
1.177000000000e+01,3.344255689119e+21
1.295000000000e+01,3.343725359958e+21
1.360000000000e+01,3.343460195378e+21
1.428000000000e+01,3.343195030797e+21
1.499000000000e+01,3.342664701636e+21
1.574000000000e+01,3.342399537056e+21
1.653000000000e+01,3.341869207895e+21
1.736000000000e+01,3.341604043314e+21
1.823000000000e+01,3.341073714154e+21
1.915000000000e+01,3.340543384993e+21
2.011000000000e+01,3.340013055832e+21
2.112000000000e+01,3.339482726671e+21
2.218000000000e+01,3.338687232929e+21
2.262000000000e+01,3.338422068349e+21
2.308000000000e+01,3.338156903768e+21
2.354000000000e+01,3.337891739188e+21
2.401000000000e+01,3.337626574607e+21
2.450000000000e+01,3.337361410027e+21
2.499000000000e+01,3.337096245446e+21
2.549000000000e+01,3.336565916285e+21
2.600000000000e+01,3.336300751705e+21
2.652000000000e+01,3.336035587124e+21
2.706000000000e+01,3.335770422544e+21
2.760000000000e+01,3.335240093383e+21
2.816000000000e+01,3.334974928802e+21
2.872000000000e+01,3.334709764222e+21
2.930000000000e+01,3.334444599641e+21
2.989000000000e+01,3.333914270480e+21
3.049000000000e+01,3.333649105900e+21
3.110000000000e+01,3.333118776739e+21
3.173000000000e+01,3.332853612158e+21
3.237000000000e+01,3.332588447578e+21
3.302000000000e+01,3.332058118417e+21
3.368000000000e+01,3.331792953836e+21
3.436000000000e+01,3.331262624675e+21
3.505000000000e+01,3.330997460095e+21
3.576000000000e+01,3.330467130934e+21
3.648000000000e+01,3.330201966353e+21
3.721000000000e+01,3.329936801773e+21
3.796000000000e+01,3.329406472612e+21
3.873000000000e+01,3.329141308032e+21
3.951000000000e+01,3.328610978871e+21
4.030000000000e+01,3.328345814290e+21
4.111000000000e+01,3.327815485129e+21
4.194000000000e+01,3.327550320549e+21
4.279000000000e+01,3.327285155968e+21
4.365000000000e+01,3.326754826807e+21
4.453000000000e+01,3.326489662227e+21
4.542000000000e+01,3.326224497646e+21
4.634000000000e+01,3.325694168485e+21
4.727000000000e+01,3.325959333066e+21
4.822000000000e+01,3.325694168485e+21
4.919000000000e+01,3.325163839324e+21
5.018000000000e+01,3.324898674744e+21
5.119000000000e+01,3.324633510163e+21
5.222000000000e+01,3.324368345583e+21
5.327000000000e+01,3.324103181002e+21
5.434000000000e+01,3.323838016422e+21
5.543000000000e+01,3.323572851841e+21
5.654000000000e+01,3.323042522680e+21
5.768000000000e+01,3.322777358100e+21
5.884000000000e+01,3.322512193519e+21
6.002000000000e+01,3.322247028939e+21
6.122000000000e+01,3.321716699778e+21
6.245000000000e+01,3.321451535197e+21
6.370000000000e+01,3.320921206036e+21
6.498000000000e+01,3.320656041456e+21
6.628000000000e+01,3.320125712295e+21
6.761000000000e+01,3.319595383134e+21
6.897000000000e+01,3.319065053973e+21
7.035000000000e+01,3.318534724812e+21
7.176000000000e+01,3.318004395651e+21
7.320000000000e+01,3.317474066490e+21
7.467000000000e+01,3.316678572749e+21
7.617000000000e+01,3.315883079007e+21
7.770000000000e+01,3.315352749846e+21
7.926000000000e+01,3.314292091524e+21
8.086000000000e+01,3.313496597783e+21
8.248000000000e+01,3.312701104041e+21
8.415000000000e+01,3.311640445719e+21
8.584000000000e+01,3.310844951978e+21
8.757000000000e+01,3.310049458236e+21
8.934000000000e+01,3.308988799914e+21
9.115000000000e+01,3.308193306173e+21
9.300000000000e+01,3.307397812431e+21
9.489000000000e+01,3.306602318690e+21
9.681000000000e+01,3.305806824949e+21
9.878000000000e+01,3.305276495788e+21
1.007900000000e+02,3.304746166627e+21
1.028400000000e+02,3.304215837466e+21
1.049400000000e+02,3.303420343724e+21
1.070900000000e+02,3.303420343724e+21
1.092700000000e+02,3.303950672885e+21
1.115100000000e+02,3.304481002046e+21
1.137900000000e+02,3.305276495788e+21
1.161100000000e+02,3.306071989529e+21
1.184900000000e+02,3.307397812431e+21
1.209100000000e+02,3.309253964495e+21
1.233700000000e+02,3.311375281139e+21
1.475000000000e+02,3.353006120275e+21
1.503700000000e+02,3.359900399368e+21
1.532700000000e+02,3.367325007622e+21
1.562000000000e+02,3.375014780456e+21
1.742500000000e+02,3.421418582041e+21
1.773200000000e+02,3.428843190295e+21
1.804200000000e+02,3.435737469388e+21
1.835100000000e+02,3.443427242222e+21
1.866500000000e+02,3.449791192154e+21
1.898200000000e+02,3.456155142085e+21
1.930000000000e+02,3.462253927437e+21
1.962000000000e+02,3.468352712788e+21
1.994200000000e+02,3.474716662720e+21
2.026700000000e+02,3.480815448071e+21
2.059400000000e+02,3.486649068842e+21
2.092300000000e+02,3.492747854193e+21
2.125600000000e+02,3.498581474964e+21
2.159100000000e+02,3.504415095734e+21
2.193100000000e+02,3.511309374827e+21
2.227500000000e+02,3.517938489339e+21
2.262500000000e+02,3.524567603851e+21
2.297900000000e+02,3.531461882944e+21
2.333600000000e+02,3.538886491198e+21
2.369600000000e+02,3.546311099452e+21
2.406100000000e+02,3.554000872286e+21
2.443200000000e+02,3.562220974281e+21
2.481600000000e+02,3.569910747115e+21
2.519800000000e+02,3.579456672013e+21
2.559400000000e+02,3.588737432330e+21
2.599900000000e+02,3.598283357227e+21
2.641200000000e+02,3.608094446705e+21
2.683600000000e+02,3.618170700764e+21
2.727100000000e+02,3.628512119403e+21
2.771700000000e+02,3.639118702622e+21
2.817500000000e+02,3.649725285842e+21
2.864600000000e+02,3.660597033642e+21
2.913400000000e+02,3.670408123120e+21
2.963500000000e+02,3.680749541759e+21
3.015200000000e+02,3.690825795818e+21
3.068500000000e+02,3.700636885296e+21
3.427700000000e+02,3.745184534818e+21
3.494600000000e+02,3.750222661847e+21
3.563600000000e+02,3.754730459715e+21
3.635300000000e+02,3.757647270101e+21
3.709300000000e+02,3.759503422164e+21
3.785900000000e+02,3.760564080486e+21
3.865000000000e+02,3.760298915906e+21
3.946900000000e+02,3.759238257584e+21
4.031600000000e+02,3.756851776359e+21
4.118200000000e+02,3.754465295135e+21
4.208600000000e+02,3.749957497267e+21
4.301800000000e+02,3.744919370237e+21
4.397700000000e+02,3.739085749467e+21
4.496900000000e+02,3.732191470374e+21
4.599300000000e+02,3.724501697540e+21
4.704700000000e+02,3.716281595545e+21
4.813700000000e+02,3.706470506066e+21
4.926000000000e+02,3.696394252008e+21
5.041700000000e+02,3.685522504208e+21
5.160700000000e+02,3.674385591827e+21
5.283200000000e+02,3.662718350286e+21
5.410100000000e+02,3.649725285842e+21
5.540500000000e+02,3.636467056818e+21
5.674200000000e+02,3.623208827793e+21
5.812700000000e+02,3.608624775866e+21
5.954700000000e+02,3.594305888520e+21
6.100400000000e+02,3.579721836593e+21
6.253000000000e+02,3.562751303442e+21
