# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_e7f856043f298e3a3851"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "29Si^+(2P)"
# neutral: "Rn"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 28.9765, M = 222.018, &alpha; = 5.102."
# updated: "2021-12-28 21:31:05"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_004_2132_2132/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "620a0ec0afa707bdc749075f97a7918b1d6fc67182ea08a032838c22fcc4477d"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,3.365203690978e+21
1.400000000000e-01,3.365203690978e+21
5.700000000000e-01,3.365203690978e+21
1.010000000000e+00,3.365203690978e+21
1.760000000000e+00,3.364938526397e+21
2.460000000000e+00,3.364938526397e+21
3.450000000000e+00,3.364938526397e+21
4.140000000000e+00,3.364673361817e+21
4.970000000000e+00,3.364408197236e+21
5.710000000000e+00,3.364408197236e+21
6.570000000000e+00,3.364143032656e+21
7.550000000000e+00,3.363877868076e+21
8.690000000000e+00,3.363347538915e+21
9.560000000000e+00,3.362817209754e+21
1.051000000000e+01,3.362552045173e+21
1.104000000000e+01,3.362286880593e+21
1.159000000000e+01,3.362021716012e+21
1.217000000000e+01,3.361491386851e+21
1.278000000000e+01,3.361226222271e+21
1.342000000000e+01,3.360961057690e+21
1.410000000000e+01,3.360430728529e+21
1.480000000000e+01,3.359900399368e+21
1.555000000000e+01,3.359370070207e+21
1.633000000000e+01,3.358839741046e+21
1.714000000000e+01,3.358309411885e+21
1.800000000000e+01,3.357513918144e+21
1.837000000000e+01,3.357248753563e+21
1.873000000000e+01,3.356983588983e+21
1.911000000000e+01,3.356718424402e+21
1.950000000000e+01,3.356453259822e+21
1.989000000000e+01,3.355922930661e+21
2.029000000000e+01,3.355657766080e+21
2.069000000000e+01,3.355392601500e+21
2.111000000000e+01,3.354597107758e+21
2.153000000000e+01,3.354597107758e+21
2.197000000000e+01,3.354066778597e+21
2.241000000000e+01,3.353801614017e+21
2.286000000000e+01,3.353271284856e+21
2.332000000000e+01,3.353006120275e+21
2.379000000000e+01,3.352475791115e+21
2.427000000000e+01,3.351945461954e+21
2.476000000000e+01,3.351680297373e+21
2.526000000000e+01,3.351149968212e+21
2.576000000000e+01,3.350619639051e+21
2.628000000000e+01,3.350089309890e+21
2.681000000000e+01,3.349558980729e+21
2.735000000000e+01,3.349028651568e+21
2.791000000000e+01,3.348498322407e+21
2.847000000000e+01,3.347967993246e+21
2.904000000000e+01,3.347437664085e+21
2.963000000000e+01,3.346907334924e+21
3.023000000000e+01,3.346111841183e+21
3.084000000000e+01,3.345581512022e+21
3.146000000000e+01,3.345051182861e+21
3.209000000000e+01,3.344255689119e+21
3.274000000000e+01,3.343725359958e+21
3.340000000000e+01,3.343195030797e+21
3.408000000000e+01,3.342399537056e+21
3.477000000000e+01,3.341869207895e+21
3.547000000000e+01,3.341073714154e+21
3.619000000000e+01,3.340543384993e+21
3.692000000000e+01,3.339747891251e+21
3.767000000000e+01,3.339217562090e+21
3.843000000000e+01,3.338422068349e+21
3.921000000000e+01,3.337626574607e+21
4.000000000000e+01,3.337361410027e+21
4.081000000000e+01,3.336831080866e+21
4.164000000000e+01,3.336035587124e+21
4.248000000000e+01,3.335505257963e+21
4.334000000000e+01,3.334974928802e+21
4.422000000000e+01,3.334179435061e+21
4.511000000000e+01,3.333649105900e+21
4.602000000000e+01,3.333118776739e+21
4.696000000000e+01,3.332588447578e+21
4.791000000000e+01,3.332058118417e+21
4.887000000000e+01,3.331527789256e+21
4.986000000000e+01,3.330997460095e+21
5.087000000000e+01,3.330467130934e+21
5.190000000000e+01,3.329936801773e+21
5.295000000000e+01,3.329406472612e+21
5.402000000000e+01,3.328876143451e+21
5.511000000000e+01,3.328345814290e+21
5.622000000000e+01,3.327815485129e+21
5.735000000000e+01,3.327285155968e+21
5.851000000000e+01,3.326754826807e+21
5.969000000000e+01,3.326489662227e+21
6.089000000000e+01,3.325959333066e+21
6.212000000000e+01,3.325429003905e+21
6.337000000000e+01,3.324898674744e+21
6.464000000000e+01,3.324368345583e+21
6.594000000000e+01,3.323838016422e+21
6.727000000000e+01,3.323042522680e+21
6.862000000000e+01,3.322512193519e+21
7.000000000000e+01,3.321981864358e+21
7.140000000000e+01,3.321186370617e+21
7.284000000000e+01,3.320390876875e+21
7.430000000000e+01,3.319595383134e+21
7.579000000000e+01,3.318799889392e+21
7.731000000000e+01,3.318004395651e+21
7.886000000000e+01,3.317208901910e+21
8.045000000000e+01,3.316148243588e+21
8.206000000000e+01,3.315352749846e+21
8.371000000000e+01,3.314292091524e+21
8.539000000000e+01,3.313231433202e+21
8.711000000000e+01,3.312170774880e+21
8.887000000000e+01,3.311110116558e+21
9.066000000000e+01,3.310049458236e+21
9.249000000000e+01,3.308988799914e+21
9.436000000000e+01,3.308193306173e+21
9.628000000000e+01,3.307132647851e+21
9.823000000000e+01,3.306337154110e+21
1.002200000000e+02,3.305806824949e+21
1.022600000000e+02,3.305541660368e+21
1.043500000000e+02,3.304481002046e+21
1.064800000000e+02,3.304215837466e+21
1.086500000000e+02,3.304215837466e+21
1.108700000000e+02,3.303420343724e+21
1.131400000000e+02,3.303950672885e+21
1.154600000000e+02,3.305011331207e+21
1.178200000000e+02,3.306071989529e+21
