# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_4965bd33a43c4020d688"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "29Si^+(2P1/2)"
# neutral: "Rn"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 28.9765, M = 222.018, &alpha; = 5.102."
# updated: "2021-12-27 15:53:50"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_005_2133_2133/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "7a49605eeb0dfa2062e980e397905b50d0d84873bfc7d8c2dc861c5d903067fc"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,3.340013055832e+21
1.800000000000e-01,3.340013055832e+21
7.100000000000e-01,3.340013055832e+21
1.240000000000e+00,3.340013055832e+21
2.170000000000e+00,3.339747891251e+21
4.260000000000e+00,3.339217562090e+21
5.110000000000e+00,3.338952397510e+21
6.130000000000e+00,3.338422068349e+21
8.110000000000e+00,3.337096245446e+21
9.330000000000e+00,3.336035587124e+21
1.073000000000e+01,3.334709764222e+21
1.181000000000e+01,3.333649105900e+21
1.300000000000e+01,3.332323282997e+21
1.365000000000e+01,3.331527789256e+21
1.505000000000e+01,3.329671637193e+21
1.581000000000e+01,3.328610978871e+21
1.832000000000e+01,3.324633510163e+21
1.925000000000e+01,3.323042522680e+21
2.124000000000e+01,3.319330218553e+21
2.232000000000e+01,3.317208901910e+21
2.277000000000e+01,3.316148243588e+21
2.418000000000e+01,3.313231433202e+21
2.467000000000e+01,3.312170774880e+21
2.569000000000e+01,3.309784293656e+21
2.621000000000e+01,3.308458470753e+21
2.674000000000e+01,3.307132647851e+21
2.784000000000e+01,3.304481002046e+21
2.841000000000e+01,3.303155179144e+21
2.899000000000e+01,3.301564191661e+21
2.958000000000e+01,3.299973204178e+21
3.019000000000e+01,3.298382216695e+21
3.080000000000e+01,3.296791229212e+21
3.143000000000e+01,3.295200241729e+21
3.208000000000e+01,3.293344089666e+21
3.274000000000e+01,3.291487937602e+21
3.341000000000e+01,3.289366620958e+21
3.552000000000e+01,3.283267835607e+21
3.625000000000e+01,3.280881354383e+21
3.700000000000e+01,3.278760037739e+21
3.776000000000e+01,3.276108391934e+21
