# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_a5a53065cb5308bd92a3"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "29Si^+(2P3/2)"
# neutral: "Rn"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 28.9765, M = 222.018, &alpha; = 5.102."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_006_2134_2134/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "b91280b9d24f6dadfd5620be414d805750cd6aca2fbf8453caa7a0807686ba2a"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,3.364408197236e+21
1.000000000000e-01,3.364408197236e+21
4.100000000000e-01,3.364408197236e+21
7.100000000000e-01,3.364408197236e+21
1.240000000000e+00,3.364673361817e+21
1.740000000000e+00,3.364673361817e+21
2.440000000000e+00,3.364673361817e+21
2.930000000000e+00,3.364673361817e+21
3.510000000000e+00,3.364673361817e+21
4.040000000000e+00,3.364938526397e+21
4.640000000000e+00,3.364938526397e+21
5.340000000000e+00,3.364938526397e+21
6.140000000000e+00,3.365203690978e+21
6.750000000000e+00,3.365203690978e+21
7.430000000000e+00,3.365468855558e+21
7.800000000000e+00,3.365468855558e+21
8.190000000000e+00,3.365734020139e+21
8.600000000000e+00,3.365734020139e+21
9.030000000000e+00,3.365734020139e+21
9.480000000000e+00,3.365999184719e+21
9.950000000000e+00,3.365999184719e+21
1.045000000000e+01,3.365999184719e+21
1.097000000000e+01,3.366264349300e+21
1.152000000000e+01,3.366264349300e+21
1.210000000000e+01,3.366264349300e+21
1.270000000000e+01,3.366264349300e+21
1.295000000000e+01,3.366264349300e+21
1.321000000000e+01,3.366529513880e+21
1.348000000000e+01,3.366529513880e+21
1.375000000000e+01,3.366529513880e+21
1.402000000000e+01,3.366529513880e+21
1.430000000000e+01,3.366529513880e+21
1.459000000000e+01,3.366529513880e+21
1.488000000000e+01,3.366529513880e+21
1.518000000000e+01,3.366529513880e+21
1.548000000000e+01,3.366264349300e+21
1.579000000000e+01,3.366264349300e+21
1.611000000000e+01,3.366264349300e+21
1.643000000000e+01,3.366264349300e+21
1.676000000000e+01,3.366264349300e+21
1.709000000000e+01,3.365999184719e+21
1.743000000000e+01,3.365999184719e+21
