# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_dfced769e01af3a05a83"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "29Si^+(2P3/2)"
# neutral: "Rn"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 28.9765, M = 222.018, &alpha; = 5.102."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_006_2134_2134/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "2abd1a07d524d58bf39e3840548d026d1f5e55f8b5f99aa162b6c8439923aa63"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,1.465000000000e+20
2.300000000000e-01,1.465000000000e+20
9.100000000000e-01,1.465000000000e+20
1.590000000000e+00,1.466000000000e+20
2.790000000000e+00,1.468000000000e+20
3.900000000000e+00,1.471000000000e+20
5.470000000000e+00,1.477000000000e+20
6.560000000000e+00,1.481000000000e+20
7.870000000000e+00,1.488000000000e+20
9.050000000000e+00,1.496000000000e+20
1.041000000000e+01,1.505000000000e+20
1.196000000000e+01,1.518000000000e+20
1.376000000000e+01,1.535000000000e+20
1.513000000000e+01,1.550000000000e+20
1.664000000000e+01,1.568000000000e+20
1.747000000000e+01,1.580000000000e+20
1.834000000000e+01,1.592000000000e+20
1.925000000000e+01,1.605000000000e+20
2.021000000000e+01,1.620000000000e+20
2.121000000000e+01,1.637000000000e+20
2.227000000000e+01,1.655000000000e+20
2.337000000000e+01,1.675000000000e+20
2.453000000000e+01,1.696000000000e+20
2.575000000000e+01,1.718000000000e+20
2.703000000000e+01,1.748000000000e+20
2.837000000000e+01,1.778000000000e+20
2.893000000000e+01,1.792000000000e+20
2.950000000000e+01,1.805000000000e+20
3.008000000000e+01,1.819000000000e+20
3.068000000000e+01,1.834000000000e+20
3.128000000000e+01,1.849000000000e+20
3.190000000000e+01,1.865000000000e+20
3.253000000000e+01,1.882000000000e+20
3.317000000000e+01,1.899000000000e+20
3.382000000000e+01,1.917000000000e+20
3.449000000000e+01,1.936000000000e+20
3.517000000000e+01,1.956000000000e+20
3.586000000000e+01,1.977000000000e+20
3.656000000000e+01,1.998000000000e+20
3.728000000000e+01,2.020000000000e+20
3.801000000000e+01,2.043000000000e+20
3.876000000000e+01,2.068000000000e+20
3.952000000000e+01,2.093000000000e+20
4.029000000000e+01,2.119000000000e+20
4.108000000000e+01,2.145000000000e+20
4.188000000000e+01,2.174000000000e+20
4.270000000000e+01,2.204000000000e+20
4.353000000000e+01,2.234000000000e+20
4.438000000000e+01,2.266000000000e+20
4.524000000000e+01,2.299000000000e+20
4.612000000000e+01,2.333000000000e+20
4.702000000000e+01,2.369000000000e+20
4.793000000000e+01,2.406000000000e+20
4.886000000000e+01,2.445000000000e+20
4.980000000000e+01,2.485000000000e+20
5.076000000000e+01,2.526000000000e+20
5.174000000000e+01,2.569000000000e+20
5.274000000000e+01,2.614000000000e+20
5.376000000000e+01,2.660000000000e+20
5.479000000000e+01,2.708000000000e+20
5.584000000000e+01,2.758000000000e+20
5.691000000000e+01,2.810000000000e+20
5.801000000000e+01,2.864000000000e+20
5.912000000000e+01,2.919000000000e+20
6.025000000000e+01,2.977000000000e+20
6.140000000000e+01,3.036000000000e+20
6.257000000000e+01,3.098000000000e+20
6.377000000000e+01,3.162000000000e+20
6.498000000000e+01,3.228000000000e+20
6.622000000000e+01,3.297000000000e+20
6.749000000000e+01,3.369000000000e+20
6.877000000000e+01,3.443000000000e+20
7.008000000000e+01,3.519000000000e+20
7.141000000000e+01,3.599000000000e+20
7.277000000000e+01,3.681000000000e+20
7.415000000000e+01,3.768000000000e+20
7.556000000000e+01,3.857000000000e+20
7.700000000000e+01,3.950000000000e+20
7.846000000000e+01,4.046000000000e+20
7.996000000000e+01,4.148000000000e+20
8.148000000000e+01,4.253000000000e+20
8.302000000000e+01,4.361000000000e+20
8.460000000000e+01,4.477000000000e+20
8.621000000000e+01,4.597000000000e+20
8.786000000000e+01,4.723000000000e+20
