# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_6f868e892c4c8ed731d4"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "30Si^+(2P1/2)"
# neutral: "Rn"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 29.9738, M = 222.018, &alpha; = 5.102."
# updated: "2021-12-27 15:53:50"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_008_2136_2136/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "4b365fd198f23fd4b60f84db32502f0abe0d5ea3bc44a22a77a9577b65fa0551"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,3.290427279280e+21
1.800000000000e-01,3.290427279280e+21
7.200000000000e-01,3.290427279280e+21
1.260000000000e+00,3.290427279280e+21
3.090000000000e+00,3.290162114700e+21
5.190000000000e+00,3.289366620958e+21
6.220000000000e+00,3.288836291797e+21
7.160000000000e+00,3.288305962636e+21
8.230000000000e+00,3.287510468895e+21
9.470000000000e+00,3.286449810573e+21
1.089000000000e+01,3.285123987670e+21
1.199000000000e+01,3.284063329349e+21
1.319000000000e+01,3.282737506446e+21
1.385000000000e+01,3.281942012705e+21
1.528000000000e+01,3.280085860641e+21
1.686000000000e+01,3.277964543997e+21
1.771000000000e+01,3.276638721095e+21
2.052000000000e+01,3.271865758646e+21
2.156000000000e+01,3.270009606583e+21
2.265000000000e+01,3.267888289939e+21
2.358000000000e+01,3.266032137875e+21
2.406000000000e+01,3.264971479553e+21
2.455000000000e+01,3.263910821231e+21
2.504000000000e+01,3.262850162909e+21
2.714000000000e+01,3.258077200461e+21
2.826000000000e+01,3.255425554656e+21
2.943000000000e+01,3.252508744270e+21
3.003000000000e+01,3.250917756787e+21
3.127000000000e+01,3.247735781822e+21
3.256000000000e+01,3.244288642275e+21
3.323000000000e+01,3.242432490212e+21
3.391000000000e+01,3.240576338148e+21
3.532000000000e+01,3.236598869441e+21
3.605000000000e+01,3.234477552797e+21
3.756000000000e+01,3.229969754929e+21
3.833000000000e+01,3.227583273704e+21
3.913000000000e+01,3.224931627900e+21
4.162000000000e+01,3.216976690485e+21
4.248000000000e+01,3.214059880100e+21
4.337000000000e+01,3.211143069714e+21
4.428000000000e+01,3.207961094748e+21
4.520000000000e+01,3.204779119782e+21
4.615000000000e+01,3.201597144817e+21
4.712000000000e+01,3.198150005270e+21
4.811000000000e+01,3.194702865724e+21
4.913000000000e+01,3.190990561597e+21
5.016000000000e+01,3.187278257470e+21
5.123000000000e+01,3.183300788763e+21
5.231000000000e+01,3.179323320056e+21
5.343000000000e+01,3.175345851348e+21
5.456000000000e+01,3.171103218060e+21
5.573000000000e+01,3.166595420192e+21
5.692000000000e+01,3.162087622324e+21
5.814000000000e+01,3.157314659875e+21
5.939000000000e+01,3.152541697426e+21
6.067000000000e+01,3.147503570397e+21
6.198000000000e+01,3.142465443368e+21
6.332000000000e+01,3.137162151758e+21
6.470000000000e+01,3.131858860148e+21
6.611000000000e+01,3.126290403958e+21
6.755000000000e+01,3.120456783187e+21
6.903000000000e+01,3.114623162416e+21
7.054000000000e+01,3.108789541646e+21
7.209000000000e+01,3.102425591714e+21
7.368000000000e+01,3.096326806363e+21
7.531000000000e+01,3.089697691851e+21
7.698000000000e+01,3.083333741919e+21
7.869000000000e+01,3.076439462826e+21
8.045000000000e+01,3.069545183733e+21
8.224000000000e+01,3.062650904641e+21
8.409000000000e+01,3.055491460968e+21
8.598000000000e+01,3.048332017294e+21
8.792000000000e+01,3.040907409041e+21
8.990000000000e+01,3.033482800787e+21
9.194000000000e+01,3.025793027953e+21
9.403000000000e+01,3.018103255119e+21
9.617000000000e+01,3.010413482285e+21
9.836000000000e+01,3.002723709450e+21
1.006100000000e+02,2.995033936616e+21
1.029100000000e+02,2.987078999202e+21
1.052800000000e+02,2.979389226367e+21
1.077000000000e+02,2.971699453533e+21
1.101800000000e+02,2.964009680699e+21
1.127200000000e+02,2.956585072445e+21
1.153100000000e+02,2.949425628772e+21
1.179700000000e+02,2.942531349679e+21
1.206900000000e+02,2.935637070587e+21
1.234800000000e+02,2.929273120655e+21
1.263200000000e+02,2.922909170723e+21
1.292300000000e+02,2.917871043694e+21
1.321900000000e+02,2.913098081245e+21
1.383000000000e+02,2.905408308411e+21
1.414400000000e+02,2.902756662606e+21
1.446400000000e+02,2.900900510543e+21
