# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_e5c3340a12175e5a4464"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "30Si^+(2P1/2)"
# neutral: "Rn"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 29.9738, M = 222.018, &alpha; = 5.102."
# updated: "2021-12-27 15:53:50"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_008_2136_2136/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "9b7baa4c2b10e4a45f5764dbc736644ef600eed914cbe565cdd5b3898d60ae93"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,1.136000000000e+20
2.100000000000e-01,1.136000000000e+20
8.400000000000e-01,1.136000000000e+20
1.470000000000e+00,1.136000000000e+20
2.580000000000e+00,1.138000000000e+20
3.610000000000e+00,1.139000000000e+20
5.050000000000e+00,1.143000000000e+20
6.060000000000e+00,1.146000000000e+20
7.280000000000e+00,1.150000000000e+20
8.370000000000e+00,1.155000000000e+20
1.274000000000e+01,1.179000000000e+20
1.621000000000e+01,1.206000000000e+20
1.788000000000e+01,1.221000000000e+20
1.878000000000e+01,1.229000000000e+20
2.073000000000e+01,1.249000000000e+20
2.177000000000e+01,1.260000000000e+20
2.287000000000e+01,1.273000000000e+20
2.403000000000e+01,1.286000000000e+20
2.654000000000e+01,1.317000000000e+20
2.763000000000e+01,1.332000000000e+20
2.819000000000e+01,1.340000000000e+20
2.876000000000e+01,1.347000000000e+20
2.935000000000e+01,1.356000000000e+20
3.056000000000e+01,1.373000000000e+20
3.119000000000e+01,1.382000000000e+20
3.182000000000e+01,1.392000000000e+20
3.314000000000e+01,1.412000000000e+20
3.382000000000e+01,1.422000000000e+20
3.452000000000e+01,1.433000000000e+20
3.595000000000e+01,1.457000000000e+20
3.669000000000e+01,1.469000000000e+20
3.745000000000e+01,1.482000000000e+20
3.822000000000e+01,1.495000000000e+20
3.901000000000e+01,1.509000000000e+20
3.982000000000e+01,1.523000000000e+20
4.065000000000e+01,1.537000000000e+20
4.149000000000e+01,1.553000000000e+20
4.235000000000e+01,1.568000000000e+20
4.414000000000e+01,1.602000000000e+20
4.696000000000e+01,1.656000000000e+20
4.795000000000e+01,1.676000000000e+20
4.896000000000e+01,1.696000000000e+20
4.999000000000e+01,1.717000000000e+20
5.104000000000e+01,1.738000000000e+20
5.212000000000e+01,1.761000000000e+20
5.322000000000e+01,1.784000000000e+20
5.435000000000e+01,1.808000000000e+20
5.551000000000e+01,1.833000000000e+20
5.669000000000e+01,1.859000000000e+20
5.790000000000e+01,1.886000000000e+20
5.914000000000e+01,1.913000000000e+20
6.041000000000e+01,1.942000000000e+20
6.170000000000e+01,1.972000000000e+20
6.303000000000e+01,2.003000000000e+20
6.439000000000e+01,2.034000000000e+20
6.579000000000e+01,2.068000000000e+20
6.721000000000e+01,2.102000000000e+20
6.867000000000e+01,2.138000000000e+20
7.017000000000e+01,2.175000000000e+20
7.170000000000e+01,2.213000000000e+20
7.327000000000e+01,2.253000000000e+20
7.488000000000e+01,2.295000000000e+20
7.653000000000e+01,2.337000000000e+20
7.822000000000e+01,2.384000000000e+20
7.995000000000e+01,2.431000000000e+20
8.172000000000e+01,2.480000000000e+20
8.354000000000e+01,2.531000000000e+20
8.540000000000e+01,2.585000000000e+20
8.730000000000e+01,2.628000000000e+20
8.926000000000e+01,2.685000000000e+20
9.126000000000e+01,2.744000000000e+20
9.331000000000e+01,2.807000000000e+20
9.542000000000e+01,2.873000000000e+20
9.757000000000e+01,2.941000000000e+20
9.978000000000e+01,3.014000000000e+20
1.020400000000e+02,3.092000000000e+20
1.043600000000e+02,3.174000000000e+20
1.067400000000e+02,3.262000000000e+20
1.091600000000e+02,3.355000000000e+20
1.116500000000e+02,3.455000000000e+20
1.141900000000e+02,3.563000000000e+20
1.221800000000e+02,3.940000000000e+20
1.249600000000e+02,4.089000000000e+20
1.278000000000e+02,4.253000000000e+20
1.307000000000e+02,4.432000000000e+20
1.336500000000e+02,4.631000000000e+20
1.366600000000e+02,4.851000000000e+20
1.397300000000e+02,5.095000000000e+20
1.428600000000e+02,5.370000000000e+20
1.460400000000e+02,5.676000000000e+20
1.526300000000e+02,6.425000000000e+20
1.558300000000e+02,6.834000000000e+20
1.592000000000e+02,7.338000000000e+20
1.626100000000e+02,7.890000000000e+20
1.661100000000e+02,8.512000000000e+20
1.695900000000e+02,9.205000000000e+20
1.730900000000e+02,9.954000000000e+20
1.766000000000e+02,1.078500000000e+21
1.801100000000e+02,1.167900000000e+21
1.836000000000e+02,1.261100000000e+21
1.870800000000e+02,1.359600000000e+21
1.905200000000e+02,1.458400000000e+21
1.939500000000e+02,1.562400000000e+21
1.973400000000e+02,1.663700000000e+21
2.007300000000e+02,1.764500000000e+21
2.040600000000e+02,1.863400000000e+21
2.107200000000e+02,2.056300000000e+21
2.140300000000e+02,2.150000000000e+21
2.206900000000e+02,2.327900000000e+21
2.239900000000e+02,2.411400000000e+21
2.652800000000e+02,3.356000000000e+21
2.693500000000e+02,3.457900000000e+21
2.764500000000e+02,3.611500000000e+21
