# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_2dd19b3f93d76e11f1d9"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "30Si^+(2P3/2)"
# neutral: "Rn"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 29.9738, M = 222.018, &alpha; = 5.102."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_009_2137_2137/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "17c39be4148686d8d287eb5925db85b9d32934ee19c45c4b87ef94f015f73071"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,2.890000000000e+19
1.000000000000e-01,2.890000000000e+19
4.100000000000e-01,2.890000000000e+19
7.200000000000e-01,2.890000000000e+19
1.260000000000e+00,2.900000000000e+19
1.770000000000e+00,2.900000000000e+19
2.470000000000e+00,2.910000000000e+19
2.970000000000e+00,2.920000000000e+19
3.560000000000e+00,2.940000000000e+19
4.100000000000e+00,2.950000000000e+19
4.710000000000e+00,2.970000000000e+19
5.420000000000e+00,3.000000000000e+19
6.230000000000e+00,3.030000000000e+19
6.850000000000e+00,3.060000000000e+19
7.540000000000e+00,3.090000000000e+19
7.920000000000e+00,3.110000000000e+19
8.310000000000e+00,3.130000000000e+19
8.730000000000e+00,3.160000000000e+19
9.160000000000e+00,3.180000000000e+19
9.620000000000e+00,3.210000000000e+19
1.010000000000e+01,3.240000000000e+19
1.061000000000e+01,3.280000000000e+19
1.114000000000e+01,3.320000000000e+19
1.169000000000e+01,3.360000000000e+19
1.228000000000e+01,3.410000000000e+19
1.289000000000e+01,3.460000000000e+19
1.315000000000e+01,3.480000000000e+19
1.341000000000e+01,3.510000000000e+19
1.368000000000e+01,3.530000000000e+19
1.395000000000e+01,3.560000000000e+19
1.423000000000e+01,3.580000000000e+19
1.452000000000e+01,3.610000000000e+19
1.481000000000e+01,3.640000000000e+19
1.510000000000e+01,3.670000000000e+19
1.541000000000e+01,3.700000000000e+19
1.571000000000e+01,3.730000000000e+19
1.603000000000e+01,3.760000000000e+19
1.635000000000e+01,3.800000000000e+19
1.667000000000e+01,3.830000000000e+19
1.701000000000e+01,3.870000000000e+19
1.735000000000e+01,3.910000000000e+19
1.770000000000e+01,3.950000000000e+19
1.805000000000e+01,3.990000000000e+19
