# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_5ee87ee19d585a0419dd"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "30Si^+(2P3/2)"
# neutral: "Rn"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 100 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 29.9738, M = 222.018, &alpha; = 5.102."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_009_2137_2137/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "f012de6566f0f50d7a255c4fc57705baa567234ef1a6fd4c98226d355af96b76"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,3.314557256105e+21
1.000000000000e-01,3.314557256105e+21
4.100000000000e-01,3.314557256105e+21
7.200000000000e-01,3.314557256105e+21
1.260000000000e+00,3.314557256105e+21
1.770000000000e+00,3.314822420685e+21
2.470000000000e+00,3.314822420685e+21
2.970000000000e+00,3.314822420685e+21
3.560000000000e+00,3.314822420685e+21
4.100000000000e+00,3.314822420685e+21
4.710000000000e+00,3.315087585266e+21
5.420000000000e+00,3.315087585266e+21
6.230000000000e+00,3.315352749846e+21
6.850000000000e+00,3.315352749846e+21
7.540000000000e+00,3.315617914427e+21
7.920000000000e+00,3.315617914427e+21
8.310000000000e+00,3.315617914427e+21
8.730000000000e+00,3.315883079007e+21
9.160000000000e+00,3.315883079007e+21
9.620000000000e+00,3.315883079007e+21
1.010000000000e+01,3.316148243588e+21
1.061000000000e+01,3.316148243588e+21
1.114000000000e+01,3.316148243588e+21
1.169000000000e+01,3.316413408168e+21
1.228000000000e+01,3.316413408168e+21
1.289000000000e+01,3.316413408168e+21
1.315000000000e+01,3.316413408168e+21
1.341000000000e+01,3.316413408168e+21
1.368000000000e+01,3.316413408168e+21
1.395000000000e+01,3.316413408168e+21
1.423000000000e+01,3.316413408168e+21
1.452000000000e+01,3.316413408168e+21
1.481000000000e+01,3.316413408168e+21
1.510000000000e+01,3.316413408168e+21
1.541000000000e+01,3.316413408168e+21
1.571000000000e+01,3.316413408168e+21
1.603000000000e+01,3.316413408168e+21
1.635000000000e+01,3.316413408168e+21
1.667000000000e+01,3.316413408168e+21
1.701000000000e+01,3.316148243588e+21
1.735000000000e+01,3.316148243588e+21
1.770000000000e+01,3.316148243588e+21
1.805000000000e+01,3.315883079007e+21
1.841000000000e+01,3.315883079007e+21
1.878000000000e+01,3.315617914427e+21
1.916000000000e+01,3.315617914427e+21
1.954000000000e+01,3.315352749846e+21
1.993000000000e+01,3.315352749846e+21
2.033000000000e+01,3.315087585266e+21
2.074000000000e+01,3.315087585266e+21
2.115000000000e+01,3.314822420685e+21
2.157000000000e+01,3.314557256105e+21
2.201000000000e+01,3.314292091524e+21
2.245000000000e+01,3.314026926944e+21
2.290000000000e+01,3.313761762363e+21
2.336000000000e+01,3.313496597783e+21
2.383000000000e+01,3.313231433202e+21
2.431000000000e+01,3.312701104041e+21
2.479000000000e+01,3.312435939461e+21
2.529000000000e+01,3.312170774880e+21
2.580000000000e+01,3.311640445719e+21
2.632000000000e+01,3.311110116558e+21
2.685000000000e+01,3.310579787397e+21
2.739000000000e+01,3.310049458236e+21
2.794000000000e+01,3.309519129075e+21
2.851000000000e+01,3.308458470753e+21
2.908000000000e+01,3.307928141592e+21
2.967000000000e+01,3.307397812431e+21
3.026000000000e+01,3.306867483271e+21
3.088000000000e+01,3.306337154110e+21
3.150000000000e+01,3.305806824949e+21
3.214000000000e+01,3.305541660368e+21
3.279000000000e+01,3.305011331207e+21
3.345000000000e+01,3.304481002046e+21
3.413000000000e+01,3.303950672885e+21
3.482000000000e+01,3.303420343724e+21
3.552000000000e+01,3.302890014563e+21
3.624000000000e+01,3.302624849983e+21
3.698000000000e+01,3.302359685402e+21
3.773000000000e+01,3.301033862500e+21
3.849000000000e+01,3.301564191661e+21
3.927000000000e+01,3.301564191661e+21
4.007000000000e+01,3.301829356241e+21
4.088000000000e+01,3.301829356241e+21
4.171000000000e+01,3.301829356241e+21
4.255000000000e+01,3.302359685402e+21
4.341000000000e+01,3.302624849983e+21
4.429000000000e+01,3.303685508305e+21
4.519000000000e+01,3.303950672885e+21
4.610000000000e+01,3.304746166627e+21
4.703000000000e+01,3.305011331207e+21
4.798000000000e+01,3.306337154110e+21
4.894000000000e+01,3.307662977012e+21
4.993000000000e+01,3.308723635334e+21
5.092000000000e+01,3.310314622817e+21
5.194000000000e+01,3.311905610300e+21
5.297000000000e+01,3.314026926944e+21
5.403000000000e+01,3.315617914427e+21
5.509000000000e+01,3.318004395651e+21
5.618000000000e+01,3.320125712295e+21
5.729000000000e+01,3.322247028939e+21
5.840000000000e+01,3.324898674744e+21
5.954000000000e+01,3.327019991388e+21
6.070000000000e+01,3.329671637193e+21
6.187000000000e+01,3.332323282997e+21
6.307000000000e+01,3.334709764222e+21
6.428000000000e+01,3.337361410027e+21
6.550000000000e+01,3.340543384993e+21
6.674000000000e+01,3.343195030797e+21
6.801000000000e+01,3.345581512022e+21
6.929000000000e+01,3.348498322407e+21
7.059000000000e+01,3.351149968212e+21
7.192000000000e+01,3.353271284856e+21
7.326000000000e+01,3.356188095241e+21
7.462000000000e+01,3.358574576466e+21
7.600000000000e+01,3.361491386851e+21
7.740000000000e+01,3.364143032656e+21
7.883000000000e+01,3.366529513880e+21
8.027000000000e+01,3.369446324266e+21
8.175000000000e+01,3.372363134651e+21
8.324000000000e+01,3.375014780456e+21
8.476000000000e+01,3.377931590841e+21
8.631000000000e+01,3.380583236646e+21
8.789000000000e+01,3.383765211612e+21
8.949000000000e+01,3.387477515739e+21
9.112000000000e+01,3.390394326124e+21
9.279000000000e+01,3.393841465671e+21
9.449000000000e+01,3.397288605217e+21
9.622000000000e+01,3.401266073924e+21
9.799000000000e+01,3.404978378051e+21
9.980000000000e+01,3.409221011339e+21
1.016500000000e+02,3.413198480046e+21
1.035300000000e+02,3.417441113334e+21
1.054400000000e+02,3.423009569524e+21
1.074000000000e+02,3.428312861134e+21
1.094200000000e+02,3.433085823583e+21
1.114400000000e+02,3.438919444354e+21
1.135500000000e+02,3.444487900544e+21
1.156800000000e+02,3.451382179637e+21
1.178500000000e+02,3.458276458729e+21
1.200900000000e+02,3.464375244081e+21
1.223700000000e+02,3.470474029432e+21
1.246800000000e+02,3.477633473105e+21
1.270400000000e+02,3.485323245939e+21
1.294400000000e+02,3.493278183354e+21
1.318900000000e+02,3.500967956188e+21
1.343700000000e+02,3.509718387344e+21
1.369100000000e+02,3.517673324759e+21
1.501900000000e+02,3.557713176413e+21
1.529500000000e+02,3.566728772149e+21
1.557400000000e+02,3.574683709564e+21
1.585800000000e+02,3.582108317817e+21
1.614400000000e+02,3.589267761491e+21
1.643400000000e+02,3.596692369744e+21
1.672700000000e+02,3.603586648837e+21
1.702400000000e+02,3.609950598769e+21
1.732400000000e+02,3.615519054959e+21
1.762600000000e+02,3.622943663213e+21
1.793300000000e+02,3.628512119403e+21
1.824500000000e+02,3.634080575593e+21
1.856100000000e+02,3.639383867203e+21
1.888000000000e+02,3.644687158813e+21
1.920500000000e+02,3.649725285842e+21
1.953200000000e+02,3.655293742032e+21
2.054100000000e+02,3.672264275183e+21
2.088800000000e+02,3.676772073052e+21
2.124100000000e+02,3.682340529242e+21
2.160100000000e+02,3.687643820852e+21
2.196700000000e+02,3.693477441623e+21
