# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_fe9d9eb1053f4961280a"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "30Si^+(2P3/2)"
# neutral: "Rn"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 29.9738, M = 222.018, &alpha; = 5.102."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_009_2137_2137/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "f012de6566f0f50d7a255c4fc57705baa567234ef1a6fd4c98226d355af96b76"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,3.294404747988e+21
1.800000000000e-01,3.294404747988e+21
7.200000000000e-01,3.294404747988e+21
1.260000000000e+00,3.294404747988e+21
2.200000000000e+00,3.294404747988e+21
3.080000000000e+00,3.294404747988e+21
4.310000000000e+00,3.294404747988e+21
5.180000000000e+00,3.294139583407e+21
6.210000000000e+00,3.294139583407e+21
7.140000000000e+00,3.294139583407e+21
8.210000000000e+00,3.293874418827e+21
9.450000000000e+00,3.293874418827e+21
1.087000000000e+01,3.293609254246e+21
1.195000000000e+01,3.293344089666e+21
1.315000000000e+01,3.293344089666e+21
1.381000000000e+01,3.293078925085e+21
1.450000000000e+01,3.293078925085e+21
1.522000000000e+01,3.293078925085e+21
1.598000000000e+01,3.292813760505e+21
1.678000000000e+01,3.292813760505e+21
1.762000000000e+01,3.292813760505e+21
1.851000000000e+01,3.292548595924e+21
1.943000000000e+01,3.292548595924e+21
2.040000000000e+01,3.292813760505e+21
2.142000000000e+01,3.292813760505e+21
2.250000000000e+01,3.292813760505e+21
2.295000000000e+01,3.292813760505e+21
2.341000000000e+01,3.292813760505e+21
2.387000000000e+01,3.293078925085e+21
2.435000000000e+01,3.293078925085e+21
2.484000000000e+01,3.293344089666e+21
2.533000000000e+01,3.293344089666e+21
2.584000000000e+01,3.293609254246e+21
2.636000000000e+01,3.293874418827e+21
2.688000000000e+01,3.293874418827e+21
2.742000000000e+01,3.294139583407e+21
2.797000000000e+01,3.294404747988e+21
2.853000000000e+01,3.294669912568e+21
2.910000000000e+01,3.295200241729e+21
2.968000000000e+01,3.295465406310e+21
3.027000000000e+01,3.295995735470e+21
3.087000000000e+01,3.296260900051e+21
3.149000000000e+01,3.296791229212e+21
3.211000000000e+01,3.297321558373e+21
3.275000000000e+01,3.297851887534e+21
3.340000000000e+01,3.298647381275e+21
