# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_037704def397c3e470f0"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "70Ge^+(2P)"
# neutral: "Rn"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 222.018, &alpha; = 5.102."
# updated: "2022-02-05 15:10:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14054_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "6baed7b6f9bcf0a73fb5c06afbd56b1b2e493768626d5c2bf85166ef59e7c0f2"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,2.339281929068e+21
2.500000000000e-01,2.339281929068e+21
1.010000000000e+00,2.339281929068e+21
1.770000000000e+00,2.339281929068e+21
3.100000000000e+00,2.339281929068e+21
4.340000000000e+00,2.339016764488e+21
6.080000000000e+00,2.338751599907e+21
7.290000000000e+00,2.338486435327e+21
8.750000000000e+00,2.338221270746e+21
1.006000000000e+01,2.337956106166e+21
1.158000000000e+01,2.337425777005e+21
1.332000000000e+01,2.336895447844e+21
1.532000000000e+01,2.336099954103e+21
1.685000000000e+01,2.335569624942e+21
1.854000000000e+01,2.334774131200e+21
1.947000000000e+01,2.334243802039e+21
2.045000000000e+01,2.333978637459e+21
2.148000000000e+01,2.333448308298e+21
2.255000000000e+01,2.332917979137e+21
2.369000000000e+01,2.332122485395e+21
2.488000000000e+01,2.331592156234e+21
2.613000000000e+01,2.330796662493e+21
2.744000000000e+01,2.330001168751e+21
2.882000000000e+01,2.329205675010e+21
3.027000000000e+01,2.328410181268e+21
3.180000000000e+01,2.327349522946e+21
3.244000000000e+01,2.327084358366e+21
3.310000000000e+01,2.326554029205e+21
3.376000000000e+01,2.326288864625e+21
3.444000000000e+01,2.325758535464e+21
3.514000000000e+01,2.325228206303e+21
3.585000000000e+01,2.324963041722e+21
3.657000000000e+01,2.324432712561e+21
3.731000000000e+01,2.323902383400e+21
3.806000000000e+01,2.323637218820e+21
3.883000000000e+01,2.323106889659e+21
3.962000000000e+01,2.322576560498e+21
4.042000000000e+01,2.322046231337e+21
4.124000000000e+01,2.321515902176e+21
4.207000000000e+01,2.320985573015e+21
4.292000000000e+01,2.320455243854e+21
4.379000000000e+01,2.319924914693e+21
4.468000000000e+01,2.319394585532e+21
