# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_38e7f0962dd5b54921c0"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "70Ge^+(2P)"
# neutral: "Rn"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 222.018, &alpha; = 5.102."
# updated: "2022-02-05 15:10:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14054_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "cfd77c49a2f673661e4ea3c903a2d004e749ad59f5d8019dc5392fc07d0a5fe7"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,6.130000000000e+19
2.500000000000e-01,6.130000000000e+19
1.010000000000e+00,6.130000000000e+19
1.770000000000e+00,6.130000000000e+19
3.100000000000e+00,6.140000000000e+19
4.340000000000e+00,6.150000000000e+19
6.080000000000e+00,6.170000000000e+19
7.290000000000e+00,6.190000000000e+19
8.750000000000e+00,6.220000000000e+19
1.006000000000e+01,6.250000000000e+19
1.158000000000e+01,6.290000000000e+19
1.332000000000e+01,6.340000000000e+19
1.532000000000e+01,6.410000000000e+19
1.685000000000e+01,6.470000000000e+19
1.854000000000e+01,6.540000000000e+19
1.947000000000e+01,6.580000000000e+19
2.045000000000e+01,6.630000000000e+19
2.148000000000e+01,6.680000000000e+19
2.255000000000e+01,6.740000000000e+19
2.369000000000e+01,6.800000000000e+19
2.488000000000e+01,6.870000000000e+19
2.613000000000e+01,6.950000000000e+19
2.744000000000e+01,7.030000000000e+19
2.882000000000e+01,7.120000000000e+19
3.027000000000e+01,7.220000000000e+19
3.180000000000e+01,7.340000000000e+19
3.244000000000e+01,7.390000000000e+19
3.310000000000e+01,7.440000000000e+19
3.376000000000e+01,7.490000000000e+19
3.444000000000e+01,7.550000000000e+19
3.514000000000e+01,7.600000000000e+19
3.585000000000e+01,7.660000000000e+19
3.657000000000e+01,7.730000000000e+19
3.731000000000e+01,7.790000000000e+19
3.806000000000e+01,7.860000000000e+19
3.883000000000e+01,7.930000000000e+19
3.962000000000e+01,8.000000000000e+19
4.042000000000e+01,8.080000000000e+19
4.124000000000e+01,8.160000000000e+19
4.207000000000e+01,8.240000000000e+19
4.292000000000e+01,8.330000000000e+19
4.379000000000e+01,8.420000000000e+19
4.468000000000e+01,8.510000000000e+19
4.558000000000e+01,8.610000000000e+19
4.651000000000e+01,8.710000000000e+19
