# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_5c7adb2bfbfd59d7e317"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "70Ge^+(2P3/2)"
# neutral: "Rn"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 222.018, &alpha; = 5.102."
# updated: "2022-02-06 15:15:24"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14056_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "f52d9e92f5c57885e264db3a34fa94545ffe261ca1d769cb7af4225ae8c7c166"
reduced_electric_field_Td,reduced_transport_SI
7.000000000000e-02,2.331592156234e+21
2.900000000000e-01,2.331592156234e+21
1.170000000000e+00,2.331592156234e+21
2.050000000000e+00,2.331592156234e+21
3.590000000000e+00,2.331592156234e+21
5.030000000000e+00,2.331592156234e+21
7.040000000000e+00,2.331326991654e+21
8.450000000000e+00,2.331326991654e+21
1.014000000000e+01,2.331061827073e+21
1.166000000000e+01,2.331061827073e+21
1.341000000000e+01,2.330796662493e+21
1.542000000000e+01,2.330531497912e+21
1.773000000000e+01,2.330266333332e+21
1.951000000000e+01,2.330001168751e+21
2.146000000000e+01,2.329736004171e+21
2.253000000000e+01,2.329470839590e+21
2.366000000000e+01,2.329470839590e+21
2.485000000000e+01,2.329205675010e+21
2.609000000000e+01,2.329205675010e+21
2.740000000000e+01,2.328940510429e+21
2.877000000000e+01,2.328675345849e+21
3.021000000000e+01,2.328675345849e+21
3.173000000000e+01,2.328410181268e+21
3.331000000000e+01,2.328410181268e+21
3.498000000000e+01,2.328410181268e+21
3.674000000000e+01,2.328410181268e+21
3.899000000000e+01,2.328410181268e+21
3.977000000000e+01,2.328410181268e+21
4.056000000000e+01,2.328410181268e+21
4.138000000000e+01,2.328410181268e+21
4.221000000000e+01,2.328410181268e+21
4.305000000000e+01,2.328410181268e+21
4.391000000000e+01,2.328675345849e+21
4.479000000000e+01,2.328675345849e+21
4.569000000000e+01,2.328675345849e+21
4.753000000000e+01,2.328940510429e+21
4.848000000000e+01,2.329205675010e+21
4.945000000000e+01,2.329470839590e+21
5.044000000000e+01,2.329736004171e+21
5.145000000000e+01,2.329736004171e+21
5.247000000000e+01,2.330266333332e+21
5.352000000000e+01,2.330796662493e+21
5.459000000000e+01,2.331326991654e+21
5.568000000000e+01,2.331592156234e+21
5.679000000000e+01,2.331857320815e+21
5.792000000000e+01,2.332387649976e+21
5.907000000000e+01,2.332917979137e+21
6.025000000000e+01,2.333448308298e+21
6.145000000000e+01,2.333978637459e+21
6.267000000000e+01,2.334508966620e+21
6.391000000000e+01,2.335039295781e+21
6.518000000000e+01,2.335834789522e+21
6.647000000000e+01,2.336630283264e+21
6.779000000000e+01,2.337160612425e+21
6.914000000000e+01,2.337956106166e+21
7.050000000000e+01,2.338751599907e+21
7.190000000000e+01,2.339281929068e+21
7.332000000000e+01,2.340342587390e+21
7.476000000000e+01,2.341138081132e+21
7.623000000000e+01,2.342198739454e+21
7.773000000000e+01,2.342994233195e+21
7.926000000000e+01,2.344054891517e+21
8.081000000000e+01,2.345115549839e+21
8.240000000000e+01,2.346176208161e+21
8.401000000000e+01,2.347502031064e+21
8.732000000000e+01,2.349888512288e+21
8.902000000000e+01,2.350949170610e+21
9.076000000000e+01,2.352274993512e+21
9.252000000000e+01,2.353600816415e+21
9.431000000000e+01,2.354926639317e+21
9.614000000000e+01,2.356252462220e+21
9.800000000000e+01,2.357578285122e+21
9.989000000000e+01,2.358904108025e+21
1.018200000000e+02,2.360229930927e+21
1.037800000000e+02,2.361820918410e+21
1.057800000000e+02,2.363411905893e+21
1.078100000000e+02,2.365002893376e+21
1.141700000000e+02,2.369510691244e+21
1.163600000000e+02,2.371101678727e+21
1.185900000000e+02,2.372692666210e+21
1.208500000000e+02,2.374283653693e+21
1.231600000000e+02,2.376139805756e+21
1.352800000000e+02,2.387807047298e+21
1.404500000000e+02,2.393905832649e+21
1.485700000000e+02,2.403716922127e+21
1.513700000000e+02,2.407429226254e+21
1.542300000000e+02,2.411141530381e+21
1.571300000000e+02,2.415384163669e+21
1.600800000000e+02,2.419626796956e+21
1.630800000000e+02,2.424134594825e+21
1.661300000000e+02,2.428642392693e+21
1.692300000000e+02,2.433415355142e+21
1.723800000000e+02,2.438453482171e+21
1.755700000000e+02,2.443491609200e+21
1.788400000000e+02,2.448264571649e+21
1.821500000000e+02,2.453302698678e+21
1.854900000000e+02,2.458605990288e+21
1.888500000000e+02,2.464439611059e+21
1.923000000000e+02,2.469742902669e+21
1.957900000000e+02,2.475046194278e+21
2.139200000000e+02,2.500501994005e+21
2.177000000000e+02,2.505805285615e+21
2.215500000000e+02,2.510313083483e+21
2.333800000000e+02,2.521449995864e+21
2.374300000000e+02,2.524897135410e+21
2.415100000000e+02,2.528079110376e+21
2.456700000000e+02,2.531526249923e+21
2.498700000000e+02,2.534973389469e+21
2.628800000000e+02,2.544519314366e+21
2.673600000000e+02,2.547701289332e+21
2.765600000000e+02,2.553534910103e+21
2.812900000000e+02,2.556716885069e+21
3.662800000000e+02,2.603385851235e+21
3.802800000000e+02,2.608423978264e+21
3.953000000000e+02,2.612136282391e+21
4.112000000000e+02,2.614787928196e+21
4.196000000000e+02,2.615318257357e+21
4.281800000000e+02,2.616113751098e+21
4.370700000000e+02,2.615848586518e+21
4.557700000000e+02,2.613462105293e+21
4.656400000000e+02,2.611340788650e+21
4.757200000000e+02,2.609484636586e+21
4.861900000000e+02,2.606567826201e+21
4.969500000000e+02,2.603385851235e+21
5.196100000000e+02,2.594900584659e+21
5.314700000000e+02,2.589862457630e+21
5.437300000000e+02,2.584294001440e+21
5.563800000000e+02,2.578195216088e+21
5.694300000000e+02,2.571566101576e+21
5.828900000000e+02,2.564406657903e+21
5.967500000000e+02,2.556716885069e+21
6.110900000000e+02,2.548761947654e+21
6.258700000000e+02,2.540011516498e+21
6.411100000000e+02,2.530995920762e+21
6.568500000000e+02,2.521449995864e+21
6.730400000000e+02,2.511638906386e+21
6.897300000000e+02,2.501297487747e+21
7.069200000000e+02,2.490956069108e+21
7.246000000000e+02,2.480349485888e+21
7.428400000000e+02,2.469212573508e+21
7.616100000000e+02,2.457810496547e+21
7.809400000000e+02,2.446143255005e+21
8.008300000000e+02,2.434476013464e+21
8.212900000000e+02,2.422278442761e+21
8.425400000000e+02,2.409285378317e+21
8.643500000000e+02,2.396292313873e+21
8.864700000000e+02,2.384625072332e+21
9.093600000000e+02,2.371897172469e+21
9.330400000000e+02,2.358638943444e+21
9.820200000000e+02,2.333448308298e+21
1.007420000000e+03,2.321250737595e+21
1.033580000000e+03,2.308788002312e+21
1.060660000000e+03,2.295529773288e+21
1.088310000000e+03,2.282536708844e+21
1.116420000000e+03,2.270869467302e+21
1.145630000000e+03,2.257611238278e+21
1.175290000000e+03,2.245413667576e+21
1.205840000000e+03,2.232685767712e+21
1.237450000000e+03,2.219692703268e+21
1.269560000000e+03,2.207495132566e+21
1.302150000000e+03,2.196093055605e+21
1.335890000000e+03,2.183895484902e+21
1.370620000000e+03,2.171167585039e+21
1.405830000000e+03,2.159500343497e+21
1.442060000000e+03,2.147833101956e+21
1.479420000000e+03,2.135635531253e+21
1.517060000000e+03,2.124763783453e+21
1.555880000000e+03,2.113361706492e+21
1.636490000000e+03,2.090822717151e+21
1.678360000000e+03,2.079420640190e+21
1.720800000000e+03,2.069079221551e+21
1.764440000000e+03,2.058207473751e+21
1.809060000000e+03,2.047600890531e+21
1.854740000000e+03,2.037259471892e+21
1.901480000000e+03,2.026918053253e+21
1.949520000000e+03,2.016576634614e+21
1.997900000000e+03,2.007295874297e+21
2.048180000000e+03,1.996954455658e+21
2.099340000000e+03,1.987408530760e+21
2.151670000000e+03,1.977862605863e+21
2.205170000000e+03,1.968581845546e+21
2.260160000000e+03,1.958770756068e+21
2.315780000000e+03,1.950020324911e+21
2.372990000000e+03,1.941269893755e+21
2.431510000000e+03,1.932254298019e+21
2.491320000000e+03,1.923769031443e+21
2.552430000000e+03,1.915283764868e+21
2.614950000000e+03,1.906798498292e+21
2.679310000000e+03,1.898048067136e+21
2.744180000000e+03,1.890358294302e+21
2.810960000000e+03,1.882138192306e+21
2.879600000000e+03,1.873918090311e+21
2.949020000000e+03,1.866493482058e+21
3.020330000000e+03,1.858538544643e+21
3.093550000000e+03,1.850848771809e+21
3.167710000000e+03,1.843424163555e+21
3.244200000000e+03,1.835469226141e+21
3.322030000000e+03,1.828309782467e+21
3.401530000000e+03,1.820885174214e+21
3.482640000000e+03,1.813725730540e+21
3.565790000000e+03,1.806301122287e+21
3.650860000000e+03,1.798876514033e+21
3.737940000000e+03,1.791451905779e+21
3.827060000000e+03,1.784292462106e+21
