# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_10985e7044b392427a82"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P)"
# neutral: "Rn"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 222.018, &alpha; = 5.102."
# updated: "2022-02-05 15:10:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14060_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "c105f0a582c6973b30afb6fc22567706f0840e78e78539a5711cf55f58c81c20"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,2.340077422810e+21
2.100000000000e-01,2.340077422810e+21
8.300000000000e-01,2.340077422810e+21
1.450000000000e+00,2.340077422810e+21
2.530000000000e+00,2.339812258229e+21
3.540000000000e+00,2.339812258229e+21
4.960000000000e+00,2.339547093649e+21
5.950000000000e+00,2.339281929068e+21
7.140000000000e+00,2.339016764488e+21
8.210000000000e+00,2.338751599907e+21
9.450000000000e+00,2.338486435327e+21
1.087000000000e+01,2.337956106166e+21
1.250000000000e+01,2.337160612425e+21
1.375000000000e+01,2.336630283264e+21
1.513000000000e+01,2.336099954103e+21
1.589000000000e+01,2.335569624942e+21
1.669000000000e+01,2.335304460361e+21
1.752000000000e+01,2.334774131200e+21
1.840000000000e+01,2.334243802039e+21
1.933000000000e+01,2.333713472878e+21
2.030000000000e+01,2.332917979137e+21
2.132000000000e+01,2.332387649976e+21
2.239000000000e+01,2.331592156234e+21
2.352000000000e+01,2.330796662493e+21
2.470000000000e+01,2.329736004171e+21
2.595000000000e+01,2.328940510429e+21
2.647000000000e+01,2.328410181268e+21
2.700000000000e+01,2.327879852107e+21
2.755000000000e+01,2.327614687527e+21
2.810000000000e+01,2.327084358366e+21
2.867000000000e+01,2.326554029205e+21
2.925000000000e+01,2.326023700044e+21
2.984000000000e+01,2.325493370883e+21
3.044000000000e+01,2.324963041722e+21
3.106000000000e+01,2.324432712561e+21
3.169000000000e+01,2.323902383400e+21
3.233000000000e+01,2.323372054239e+21
3.298000000000e+01,2.322841725078e+21
3.365000000000e+01,2.322046231337e+21
3.433000000000e+01,2.321515902176e+21
3.502000000000e+01,2.320985573015e+21
3.573000000000e+01,2.320190079273e+21
3.646000000000e+01,2.319659750112e+21
