# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_c9765af9e45563677250"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P)"
# neutral: "Rn"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 222.018, &alpha; = 5.102."
# updated: "2022-02-05 15:10:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14060_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "c105f0a582c6973b30afb6fc22567706f0840e78e78539a5711cf55f58c81c20"
reduced_electric_field_Td,reduced_transport_SI
7.000000000000e-02,2.296325267029e+21
3.000000000000e-01,2.296325267029e+21
1.190000000000e+00,2.296325267029e+21
2.080000000000e+00,2.296325267029e+21
3.650000000000e+00,2.296060102449e+21
5.100000000000e+00,2.296060102449e+21
7.150000000000e+00,2.295794937868e+21
8.580000000000e+00,2.295529773288e+21
1.029000000000e+01,2.295264608707e+21
1.184000000000e+01,2.294999444127e+21
1.362000000000e+01,2.294734279546e+21
1.566000000000e+01,2.294203950385e+21
1.801000000000e+01,2.293673621224e+21
1.982000000000e+01,2.293143292063e+21
2.181000000000e+01,2.292612962902e+21
2.290000000000e+01,2.292082633741e+21
2.405000000000e+01,2.291817469161e+21
2.525000000000e+01,2.291287140000e+21
2.652000000000e+01,2.291021975420e+21
2.785000000000e+01,2.290491646259e+21
2.925000000000e+01,2.289961317098e+21
3.072000000000e+01,2.289430987937e+21
3.226000000000e+01,2.288900658776e+21
3.388000000000e+01,2.288370329615e+21
3.738000000000e+01,2.287044506712e+21
3.813000000000e+01,2.286779342132e+21
3.890000000000e+01,2.286514177551e+21
4.129000000000e+01,2.285453519229e+21
4.212000000000e+01,2.285188354649e+21
4.297000000000e+01,2.284923190068e+21
4.384000000000e+01,2.284658025488e+21
4.472000000000e+01,2.284392860907e+21
4.748000000000e+01,2.283332202585e+21
4.844000000000e+01,2.283067038005e+21
4.941000000000e+01,2.282801873424e+21
5.041000000000e+01,2.282536708844e+21
5.352000000000e+01,2.281476050522e+21
5.460000000000e+01,2.281210885941e+21
5.570000000000e+01,2.280945721361e+21
5.682000000000e+01,2.280680556781e+21
5.797000000000e+01,2.280150227620e+21
5.914000000000e+01,2.279885063039e+21
6.033000000000e+01,2.279619898459e+21
6.155000000000e+01,2.279354733878e+21
6.535000000000e+01,2.278824404717e+21
6.667000000000e+01,2.278559240137e+21
6.801000000000e+01,2.278294075556e+21
