# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_f6d7bddd2bb6581fa0fd"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P)"
# neutral: "Rn"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 222.018, &alpha; = 5.102."
# updated: "2022-02-05 15:10:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14060_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "c105f0a582c6973b30afb6fc22567706f0840e78e78539a5711cf55f58c81c20"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,2.314356458503e+21
2.600000000000e-01,2.314356458503e+21
1.020000000000e+00,2.314356458503e+21
1.790000000000e+00,2.314356458503e+21
3.130000000000e+00,2.314356458503e+21
4.390000000000e+00,2.314091293922e+21
6.140000000000e+00,2.314091293922e+21
7.370000000000e+00,2.313826129342e+21
8.840000000000e+00,2.313295800181e+21
1.017000000000e+01,2.313030635600e+21
1.170000000000e+01,2.312765471020e+21
1.346000000000e+01,2.311969977278e+21
1.548000000000e+01,2.311439648117e+21
1.703000000000e+01,2.310644154376e+21
1.874000000000e+01,2.309848660634e+21
1.968000000000e+01,2.309583496054e+21
2.067000000000e+01,2.309053166893e+21
2.171000000000e+01,2.308522837732e+21
2.280000000000e+01,2.307992508571e+21
2.394000000000e+01,2.307462179410e+21
2.514000000000e+01,2.306666685668e+21
2.641000000000e+01,2.306136356507e+21
2.774000000000e+01,2.305340862766e+21
2.913000000000e+01,2.304545369024e+21
3.060000000000e+01,2.303749875283e+21
3.214000000000e+01,2.302689216961e+21
3.279000000000e+01,2.302424052381e+21
3.345000000000e+01,2.301893723220e+21
3.413000000000e+01,2.301628558639e+21
3.481000000000e+01,2.301098229478e+21
3.552000000000e+01,2.300567900317e+21
3.623000000000e+01,2.300302735737e+21
3.696000000000e+01,2.299772406576e+21
3.771000000000e+01,2.299242077415e+21
3.847000000000e+01,2.298976912834e+21
3.925000000000e+01,2.298446583673e+21
4.004000000000e+01,2.297916254512e+21
4.085000000000e+01,2.297385925351e+21
4.168000000000e+01,2.296855596190e+21
4.252000000000e+01,2.296325267029e+21
4.338000000000e+01,2.295794937868e+21
4.426000000000e+01,2.295264608707e+21
4.516000000000e+01,2.294734279546e+21
4.607000000000e+01,2.294203950385e+21
4.700000000000e+01,2.293673621224e+21
4.796000000000e+01,2.293143292063e+21
4.893000000000e+01,2.292612962902e+21
4.992000000000e+01,2.292082633741e+21
5.093000000000e+01,2.291552304581e+21
5.197000000000e+01,2.291021975420e+21
5.302000000000e+01,2.290491646259e+21
5.409000000000e+01,2.289961317098e+21
5.519000000000e+01,2.289430987937e+21
5.631000000000e+01,2.288635494195e+21
5.746000000000e+01,2.288105165034e+21
5.862000000000e+01,2.287574835873e+21
6.226000000000e+01,2.286514177551e+21
6.353000000000e+01,2.285983848390e+21
6.482000000000e+01,2.285718683810e+21
6.613000000000e+01,2.285188354649e+21
6.748000000000e+01,2.284658025488e+21
6.885000000000e+01,2.284127696327e+21
7.024000000000e+01,2.283862531746e+21
7.166000000000e+01,2.283597367166e+21
7.312000000000e+01,2.283067038005e+21
7.612000000000e+01,2.282006379683e+21
7.766000000000e+01,2.281476050522e+21
7.923000000000e+01,2.281210885941e+21
8.084000000000e+01,2.280945721361e+21
8.247000000000e+01,2.280680556781e+21
8.414000000000e+01,2.280150227620e+21
8.584000000000e+01,2.279885063039e+21
8.758000000000e+01,2.279619898459e+21
8.935000000000e+01,2.279089569298e+21
9.115000000000e+01,2.278824404717e+21
9.300000000000e+01,2.278294075556e+21
9.487000000000e+01,2.278028910976e+21
9.679000000000e+01,2.277763746395e+21
9.874000000000e+01,2.277498581815e+21
1.007200000000e+02,2.277233417234e+21
1.069600000000e+02,2.275642429751e+21
1.091100000000e+02,2.275377265171e+21
1.113000000000e+02,2.275112100590e+21
1.135400000000e+02,2.274581771429e+21
1.158200000000e+02,2.274581771429e+21
