# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_511cc5000891414c01d3"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P3/2)"
# neutral: "Rn"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 222.018, &alpha; = 5.102."
# updated: "2022-02-06 15:14:04"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14064_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "a703d73199088c61984dfdca70e9b1fed9e9b3a25b252c6574daeed8a369ca25"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,2.345115549839e+21
2.100000000000e-01,2.345115549839e+21
8.200000000000e-01,2.344850385259e+21
1.440000000000e+00,2.344850385259e+21
2.520000000000e+00,2.344850385259e+21
3.530000000000e+00,2.344850385259e+21
4.950000000000e+00,2.344585220678e+21
5.940000000000e+00,2.344320056098e+21
7.130000000000e+00,2.344054891517e+21
8.200000000000e+00,2.343789726937e+21
9.430000000000e+00,2.343524562356e+21
1.084000000000e+01,2.342994233195e+21
1.247000000000e+01,2.342198739454e+21
1.372000000000e+01,2.341668410293e+21
1.510000000000e+01,2.340872916551e+21
1.586000000000e+01,2.340607751971e+21
1.665000000000e+01,2.340077422810e+21
1.749000000000e+01,2.339547093649e+21
1.929000000000e+01,2.338486435327e+21
2.026000000000e+01,2.337956106166e+21
2.234000000000e+01,2.336630283264e+21
2.347000000000e+01,2.335834789522e+21
2.589000000000e+01,2.333978637459e+21
2.641000000000e+01,2.333448308298e+21
2.694000000000e+01,2.333183143717e+21
2.749000000000e+01,2.332652814556e+21
2.861000000000e+01,2.331857320815e+21
3.038000000000e+01,2.330531497912e+21
3.099000000000e+01,2.330001168751e+21
3.162000000000e+01,2.329470839590e+21
3.226000000000e+01,2.328940510429e+21
3.291000000000e+01,2.328410181268e+21
3.357000000000e+01,2.327879852107e+21
3.425000000000e+01,2.327349522946e+21
3.495000000000e+01,2.326819193785e+21
3.565000000000e+01,2.326288864625e+21
3.637000000000e+01,2.325758535464e+21
3.711000000000e+01,2.325228206303e+21
3.863000000000e+01,2.323902383400e+21
4.021000000000e+01,2.322576560498e+21
4.271000000000e+01,2.320720408434e+21
4.358000000000e+01,2.320190079273e+21
4.447000000000e+01,2.319659750112e+21
4.537000000000e+01,2.319129420951e+21
4.629000000000e+01,2.318599091790e+21
4.724000000000e+01,2.318068762629e+21
4.820000000000e+01,2.317538433468e+21
4.918000000000e+01,2.317008104307e+21
5.018000000000e+01,2.316477775146e+21
5.120000000000e+01,2.315947445985e+21
5.224000000000e+01,2.315417116824e+21
5.439000000000e+01,2.314621623083e+21
5.550000000000e+01,2.314356458503e+21
5.663000000000e+01,2.314091293922e+21
6.015000000000e+01,2.313295800181e+21
6.262000000000e+01,2.313030635600e+21
6.389000000000e+01,2.313030635600e+21
6.519000000000e+01,2.313030635600e+21
6.651000000000e+01,2.313030635600e+21
6.923000000000e+01,2.313295800181e+21
7.350000000000e+01,2.314356458503e+21
7.803000000000e+01,2.315682281405e+21
7.959000000000e+01,2.316212610566e+21
8.118000000000e+01,2.317008104307e+21
8.280000000000e+01,2.317803598049e+21
8.445000000000e+01,2.318599091790e+21
8.613000000000e+01,2.319394585532e+21
8.784000000000e+01,2.320190079273e+21
8.957000000000e+01,2.320985573015e+21
9.134000000000e+01,2.322046231337e+21
9.314000000000e+01,2.323106889659e+21
9.497000000000e+01,2.324167547981e+21
9.683000000000e+01,2.324963041722e+21
9.873000000000e+01,2.325758535464e+21
1.046300000000e+02,2.328145016688e+21
1.066500000000e+02,2.329205675010e+21
1.087100000000e+02,2.330266333332e+21
1.108000000000e+02,2.331326991654e+21
1.172500000000e+02,2.335569624942e+21
1.194900000000e+02,2.337160612425e+21
1.217500000000e+02,2.338486435327e+21
1.240700000000e+02,2.339812258229e+21
1.264200000000e+02,2.341138081132e+21
1.288100000000e+02,2.342729068615e+21
1.312500000000e+02,2.344585220678e+21
1.337200000000e+02,2.346441372742e+21
1.362500000000e+02,2.348297524805e+21
1.388100000000e+02,2.350684006029e+21
1.414300000000e+02,2.353070487254e+21
1.440800000000e+02,2.355722133059e+21
1.467900000000e+02,2.358373778864e+21
1.495500000000e+02,2.361290589249e+21
1.523500000000e+02,2.364472564215e+21
1.552100000000e+02,2.367654539181e+21
1.581100000000e+02,2.371632007888e+21
1.610700000000e+02,2.375874641176e+21
1.704200000000e+02,2.387541882717e+21
1.737000000000e+02,2.392049680586e+21
1.769600000000e+02,2.397618136776e+21
1.801000000000e+02,2.403716922127e+21
1.832200000000e+02,2.409285378317e+21
1.865900000000e+02,2.415384163669e+21
1.970000000000e+02,2.433680519722e+21
2.042600000000e+02,2.445612925844e+21
2.079200000000e+02,2.451446546615e+21
2.116200000000e+02,2.457280167386e+21
2.390000000000e+02,2.488304423303e+21
2.431200000000e+02,2.491751562849e+21
2.472600000000e+02,2.495729031557e+21
2.514600000000e+02,2.499176171103e+21
2.557300000000e+02,2.502623310649e+21
2.600900000000e+02,2.505540121035e+21
2.644800000000e+02,2.508722096001e+21
2.689600000000e+02,2.511373741805e+21
2.735100000000e+02,2.514555716771e+21
2.781500000000e+02,2.517207362576e+21
2.975000000000e+02,2.528079110376e+21
3.539400000000e+02,2.559898860035e+21
3.604400000000e+02,2.563080835001e+21
3.671200000000e+02,2.565997645386e+21
3.810900000000e+02,2.572096430737e+21
3.958200000000e+02,2.578460380669e+21
4.035800000000e+02,2.580581697313e+21
4.198100000000e+02,2.583498507698e+21
4.283000000000e+02,2.584824330601e+21
4.371100000000e+02,2.585354659762e+21
4.462500000000e+02,2.585089495181e+21
4.653700000000e+02,2.583233343118e+21
4.753600000000e+02,2.581907520215e+21
4.857600000000e+02,2.579255874410e+21
4.964300000000e+02,2.576869393186e+21
5.074800000000e+02,2.573687418220e+21
5.428200000000e+02,2.560164024615e+21
5.553800000000e+02,2.554595568425e+21
5.683300000000e+02,2.548496783074e+21
5.817100000000e+02,2.541867668562e+21
5.955000000000e+02,2.534973389469e+21
6.097100000000e+02,2.527283616635e+21
6.244000000000e+02,2.519063514640e+21
6.395500000000e+02,2.510578248064e+21
6.551700000000e+02,2.501562652327e+21
6.713100000000e+02,2.492016727430e+21
6.879100000000e+02,2.481940473371e+21
7.050200000000e+02,2.471864219313e+21
7.226400000000e+02,2.461522800674e+21
7.407600000000e+02,2.450651052874e+21
7.594500000000e+02,2.439514140493e+21
7.787100000000e+02,2.428112063532e+21
7.985100000000e+02,2.416709986571e+21
8.188900000000e+02,2.404777580449e+21
8.398600000000e+02,2.392845174327e+21
8.614300000000e+02,2.380647603625e+21
8.836100000000e+02,2.368450032922e+21
9.065800000000e+02,2.355456968478e+21
9.300900000000e+02,2.342729068615e+21
9.542500000000e+02,2.330001168751e+21
1.004430000000e+03,2.305075698185e+21
1.030690000000e+03,2.292082633741e+21
1.057230000000e+03,2.280415392200e+21
1.084960000000e+03,2.267157163176e+21
1.113460000000e+03,2.253898934151e+21
1.142210000000e+03,2.241966528029e+21
1.171990000000e+03,2.229503792746e+21
1.202650000000e+03,2.216510728302e+21
1.233980000000e+03,2.204313157600e+21
1.265830000000e+03,2.192380751478e+21
1.298690000000e+03,2.180183180775e+21
1.366830000000e+03,2.156053203951e+21
1.402180000000e+03,2.144120797829e+21
1.438630000000e+03,2.131658062546e+21
1.475420000000e+03,2.120786314746e+21
1.513310000000e+03,2.109384237785e+21
1.591890000000e+03,2.086845248443e+21
