# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_13cd48f604d73332450d"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "74Ge^+(2P1/2)"
# neutral: "Rn"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 222.018, &alpha; = 5.102."
# updated: "2022-01-15 19:59:33"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14074_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "f306282552e7ef94ab555e8386071f54630f4f59cad2cad8175c2748bcc6ea20"
reduced_electric_field_Td,reduced_transport_SI
8.000000000000e-02,7.860000000000e+19
3.000000000000e-01,7.860000000000e+19
1.210000000000e+00,7.870000000000e+19
2.130000000000e+00,7.870000000000e+19
3.720000000000e+00,7.880000000000e+19
7.290000000000e+00,7.920000000000e+19
8.750000000000e+00,7.940000000000e+19
1.050000000000e+01,7.980000000000e+19
1.208000000000e+01,8.020000000000e+19
1.598000000000e+01,8.130000000000e+19
1.839000000000e+01,8.210000000000e+19
2.024000000000e+01,8.280000000000e+19
2.339000000000e+01,8.420000000000e+19
2.457000000000e+01,8.480000000000e+19
2.710000000000e+01,8.610000000000e+19
2.847000000000e+01,8.680000000000e+19
2.990000000000e+01,8.760000000000e+19
3.141000000000e+01,8.850000000000e+19
3.300000000000e+01,8.950000000000e+19
3.467000000000e+01,9.060000000000e+19
3.643000000000e+01,9.180000000000e+19
3.827000000000e+01,9.310000000000e+19
3.905000000000e+01,9.370000000000e+19
3.984000000000e+01,9.430000000000e+19
4.065000000000e+01,9.490000000000e+19
4.148000000000e+01,9.550000000000e+19
4.318000000000e+01,9.690000000000e+19
4.496000000000e+01,9.830000000000e+19
4.588000000000e+01,9.910000000000e+19
4.681000000000e+01,9.990000000000e+19
4.777000000000e+01,1.007000000000e+20
4.875000000000e+01,1.016000000000e+20
5.076000000000e+01,1.034000000000e+20
5.286000000000e+01,1.053000000000e+20
5.395000000000e+01,1.064000000000e+20
5.506000000000e+01,1.074000000000e+20
5.619000000000e+01,1.085000000000e+20
5.853000000000e+01,1.109000000000e+20
6.097000000000e+01,1.134000000000e+20
6.223000000000e+01,1.147000000000e+20
6.483000000000e+01,1.176000000000e+20
