# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_3363091a0b4f712ce2f1"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "74Ge^+(2P1/2)"
# neutral: "Rn"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 222.018, &alpha; = 5.102."
# updated: "2022-01-15 19:59:33"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14074_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "f306282552e7ef94ab555e8386071f54630f4f59cad2cad8175c2748bcc6ea20"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,5.970000000000e+19
2.600000000000e-01,5.970000000000e+19
1.040000000000e+00,5.970000000000e+19
1.820000000000e+00,5.970000000000e+19
3.180000000000e+00,5.980000000000e+19
4.460000000000e+00,5.990000000000e+19
6.240000000000e+00,6.010000000000e+19
7.490000000000e+00,6.030000000000e+19
8.990000000000e+00,6.060000000000e+19
1.034000000000e+01,6.090000000000e+19
1.189000000000e+01,6.120000000000e+19
1.368000000000e+01,6.170000000000e+19
1.573000000000e+01,6.240000000000e+19
1.731000000000e+01,6.300000000000e+19
1.905000000000e+01,6.360000000000e+19
2.001000000000e+01,6.400000000000e+19
2.101000000000e+01,6.450000000000e+19
2.207000000000e+01,6.500000000000e+19
2.318000000000e+01,6.550000000000e+19
2.434000000000e+01,6.610000000000e+19
2.557000000000e+01,6.670000000000e+19
2.821000000000e+01,6.820000000000e+19
2.964000000000e+01,6.900000000000e+19
3.113000000000e+01,7.000000000000e+19
3.271000000000e+01,7.100000000000e+19
3.405000000000e+01,7.190000000000e+19
3.544000000000e+01,7.290000000000e+19
3.616000000000e+01,7.340000000000e+19
3.689000000000e+01,7.390000000000e+19
3.764000000000e+01,7.450000000000e+19
3.841000000000e+01,7.510000000000e+19
3.919000000000e+01,7.570000000000e+19
4.080000000000e+01,7.690000000000e+19
4.248000000000e+01,7.830000000000e+19
4.334000000000e+01,7.900000000000e+19
4.423000000000e+01,7.980000000000e+19
4.513000000000e+01,8.050000000000e+19
4.700000000000e+01,8.220000000000e+19
4.894000000000e+01,8.390000000000e+19
4.994000000000e+01,8.490000000000e+19
5.097000000000e+01,8.580000000000e+19
5.202000000000e+01,8.690000000000e+19
5.309000000000e+01,8.790000000000e+19
5.418000000000e+01,8.900000000000e+19
5.530000000000e+01,9.010000000000e+19
5.644000000000e+01,9.130000000000e+19
5.760000000000e+01,9.250000000000e+19
5.879000000000e+01,9.370000000000e+19
6.001000000000e+01,9.500000000000e+19
6.126000000000e+01,9.630000000000e+19
6.253000000000e+01,9.770000000000e+19
6.383000000000e+01,9.920000000000e+19
6.515000000000e+01,1.007000000000e+20
6.651000000000e+01,1.022000000000e+20
6.790000000000e+01,1.038000000000e+20
6.932000000000e+01,1.055000000000e+20
7.076000000000e+01,1.072000000000e+20
7.225000000000e+01,1.090000000000e+20
7.376000000000e+01,1.109000000000e+20
7.531000000000e+01,1.128000000000e+20
7.689000000000e+01,1.148000000000e+20
7.851000000000e+01,1.169000000000e+20
8.017000000000e+01,1.191000000000e+20
8.186000000000e+01,1.213000000000e+20
8.360000000000e+01,1.236000000000e+20
8.538000000000e+01,1.260000000000e+20
9.485000000000e+01,1.396000000000e+20
9.688000000000e+01,1.426000000000e+20
9.895000000000e+01,1.458000000000e+20
1.010800000000e+02,1.492000000000e+20
1.054700000000e+02,1.563000000000e+20
1.077500000000e+02,1.600000000000e+20
1.100700000000e+02,1.640000000000e+20
1.124500000000e+02,1.682000000000e+20
1.148900000000e+02,1.726000000000e+20
1.173800000000e+02,1.772000000000e+20
1.199300000000e+02,1.820000000000e+20
1.225400000000e+02,1.872000000000e+20
1.252000000000e+02,1.926000000000e+20
1.279300000000e+02,1.985000000000e+20
1.307200000000e+02,2.047000000000e+20
1.335700000000e+02,2.112000000000e+20
1.364900000000e+02,2.183000000000e+20
1.394800000000e+02,2.259000000000e+20
1.425300000000e+02,2.341000000000e+20
1.456400000000e+02,2.430000000000e+20
1.488300000000e+02,2.527000000000e+20
1.520800000000e+02,2.633000000000e+20
1.554000000000e+02,2.748000000000e+20
1.587900000000e+02,2.871000000000e+20
1.622500000000e+02,3.009000000000e+20
1.657700000000e+02,3.163000000000e+20
1.693700000000e+02,3.333000000000e+20
1.730300000000e+02,3.519000000000e+20
1.846300000000e+02,4.158000000000e+20
1.883400000000e+02,4.515000000000e+20
1.964100000000e+02,5.188000000000e+20
2.005000000000e+02,5.608000000000e+20
2.046900000000e+02,6.052000000000e+20
2.088500000000e+02,6.525000000000e+20
2.130600000000e+02,7.044000000000e+20
2.172900000000e+02,7.590000000000e+20
2.215400000000e+02,8.175000000000e+20
2.257800000000e+02,8.768000000000e+20
2.300000000000e+02,9.460000000000e+20
2.384500000000e+02,1.059900000000e+21
2.633700000000e+02,1.381300000000e+21
2.675100000000e+02,1.454800000000e+21
2.716600000000e+02,1.527200000000e+21
2.758500000000e+02,1.600600000000e+21
2.800300000000e+02,1.670800000000e+21
2.842600000000e+02,1.736800000000e+21
2.885200000000e+02,1.809600000000e+21
4.060100000000e+02,2.720400000000e+21
4.119000000000e+02,2.794300000000e+21
4.179900000000e+02,2.871500000000e+21
4.242400000000e+02,2.955700000000e+21
4.307400000000e+02,3.036200000000e+21
4.374100000000e+02,3.121700000000e+21
4.443500000000e+02,3.216800000000e+21
4.515800000000e+02,3.312700000000e+21
4.590100000000e+02,3.405200000000e+21
4.667500000000e+02,3.505000000000e+21
4.747700000000e+02,3.607400000000e+21
4.830900000000e+02,3.712200000000e+21
4.917400000000e+02,3.815400000000e+21
5.007700000000e+02,3.926300000000e+21
5.100900000000e+02,4.038100000000e+21
5.197100000000e+02,4.153200000000e+21
5.297100000000e+02,4.266600000000e+21
5.401000000000e+02,4.388000000000e+21
5.508900000000e+02,4.506000000000e+21
5.620900000000e+02,4.629800000000e+21
5.737100000000e+02,4.756100000000e+21
5.857500000000e+02,4.885500000000e+21
5.982200000000e+02,5.017700000000e+21
6.111800000000e+02,5.154300000000e+21
6.245900000000e+02,5.294000000000e+21
6.384900000000e+02,5.437500000000e+21
6.528500000000e+02,5.584800000000e+21
6.677600000000e+02,5.737200000000e+21
6.831800000000e+02,5.893900000000e+21
6.991100000000e+02,6.055400000000e+21
7.156000000000e+02,6.222500000000e+21
7.326600000000e+02,6.395400000000e+21
7.503900000000e+02,6.576700000000e+21
7.685000000000e+02,6.759200000000e+21
7.873200000000e+02,6.951000000000e+21
8.067500000000e+02,7.149800000000e+21
8.269900000000e+02,7.361000000000e+21
8.475000000000e+02,7.570400000000e+21
8.689600000000e+02,7.795100000000e+21
8.908800000000e+02,8.022800000000e+21
9.137500000000e+02,8.267200000000e+21
9.369900000000e+02,8.509400000000e+21
9.611000000000e+02,8.768800000000e+21
9.859800000000e+02,9.038100000000e+21
1.011580000000e+03,9.317300000000e+21
1.037920000000e+03,9.606700000000e+21
1.065040000000e+03,9.909600000000e+21
1.093030000000e+03,1.022550000000e+22
1.121660000000e+03,1.054990000000e+22
1.151230000000e+03,1.089010000000e+22
1.181780000000e+03,1.124520000000e+22
1.212850000000e+03,1.161080000000e+22
1.244940000000e+03,1.199280000000e+22
1.278130000000e+03,1.239310000000e+22
1.311980000000e+03,1.280700000000e+22
1.346910000000e+03,1.323940000000e+22
1.382930000000e+03,1.369210000000e+22
1.419560000000e+03,1.415590000000e+22
1.457350000000e+03,1.464250000000e+22
1.496100000000e+03,1.514860000000e+22
1.535890000000e+03,1.567480000000e+22
1.576910000000e+03,1.623060000000e+22
1.618640000000e+03,1.679670000000e+22
1.661630000000e+03,1.739220000000e+22
1.705680000000e+03,1.801000000000e+22
1.750680000000e+03,1.865450000000e+22
1.797050000000e+03,1.933110000000e+22
1.844300000000e+03,2.002500000000e+22
1.892870000000e+03,2.075290000000e+22
1.942680000000e+03,2.151120000000e+22
1.994000000000e+03,2.230630000000e+22
2.046260000000e+03,2.312930000000e+22
2.099750000000e+03,2.398680000000e+22
2.154530000000e+03,2.487940000000e+22
2.210600000000e+03,2.580900000000e+22
2.267970000000e+03,2.677640000000e+22
2.326700000000e+03,2.778200000000e+22
2.386780000000e+03,2.883150000000e+22
2.448280000000e+03,2.992350000000e+22
2.511190000000e+03,3.105810000000e+22
2.575560000000e+03,3.223800000000e+22
2.641350000000e+03,3.346080000000e+22
2.708670000000e+03,3.473480000000e+22
2.777450000000e+03,3.604580000000e+22
2.847790000000e+03,3.740810000000e+22
2.919700000000e+03,3.881420000000e+22
2.993200000000e+03,4.026710000000e+22
3.068320000000e+03,4.176070000000e+22
3.145120000000e+03,4.329680000000e+22
3.223620000000e+03,4.487060000000e+22
