# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_4548031044182289fc45"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "74Ge^+(2P3/2)"
# neutral: "Rn"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 73.9212, M = 222.018, &alpha; = 5.102."
# updated: "2022-02-06 15:23:08"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14075_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "8bd115d3aca2a766415640343fb645df0ba91e14ff324f7662da3e5e1735eccc"
reduced_electric_field_Td,reduced_transport_SI
8.000000000000e-02,9.950000000000e+19
3.400000000000e-01,9.950000000000e+19
1.340000000000e+00,9.950000000000e+19
2.350000000000e+00,9.950000000000e+19
4.110000000000e+00,9.970000000000e+19
5.750000000000e+00,9.990000000000e+19
8.050000000000e+00,1.002000000000e+20
9.660000000000e+00,1.006000000000e+20
1.159000000000e+01,1.010000000000e+20
1.333000000000e+01,1.015000000000e+20
1.533000000000e+01,1.023000000000e+20
1.763000000000e+01,1.033000000000e+20
2.027000000000e+01,1.045000000000e+20
2.230000000000e+01,1.056000000000e+20
2.453000000000e+01,1.068000000000e+20
2.575000000000e+01,1.076000000000e+20
2.704000000000e+01,1.085000000000e+20
2.839000000000e+01,1.094000000000e+20
2.981000000000e+01,1.104000000000e+20
3.130000000000e+01,1.116000000000e+20
3.287000000000e+01,1.128000000000e+20
3.451000000000e+01,1.142000000000e+20
3.623000000000e+01,1.158000000000e+20
3.804000000000e+01,1.176000000000e+20
3.994000000000e+01,1.195000000000e+20
4.193000000000e+01,1.216000000000e+20
4.276000000000e+01,1.225000000000e+20
4.362000000000e+01,1.235000000000e+20
4.449000000000e+01,1.245000000000e+20
4.538000000000e+01,1.255000000000e+20
4.628000000000e+01,1.266000000000e+20
4.720000000000e+01,1.278000000000e+20
4.814000000000e+01,1.289000000000e+20
4.910000000000e+01,1.302000000000e+20
5.008000000000e+01,1.315000000000e+20
5.209000000000e+01,1.342000000000e+20
5.418000000000e+01,1.372000000000e+20
5.526000000000e+01,1.388000000000e+20
5.636000000000e+01,1.404000000000e+20
5.748000000000e+01,1.422000000000e+20
5.862000000000e+01,1.440000000000e+20
5.978000000000e+01,1.458000000000e+20
6.096000000000e+01,1.478000000000e+20
6.217000000000e+01,1.498000000000e+20
6.340000000000e+01,1.519000000000e+20
6.465000000000e+01,1.542000000000e+20
6.593000000000e+01,1.564000000000e+20
6.723000000000e+01,1.588000000000e+20
7.269000000000e+01,1.695000000000e+20
7.558000000000e+01,1.755000000000e+20
7.706000000000e+01,1.787000000000e+20
7.858000000000e+01,1.820000000000e+20
8.012000000000e+01,1.855000000000e+20
8.168000000000e+01,1.891000000000e+20
8.328000000000e+01,1.928000000000e+20
8.491000000000e+01,1.967000000000e+20
8.656000000000e+01,2.007000000000e+20
8.825000000000e+01,2.049000000000e+20
8.997000000000e+01,2.093000000000e+20
9.350000000000e+01,2.185000000000e+20
9.532000000000e+01,2.234000000000e+20
9.716000000000e+01,2.285000000000e+20
9.905000000000e+01,2.338000000000e+20
1.009600000000e+02,2.393000000000e+20
1.029100000000e+02,2.451000000000e+20
1.049000000000e+02,2.512000000000e+20
1.069200000000e+02,2.575000000000e+20
1.132400000000e+02,2.782000000000e+20
1.154300000000e+02,2.858000000000e+20
1.176500000000e+02,2.938000000000e+20
1.199100000000e+02,3.021000000000e+20
1.268900000000e+02,3.296000000000e+20
1.293200000000e+02,3.399000000000e+20
1.343000000000e+02,3.621000000000e+20
1.368500000000e+02,3.740000000000e+20
1.394500000000e+02,3.867000000000e+20
1.421000000000e+02,4.002000000000e+20
1.448000000000e+02,4.143000000000e+20
1.503400000000e+02,4.450000000000e+20
1.590200000000e+02,4.978000000000e+20
1.620100000000e+02,5.173000000000e+20
1.650600000000e+02,5.379000000000e+20
1.681500000000e+02,5.594000000000e+20
1.712800000000e+02,5.819000000000e+20
1.744800000000e+02,6.053000000000e+20
1.777400000000e+02,6.300000000000e+20
1.810400000000e+02,6.555000000000e+20
1.843700000000e+02,6.819000000000e+20
1.877400000000e+02,7.085000000000e+20
1.911900000000e+02,7.360000000000e+20
1.946700000000e+02,7.658000000000e+20
2.128200000000e+02,9.180000000000e+20
2.204500000000e+02,9.832000000000e+20
2.243600000000e+02,1.015600000000e+21
2.363700000000e+02,1.118100000000e+21
2.404800000000e+02,1.152300000000e+21
2.446400000000e+02,1.187000000000e+21
2.488600000000e+02,1.222200000000e+21
2.531200000000e+02,1.257500000000e+21
2.574700000000e+02,1.293700000000e+21
2.618800000000e+02,1.330100000000e+21
2.663700000000e+02,1.368100000000e+21
2.709200000000e+02,1.404600000000e+21
2.802800000000e+02,1.483200000000e+21
2.899900000000e+02,1.565300000000e+21
2.949800000000e+02,1.608500000000e+21
3.000500000000e+02,1.653200000000e+21
3.052200000000e+02,1.699700000000e+21
3.579300000000e+02,2.166600000000e+21
3.713700000000e+02,2.290200000000e+21
4.007600000000e+02,2.562700000000e+21
4.087000000000e+02,2.635100000000e+21
4.253500000000e+02,2.781000000000e+21
4.341200000000e+02,2.856000000000e+21
4.430800000000e+02,2.935700000000e+21
4.523700000000e+02,3.017400000000e+21
4.620000000000e+02,3.102600000000e+21
4.718700000000e+02,3.189400000000e+21
4.821500000000e+02,3.279600000000e+21
4.927200000000e+02,3.372100000000e+21
5.035800000000e+02,3.466200000000e+21
5.148100000000e+02,3.562900000000e+21
5.264500000000e+02,3.664100000000e+21
5.384200000000e+02,3.767500000000e+21
5.508000000000e+02,3.874700000000e+21
5.635600000000e+02,3.984800000000e+21
5.767400000000e+02,4.098600000000e+21
5.903300000000e+02,4.215800000000e+21
6.043700000000e+02,4.337500000000e+21
6.188000000000e+02,4.463000000000e+21
6.337300000000e+02,4.593700000000e+21
6.491100000000e+02,4.728900000000e+21
6.650000000000e+02,4.869300000000e+21
6.982100000000e+02,5.165600000000e+21
7.155700000000e+02,5.322200000000e+21
7.334500000000e+02,5.484100000000e+21
7.518300000000e+02,5.652700000000e+21
7.707900000000e+02,5.828100000000e+21
7.903200000000e+02,6.011000000000e+21
8.104000000000e+02,6.200100000000e+21
8.310700000000e+02,6.397700000000e+21
8.523300000000e+02,6.602900000000e+21
8.742000000000e+02,6.831600000000e+21
8.966800000000e+02,7.039500000000e+21
9.197900000000e+02,7.270100000000e+21
9.435300000000e+02,7.510800000000e+21
9.682500000000e+02,7.768700000000e+21
9.934700000000e+02,8.034400000000e+21
1.019210000000e+03,8.302500000000e+21
1.045480000000e+03,8.580300000000e+21
1.072870000000e+03,8.880600000000e+21
1.100630000000e+03,9.182800000000e+21
1.129260000000e+03,9.502800000000e+21
1.158880000000e+03,9.841400000000e+21
1.189310000000e+03,1.019500000000e+22
1.219990000000e+03,1.054890000000e+22
1.251680000000e+03,1.092310000000e+22
1.284050000000e+03,1.130760000000e+22
1.317620000000e+03,1.172190000000e+22
1.351450000000e+03,1.213560000000e+22
1.386450000000e+03,1.257550000000e+22
1.422560000000e+03,1.304030000000e+22
1.458890000000e+03,1.350470000000e+22
1.496320000000e+03,1.399370000000e+22
1.535100000000e+03,1.451510000000e+22
1.574160000000e+03,1.503330000000e+22
1.614380000000e+03,1.558880000000e+22
1.655970000000e+03,1.617120000000e+22
1.697910000000e+03,1.676150000000e+22
1.741020000000e+03,1.737850000000e+22
1.785960000000e+03,1.804770000000e+22
1.830430000000e+03,1.869660000000e+22
1.876860000000e+03,1.939990000000e+22
1.924470000000e+03,2.013280000000e+22
1.972350000000e+03,2.086690000000e+22
2.021580000000e+03,2.164690000000e+22
2.072260000000e+03,2.246110000000e+22
2.124310000000e+03,2.331010000000e+22
2.177340000000e+03,2.419160000000e+22
2.231530000000e+03,2.510520000000e+22
2.287430000000e+03,2.607260000000e+22
2.343590000000e+03,2.704360000000e+22
2.401440000000e+03,2.806920000000e+22
2.460670000000e+03,2.913660000000e+22
2.521290000000e+03,3.024780000000e+22
2.583290000000e+03,3.140390000000e+22
2.646620000000e+03,3.260520000000e+22
2.711360000000e+03,3.384530000000e+22
2.777540000000e+03,3.513100000000e+22
2.845040000000e+03,3.645050000000e+22
2.914460000000e+03,3.783970000000e+22
2.984880000000e+03,3.924860000000e+22
3.057120000000e+03,4.072290000000e+22
3.131160000000e+03,4.223620000000e+22
3.206980000000e+03,4.380400000000e+22
3.283920000000e+03,4.537550000000e+22
3.362660000000e+03,4.699570000000e+22
3.442990000000e+03,4.863630000000e+22
3.525390000000e+03,5.032640000000e+22
3.609630000000e+03,5.199430000000e+22
3.695750000000e+03,5.377510000000e+22
3.783930000000e+03,5.547010000000e+22
3.874150000000e+03,5.753520000000e+22
3.966500000000e+03,5.913370000000e+22
4.061130000000e+03,6.106580000000e+22
4.157970000000e+03,6.273810000000e+22
4.257330000000e+03,6.460400000000e+22
4.359180000000e+03,6.648740000000e+22
4.464180000000e+03,6.832300000000e+22
