# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_2ef37d6a42cf6e35fb46"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "76Ge^+(2P)"
# neutral: "Rn"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 75.9214, M = 222.018, &alpha; = 5.102."
# updated: "2022-02-05 15:10:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14079_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "368d8cb6f1445f082c85349664fd4b54b941d9a0d080b807ed6f65f51791c8f5"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,4.000000000000e+19
2.100000000000e-01,4.000000000000e+19
8.400000000000e-01,4.010000000000e+19
1.480000000000e+00,4.010000000000e+19
2.580000000000e+00,4.010000000000e+19
3.610000000000e+00,4.020000000000e+19
5.060000000000e+00,4.030000000000e+19
6.070000000000e+00,4.050000000000e+19
7.290000000000e+00,4.070000000000e+19
8.380000000000e+00,4.090000000000e+19
9.640000000000e+00,4.110000000000e+19
1.109000000000e+01,4.150000000000e+19
1.276000000000e+01,4.190000000000e+19
1.403000000000e+01,4.230000000000e+19
1.544000000000e+01,4.280000000000e+19
1.622000000000e+01,4.310000000000e+19
1.703000000000e+01,4.340000000000e+19
1.788000000000e+01,4.370000000000e+19
1.878000000000e+01,4.410000000000e+19
1.972000000000e+01,4.450000000000e+19
2.071000000000e+01,4.500000000000e+19
2.176000000000e+01,4.550000000000e+19
2.285000000000e+01,4.600000000000e+19
2.400000000000e+01,4.670000000000e+19
2.521000000000e+01,4.730000000000e+19
2.648000000000e+01,4.810000000000e+19
2.756000000000e+01,4.870000000000e+19
2.811000000000e+01,4.910000000000e+19
2.985000000000e+01,5.020000000000e+19
3.045000000000e+01,5.060000000000e+19
3.107000000000e+01,5.100000000000e+19
3.169000000000e+01,5.140000000000e+19
3.233000000000e+01,5.190000000000e+19
3.299000000000e+01,5.240000000000e+19
3.366000000000e+01,5.290000000000e+19
3.434000000000e+01,5.340000000000e+19
3.503000000000e+01,5.390000000000e+19
3.647000000000e+01,5.500000000000e+19
3.721000000000e+01,5.570000000000e+19
3.796000000000e+01,5.630000000000e+19
3.873000000000e+01,5.690000000000e+19
3.952000000000e+01,5.760000000000e+19
4.032000000000e+01,5.830000000000e+19
4.114000000000e+01,5.910000000000e+19
4.198000000000e+01,5.980000000000e+19
