# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_a651bf75cb1e057a870a"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "76Ge^+(2P)"
# neutral: "Rn"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 75.9214, M = 222.018, &alpha; = 5.102."
# updated: "2022-02-05 15:10:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14079_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "368d8cb6f1445f082c85349664fd4b54b941d9a0d080b807ed6f65f51791c8f5"
reduced_electric_field_Td,reduced_transport_SI
8.000000000000e-02,7.860000000000e+19
3.000000000000e-01,7.860000000000e+19
1.210000000000e+00,7.860000000000e+19
2.130000000000e+00,7.860000000000e+19
3.720000000000e+00,7.870000000000e+19
5.210000000000e+00,7.890000000000e+19
7.290000000000e+00,7.920000000000e+19
8.750000000000e+00,7.940000000000e+19
1.050000000000e+01,7.980000000000e+19
1.208000000000e+01,8.020000000000e+19
1.390000000000e+01,8.070000000000e+19
1.598000000000e+01,8.140000000000e+19
1.838000000000e+01,8.230000000000e+19
2.023000000000e+01,8.310000000000e+19
2.225000000000e+01,8.400000000000e+19
2.577000000000e+01,8.590000000000e+19
2.706000000000e+01,8.660000000000e+19
2.842000000000e+01,8.740000000000e+19
2.985000000000e+01,8.840000000000e+19
3.292000000000e+01,9.050000000000e+19
3.458000000000e+01,9.170000000000e+19
3.814000000000e+01,9.460000000000e+19
3.891000000000e+01,9.520000000000e+19
3.969000000000e+01,9.590000000000e+19
4.049000000000e+01,9.660000000000e+19
4.131000000000e+01,9.740000000000e+19
4.214000000000e+01,9.810000000000e+19
4.299000000000e+01,9.890000000000e+19
4.385000000000e+01,9.980000000000e+19
4.474000000000e+01,1.006000000000e+20
4.564000000000e+01,1.016000000000e+20
4.845000000000e+01,1.045000000000e+20
4.943000000000e+01,1.055000000000e+20
5.042000000000e+01,1.066000000000e+20
5.144000000000e+01,1.077000000000e+20
5.462000000000e+01,1.115000000000e+20
5.572000000000e+01,1.128000000000e+20
5.684000000000e+01,1.143000000000e+20
5.799000000000e+01,1.157000000000e+20
6.941000000000e+01,1.322000000000e+20
7.081000000000e+01,1.344000000000e+20
7.223000000000e+01,1.367000000000e+20
7.369000000000e+01,1.391000000000e+20
7.517000000000e+01,1.415000000000e+20
