# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_bff71e6b380c44efe5ec"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "12C(2P1/2)^+"
# neutral: "Xe"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 500 K"
# group_comment: "Ground State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "ground state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 12, M = 131.293, &alpha; = 4.044."
# updated: "2021-12-19 21:01:56"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_1382_neutral_38_39_40/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "58a951ce4d6d31534911883d7ff4db584bfad1b0c4fb251685595d08ee42681d"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,2.476000000000e+20
1.800000000000e-01,2.476000000000e+20
7.000000000000e-01,2.477000000000e+20
1.230000000000e+00,2.478000000000e+20
2.150000000000e+00,2.480000000000e+20
3.010000000000e+00,2.483000000000e+20
4.210000000000e+00,2.490000000000e+20
5.060000000000e+00,2.496000000000e+20
6.070000000000e+00,2.505000000000e+20
6.980000000000e+00,2.514000000000e+20
8.040000000000e+00,2.525000000000e+20
9.250000000000e+00,2.541000000000e+20
1.064000000000e+01,2.562000000000e+20
1.171000000000e+01,2.579000000000e+20
1.289000000000e+01,2.601000000000e+20
1.354000000000e+01,2.613000000000e+20
1.423000000000e+01,2.627000000000e+20
1.494000000000e+01,2.642000000000e+20
1.570000000000e+01,2.658000000000e+20
1.733000000000e+01,2.696000000000e+20
1.821000000000e+01,2.718000000000e+20
1.914000000000e+01,2.742000000000e+20
2.012000000000e+01,2.768000000000e+20
2.115000000000e+01,2.797000000000e+20
2.269000000000e+01,2.841000000000e+20
2.315000000000e+01,2.855000000000e+20
2.363000000000e+01,2.870000000000e+20
2.411000000000e+01,2.885000000000e+20
2.461000000000e+01,2.901000000000e+20
2.512000000000e+01,2.917000000000e+20
2.564000000000e+01,2.933000000000e+20
2.617000000000e+01,2.951000000000e+20
2.671000000000e+01,2.969000000000e+20
2.726000000000e+01,2.987000000000e+20
2.783000000000e+01,3.006000000000e+20
2.841000000000e+01,3.026000000000e+20
2.900000000000e+01,3.047000000000e+20
2.960000000000e+01,3.068000000000e+20
3.022000000000e+01,3.090000000000e+20
3.085000000000e+01,3.113000000000e+20
3.150000000000e+01,3.136000000000e+20
3.216000000000e+01,3.161000000000e+20
3.284000000000e+01,3.186000000000e+20
3.353000000000e+01,3.212000000000e+20
3.424000000000e+01,3.239000000000e+20
3.496000000000e+01,3.267000000000e+20
3.570000000000e+01,3.296000000000e+20
3.646000000000e+01,3.326000000000e+20
3.724000000000e+01,3.357000000000e+20
3.804000000000e+01,3.389000000000e+20
3.885000000000e+01,3.422000000000e+20
3.968000000000e+01,3.456000000000e+20
4.054000000000e+01,3.491000000000e+20
4.231000000000e+01,3.565000000000e+20
4.323000000000e+01,3.604000000000e+20
4.417000000000e+01,3.644000000000e+20
4.513000000000e+01,3.686000000000e+20
4.612000000000e+01,3.728000000000e+20
4.713000000000e+01,3.773000000000e+20
4.817000000000e+01,3.819000000000e+20
4.923000000000e+01,3.866000000000e+20
5.032000000000e+01,3.915000000000e+20
5.144000000000e+01,3.965000000000e+20
5.259000000000e+01,4.018000000000e+20
5.377000000000e+01,4.071000000000e+20
5.497000000000e+01,4.127000000000e+20
5.621000000000e+01,4.185000000000e+20
5.748000000000e+01,4.244000000000e+20
5.879000000000e+01,4.305000000000e+20
6.013000000000e+01,4.369000000000e+20
6.151000000000e+01,4.435000000000e+20
6.292000000000e+01,4.502000000000e+20
6.437000000000e+01,4.572000000000e+20
6.586000000000e+01,4.645000000000e+20
6.739000000000e+01,4.720000000000e+20
6.896000000000e+01,4.797000000000e+20
7.058000000000e+01,4.877000000000e+20
7.224000000000e+01,4.960000000000e+20
7.394000000000e+01,5.046000000000e+20
7.570000000000e+01,5.134000000000e+20
7.750000000000e+01,5.226000000000e+20
7.935000000000e+01,5.321000000000e+20
8.125000000000e+01,5.419000000000e+20
