# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_e6b9c3ea953ecfb1a0d7"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "12C(2P1/2)^+"
# neutral: "Xe"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "Ground State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "ground state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 12, M = 131.293, &alpha; = 4.044."
# updated: "2021-12-19 21:01:56"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_1382_neutral_38_39_40/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "58a951ce4d6d31534911883d7ff4db584bfad1b0c4fb251685595d08ee42681d"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,1.025000000000e+20
1.100000000000e-01,1.025000000000e+20
4.300000000000e-01,1.025000000000e+20
7.500000000000e-01,1.026000000000e+20
1.310000000000e+00,1.027000000000e+20
1.840000000000e+00,1.029000000000e+20
2.570000000000e+00,1.032000000000e+20
3.080000000000e+00,1.035000000000e+20
3.700000000000e+00,1.039000000000e+20
4.260000000000e+00,1.044000000000e+20
4.900000000000e+00,1.050000000000e+20
5.630000000000e+00,1.057000000000e+20
6.480000000000e+00,1.068000000000e+20
7.130000000000e+00,1.077000000000e+20
7.840000000000e+00,1.087000000000e+20
8.230000000000e+00,1.094000000000e+20
8.640000000000e+00,1.101000000000e+20
9.080000000000e+00,1.108000000000e+20
9.530000000000e+00,1.117000000000e+20
1.001000000000e+01,1.126000000000e+20
1.051000000000e+01,1.136000000000e+20
1.104000000000e+01,1.147000000000e+20
1.159000000000e+01,1.160000000000e+20
1.218000000000e+01,1.173000000000e+20
1.279000000000e+01,1.188000000000e+20
1.343000000000e+01,1.204000000000e+20
1.370000000000e+01,1.211000000000e+20
1.398000000000e+01,1.219000000000e+20
1.426000000000e+01,1.226000000000e+20
1.454000000000e+01,1.234000000000e+20
1.484000000000e+01,1.242000000000e+20
1.514000000000e+01,1.251000000000e+20
1.544000000000e+01,1.260000000000e+20
1.575000000000e+01,1.269000000000e+20
1.607000000000e+01,1.278000000000e+20
1.673000000000e+01,1.298000000000e+20
1.706000000000e+01,1.309000000000e+20
1.741000000000e+01,1.320000000000e+20
1.776000000000e+01,1.331000000000e+20
1.812000000000e+01,1.343000000000e+20
1.849000000000e+01,1.355000000000e+20
1.886000000000e+01,1.368000000000e+20
1.924000000000e+01,1.381000000000e+20
1.963000000000e+01,1.395000000000e+20
2.003000000000e+01,1.409000000000e+20
2.044000000000e+01,1.424000000000e+20
2.086000000000e+01,1.439000000000e+20
2.128000000000e+01,1.454000000000e+20
2.171000000000e+01,1.471000000000e+20
2.216000000000e+01,1.487000000000e+20
2.261000000000e+01,1.505000000000e+20
2.307000000000e+01,1.523000000000e+20
2.354000000000e+01,1.541000000000e+20
2.403000000000e+01,1.561000000000e+20
2.452000000000e+01,1.581000000000e+20
2.502000000000e+01,1.601000000000e+20
2.554000000000e+01,1.623000000000e+20
2.606000000000e+01,1.645000000000e+20
2.660000000000e+01,1.667000000000e+20
2.715000000000e+01,1.691000000000e+20
2.771000000000e+01,1.715000000000e+20
2.828000000000e+01,1.740000000000e+20
2.887000000000e+01,1.766000000000e+20
2.947000000000e+01,1.793000000000e+20
3.009000000000e+01,1.821000000000e+20
3.072000000000e+01,1.851000000000e+20
3.136000000000e+01,1.879000000000e+20
3.202000000000e+01,1.909000000000e+20
3.269000000000e+01,1.941000000000e+20
