# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_9cb85c93d5925ec79bb2"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "12C(2P)^+"
# neutral: "Xe"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "Statistical State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "statistical state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 12, M = 131.293, &alpha; = 4.044."
# updated: "2021-12-19 20:59:03"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_656_neutral_38_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "912bddb2e19ae028c4283dcfd49c5f341b89a96efe4ce428e415dd33c24c5a50"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,1.515000000000e+20
1.300000000000e-01,1.515000000000e+20
5.300000000000e-01,1.515000000000e+20
9.300000000000e-01,1.516000000000e+20
1.630000000000e+00,1.517000000000e+20
2.280000000000e+00,1.520000000000e+20
3.200000000000e+00,1.524000000000e+20
3.840000000000e+00,1.528000000000e+20
4.600000000000e+00,1.534000000000e+20
5.300000000000e+00,1.541000000000e+20
6.090000000000e+00,1.549000000000e+20
7.010000000000e+00,1.560000000000e+20
8.060000000000e+00,1.574000000000e+20
8.870000000000e+00,1.587000000000e+20
9.760000000000e+00,1.602000000000e+20
1.025000000000e+01,1.611000000000e+20
1.076000000000e+01,1.620000000000e+20
1.130000000000e+01,1.631000000000e+20
1.187000000000e+01,1.643000000000e+20
1.310000000000e+01,1.670000000000e+20
1.375000000000e+01,1.686000000000e+20
1.445000000000e+01,1.703000000000e+20
1.518000000000e+01,1.721000000000e+20
1.594000000000e+01,1.742000000000e+20
1.675000000000e+01,1.765000000000e+20
1.709000000000e+01,1.775000000000e+20
1.743000000000e+01,1.785000000000e+20
1.779000000000e+01,1.795000000000e+20
1.815000000000e+01,1.806000000000e+20
1.851000000000e+01,1.818000000000e+20
1.889000000000e+01,1.830000000000e+20
1.927000000000e+01,1.842000000000e+20
1.966000000000e+01,1.855000000000e+20
2.006000000000e+01,1.868000000000e+20
2.047000000000e+01,1.882000000000e+20
2.089000000000e+01,1.896000000000e+20
2.131000000000e+01,1.911000000000e+20
2.175000000000e+01,1.926000000000e+20
2.219000000000e+01,1.942000000000e+20
2.264000000000e+01,1.959000000000e+20
2.311000000000e+01,1.976000000000e+20
2.358000000000e+01,1.994000000000e+20
2.406000000000e+01,2.012000000000e+20
2.455000000000e+01,2.031000000000e+20
2.506000000000e+01,2.051000000000e+20
2.557000000000e+01,2.072000000000e+20
2.610000000000e+01,2.093000000000e+20
2.663000000000e+01,2.116000000000e+20
2.718000000000e+01,2.139000000000e+20
2.774000000000e+01,2.163000000000e+20
2.831000000000e+01,2.188000000000e+20
2.890000000000e+01,2.213000000000e+20
2.949000000000e+01,2.240000000000e+20
3.011000000000e+01,2.268000000000e+20
3.073000000000e+01,2.297000000000e+20
3.137000000000e+01,2.327000000000e+20
3.202000000000e+01,2.358000000000e+20
3.268000000000e+01,2.390000000000e+20
3.337000000000e+01,2.423000000000e+20
3.406000000000e+01,2.458000000000e+20
3.477000000000e+01,2.494000000000e+20
3.550000000000e+01,2.531000000000e+20
3.624000000000e+01,2.570000000000e+20
3.700000000000e+01,2.611000000000e+20
3.778000000000e+01,2.652000000000e+20
3.858000000000e+01,2.696000000000e+20
3.939000000000e+01,2.741000000000e+20
4.022000000000e+01,2.788000000000e+20
4.107000000000e+01,2.837000000000e+20
4.194000000000e+01,2.888000000000e+20
4.283000000000e+01,2.941000000000e+20
4.374000000000e+01,2.995000000000e+20
4.467000000000e+01,3.052000000000e+20
4.563000000000e+01,3.111000000000e+20
4.660000000000e+01,3.173000000000e+20
