# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_e6a3bf1f3332e16a075b"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "12C(2P)^+"
# neutral: "Xe"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Statistical State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "statistical state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 12, M = 131.293, &alpha; = 4.044."
# updated: "2021-12-19 20:59:03"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_656_neutral_38_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "d393d9a263bd1e8a914414477e57c6de4291b22ce6f8fd45bec37934cb3e3d1a"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,5.782709171290e+21
1.300000000000e-01,5.782709171290e+21
5.300000000000e-01,5.782709171290e+21
9.300000000000e-01,5.782709171290e+21
1.630000000000e+00,5.782444006710e+21
2.280000000000e+00,5.782178842129e+21
3.200000000000e+00,5.781648512968e+21
3.840000000000e+00,5.781118183808e+21
4.600000000000e+00,5.780322690066e+21
5.300000000000e+00,5.779527196325e+21
6.090000000000e+00,5.778466538003e+21
7.010000000000e+00,5.776875550520e+21
8.060000000000e+00,5.775019398456e+21
8.870000000000e+00,5.773428410973e+21
9.760000000000e+00,5.771307094329e+21
1.025000000000e+01,5.770246436007e+21
1.076000000000e+01,5.768920613105e+21
1.130000000000e+01,5.767329625622e+21
1.187000000000e+01,5.765738638139e+21
1.310000000000e+01,5.762026334012e+21
1.375000000000e+01,5.759905017368e+21
1.445000000000e+01,5.757518536144e+21
1.518000000000e+01,5.754866890339e+21
1.594000000000e+01,5.751950079954e+21
1.675000000000e+01,5.748502940407e+21
1.709000000000e+01,5.747177117505e+21
1.743000000000e+01,5.745586130022e+21
1.779000000000e+01,5.744260307120e+21
1.815000000000e+01,5.742669319637e+21
1.851000000000e+01,5.740813167573e+21
1.889000000000e+01,5.739222180090e+21
1.927000000000e+01,5.737366028027e+21
1.966000000000e+01,5.735509875964e+21
