# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_6691b98a44538d785a42"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "13C(2P1/2)^+"
# neutral: "Xe"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 500 K"
# group_comment: "Ground State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "ground state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 13.0034, M = 131.293, &alpha; = 4.044."
# updated: "2021-12-19 21:20:48"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13996_neutral_38_39_40/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "c3196a0d86bebfc5ff2de9f48aa4954f12e463c65eb95ec2ba36b36144aa96e0"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,5.467693649670e+21
1.800000000000e-01,5.467693649670e+21
7.300000000000e-01,5.467693649670e+21
1.270000000000e+00,5.467693649670e+21
2.230000000000e+00,5.467163320509e+21
3.120000000000e+00,5.466367826768e+21
4.370000000000e+00,5.465042003865e+21
5.250000000000e+00,5.463981345543e+21
6.300000000000e+00,5.462390358060e+21
7.250000000000e+00,5.460534205997e+21
8.340000000000e+00,5.458147724773e+21
9.590000000000e+00,5.454965749807e+21
1.104000000000e+01,5.450988281099e+21
1.215000000000e+01,5.447275976973e+21
1.337000000000e+01,5.443033343685e+21
1.405000000000e+01,5.440646862460e+21
1.476000000000e+01,5.437730052075e+21
1.550000000000e+01,5.434548077109e+21
1.629000000000e+01,5.431366102143e+21
1.711000000000e+01,5.427653798017e+21
1.798000000000e+01,5.423411164729e+21
1.889000000000e+01,5.418903366860e+21
1.986000000000e+01,5.413865239831e+21
2.087000000000e+01,5.408296783641e+21
2.194000000000e+01,5.402197998290e+21
2.306000000000e+01,5.395568883777e+21
2.353000000000e+01,5.392652073392e+21
2.402000000000e+01,5.389470098426e+21
2.451000000000e+01,5.386553288041e+21
2.501000000000e+01,5.383106148494e+21
2.553000000000e+01,5.379659008948e+21
2.606000000000e+01,5.376211869402e+21
2.659000000000e+01,5.372499565275e+21
2.714000000000e+01,5.368787261148e+21
2.771000000000e+01,5.364809792441e+21
2.828000000000e+01,5.360567159153e+21
2.887000000000e+01,5.356324525865e+21
2.947000000000e+01,5.352081892577e+21
3.008000000000e+01,5.347308930129e+21
3.071000000000e+01,5.342535967680e+21
3.135000000000e+01,5.337763005231e+21
3.200000000000e+01,5.332459713621e+21
3.268000000000e+01,5.327156422011e+21
3.336000000000e+01,5.321587965821e+21
3.406000000000e+01,5.315754345050e+21
3.478000000000e+01,5.309920724280e+21
3.552000000000e+01,5.303821938928e+21
3.627000000000e+01,5.297457988997e+21
3.704000000000e+01,5.290828874485e+21
3.782000000000e+01,5.283934595392e+21
3.863000000000e+01,5.276775151719e+21
3.946000000000e+01,5.269350543465e+21
