# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_a02a055e861dccfa81ed"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "13C(2P)^+"
# neutral: "Xe"
# gas_temperature_K: 100.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 100 K"
# group_comment: "Statistical State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "statistical state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 13.0034, M = 131.293, &alpha; = 4.044."
# updated: "2021-12-19 21:16:57"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13995_neutral_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "d10260e42124f850d67c28ca50f917819dd1977552bf2ad42652f198e75699c5"
reduced_electric_field_Td,reduced_transport_SI
2.000000000000e-02,4.920000000000e+19
8.000000000000e-02,4.920000000000e+19
3.200000000000e-01,4.920000000000e+19
5.500000000000e-01,4.920000000000e+19
9.700000000000e-01,4.920000000000e+19
1.350000000000e+00,4.930000000000e+19
1.890000000000e+00,4.950000000000e+19
2.270000000000e+00,4.960000000000e+19
2.730000000000e+00,4.990000000000e+19
3.140000000000e+00,5.010000000000e+19
3.610000000000e+00,5.040000000000e+19
4.150000000000e+00,5.080000000000e+19
4.770000000000e+00,5.130000000000e+19
5.250000000000e+00,5.180000000000e+19
5.770000000000e+00,5.240000000000e+19
6.060000000000e+00,5.270000000000e+19
6.370000000000e+00,5.300000000000e+19
6.680000000000e+00,5.340000000000e+19
7.020000000000e+00,5.390000000000e+19
7.370000000000e+00,5.440000000000e+19
7.740000000000e+00,5.490000000000e+19
8.120000000000e+00,5.550000000000e+19
8.530000000000e+00,5.610000000000e+19
8.950000000000e+00,5.680000000000e+19
9.400000000000e+00,5.760000000000e+19
9.870000000000e+00,5.850000000000e+19
1.007000000000e+01,5.890000000000e+19
1.027000000000e+01,5.920000000000e+19
1.047000000000e+01,5.960000000000e+19
1.068000000000e+01,6.010000000000e+19
1.090000000000e+01,6.050000000000e+19
1.112000000000e+01,6.100000000000e+19
1.134000000000e+01,6.140000000000e+19
1.156000000000e+01,6.190000000000e+19
1.180000000000e+01,6.240000000000e+19
1.203000000000e+01,6.290000000000e+19
1.227000000000e+01,6.350000000000e+19
1.252000000000e+01,6.410000000000e+19
1.277000000000e+01,6.470000000000e+19
1.302000000000e+01,6.530000000000e+19
1.328000000000e+01,6.590000000000e+19
1.355000000000e+01,6.660000000000e+19
1.382000000000e+01,6.730000000000e+19
1.410000000000e+01,6.800000000000e+19
1.438000000000e+01,6.870000000000e+19
1.466000000000e+01,6.950000000000e+19
1.496000000000e+01,7.030000000000e+19
1.526000000000e+01,7.110000000000e+19
1.556000000000e+01,7.200000000000e+19
1.587000000000e+01,7.290000000000e+19
1.619000000000e+01,7.380000000000e+19
1.652000000000e+01,7.480000000000e+19
1.685000000000e+01,7.580000000000e+19
1.718000000000e+01,7.680000000000e+19
1.753000000000e+01,7.790000000000e+19
1.788000000000e+01,7.900000000000e+19
1.824000000000e+01,8.020000000000e+19
1.861000000000e+01,8.140000000000e+19
1.898000000000e+01,8.260000000000e+19
1.936000000000e+01,8.390000000000e+19
1.975000000000e+01,8.520000000000e+19
2.015000000000e+01,8.660000000000e+19
2.055000000000e+01,8.810000000000e+19
2.096000000000e+01,8.950000000000e+19
2.139000000000e+01,9.110000000000e+19
2.182000000000e+01,9.270000000000e+19
2.226000000000e+01,9.430000000000e+19
2.271000000000e+01,9.600000000000e+19
2.317000000000e+01,9.780000000000e+19
2.363000000000e+01,9.970000000000e+19
2.411000000000e+01,1.016000000000e+20
2.460000000000e+01,1.035000000000e+20
2.510000000000e+01,1.056000000000e+20
2.561000000000e+01,1.077000000000e+20
2.613000000000e+01,1.099000000000e+20
2.666000000000e+01,1.121000000000e+20
2.721000000000e+01,1.145000000000e+20
2.776000000000e+01,1.169000000000e+20
2.833000000000e+01,1.194000000000e+20
2.891000000000e+01,1.220000000000e+20
2.950000000000e+01,1.246000000000e+20
3.011000000000e+01,1.274000000000e+20
3.073000000000e+01,1.303000000000e+20
3.136000000000e+01,1.333000000000e+20
3.201000000000e+01,1.363000000000e+20
3.267000000000e+01,1.395000000000e+20
3.335000000000e+01,1.428000000000e+20
3.404000000000e+01,1.462000000000e+20
3.475000000000e+01,1.498000000000e+20
3.548000000000e+01,1.534000000000e+20
3.622000000000e+01,1.572000000000e+20
3.698000000000e+01,1.611000000000e+20
3.776000000000e+01,1.652000000000e+20
3.855000000000e+01,1.694000000000e+20
3.937000000000e+01,1.737000000000e+20
4.020000000000e+01,1.783000000000e+20
4.105000000000e+01,1.829000000000e+20
4.193000000000e+01,1.878000000000e+20
4.282000000000e+01,1.928000000000e+20
4.374000000000e+01,1.981000000000e+20
4.468000000000e+01,2.035000000000e+20
4.564000000000e+01,2.091000000000e+20
4.662000000000e+01,2.150000000000e+20
4.763000000000e+01,2.211000000000e+20
4.866000000000e+01,2.274000000000e+20
4.972000000000e+01,2.339000000000e+20
5.080000000000e+01,2.408000000000e+20
5.191000000000e+01,2.479000000000e+20
5.304000000000e+01,2.552000000000e+20
5.420000000000e+01,2.629000000000e+20
5.539000000000e+01,2.709000000000e+20
5.661000000000e+01,2.792000000000e+20
5.786000000000e+01,2.879000000000e+20
5.914000000000e+01,2.969000000000e+20
6.044000000000e+01,3.063000000000e+20
6.178000000000e+01,3.160000000000e+20
6.315000000000e+01,3.262000000000e+20
6.455000000000e+01,3.367000000000e+20
6.599000000000e+01,3.477000000000e+20
6.745000000000e+01,3.592000000000e+20
6.895000000000e+01,3.711000000000e+20
7.049000000000e+01,3.835000000000e+20
7.206000000000e+01,3.963000000000e+20
7.366000000000e+01,4.096000000000e+20
7.531000000000e+01,4.235000000000e+20
8.787000000000e+01,5.362000000000e+20
8.983000000000e+01,5.546000000000e+20
9.183000000000e+01,5.737000000000e+20
9.387000000000e+01,5.934000000000e+20
9.596000000000e+01,6.140000000000e+20
9.809000000000e+01,6.354000000000e+20
1.002700000000e+02,6.575000000000e+20
1.025100000000e+02,6.805000000000e+20
1.047900000000e+02,7.044000000000e+20
1.071200000000e+02,7.294000000000e+20
1.095000000000e+02,7.560000000000e+20
1.119400000000e+02,7.832000000000e+20
1.144300000000e+02,8.121000000000e+20
1.169800000000e+02,8.427000000000e+20
1.195900000000e+02,8.752000000000e+20
1.222600000000e+02,9.098000000000e+20
1.249900000000e+02,9.466000000000e+20
1.277700000000e+02,9.870000000000e+20
1.306200000000e+02,1.030500000000e+21
1.335300000000e+02,1.078100000000e+21
1.364900000000e+02,1.130100000000e+21
1.395200000000e+02,1.187100000000e+21
1.426100000000e+02,1.250800000000e+21
1.457700000000e+02,1.318200000000e+21
1.555700000000e+02,1.597700000000e+21
1.694200000000e+02,2.195200000000e+21
1.729000000000e+02,2.439300000000e+21
1.800700000000e+02,2.973900000000e+21
1.836500000000e+02,3.324900000000e+21
1.872000000000e+02,3.696000000000e+21
1.907100000000e+02,4.106000000000e+21
1.941600000000e+02,4.543700000000e+21
2.041800000000e+02,5.924700000000e+21
2.073400000000e+02,6.350300000000e+21
2.198200000000e+02,7.993000000000e+21
2.229500000000e+02,8.392800000000e+21
2.259700000000e+02,8.713400000000e+21
2.291300000000e+02,9.124600000000e+21
2.321600000000e+02,9.459600000000e+21
2.907400000000e+02,1.515030000000e+22
2.937200000000e+02,1.550770000000e+22
2.967500000000e+02,1.578210000000e+22
3.061800000000e+02,1.699140000000e+22
3.094700000000e+02,1.749280000000e+22
3.128200000000e+02,1.800300000000e+22
3.163100000000e+02,1.855080000000e+22
3.198900000000e+02,1.912630000000e+22
3.235700000000e+02,1.974740000000e+22
3.274900000000e+02,2.040940000000e+22
3.315000000000e+02,2.108520000000e+22
3.354400000000e+02,2.175280000000e+22
