# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_e8014a9e9d3fc6322a88"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "13C(2P)^+"
# neutral: "Xe"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "Statistical State of SO potentials from ab initio calculations of W. D. Tuttle, R. L. Thorington, L. A. Viehland, W. H. Breckenridge, and Timothy G. Wright, Phil. Trans. R. Soc. A 376 (2017) 20170156."
# source_family: "statistical state of so potentials from ab initio calculations of w. d. tuttle, r. l. thorington, l. a. viehland, w. h. breckenridge, and timothy g. wright, phil. trans. r. soc. a 376 (2017) 20170156."
# comment: "Mi = 13.0034, M = 131.293, &alpha; = 4.044."
# updated: "2021-12-19 21:16:57"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13995_neutral_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "d10260e42124f850d67c28ca50f917819dd1977552bf2ad42652f198e75699c5"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e-02,1.460000000000e+20
1.400000000000e-01,1.460000000000e+20
5.500000000000e-01,1.461000000000e+20
9.700000000000e-01,1.461000000000e+20
1.690000000000e+00,1.463000000000e+20
2.370000000000e+00,1.465000000000e+20
3.320000000000e+00,1.469000000000e+20
3.980000000000e+00,1.474000000000e+20
4.780000000000e+00,1.479000000000e+20
5.490000000000e+00,1.485000000000e+20
6.320000000000e+00,1.494000000000e+20
7.270000000000e+00,1.504000000000e+20
8.360000000000e+00,1.518000000000e+20
9.200000000000e+00,1.530000000000e+20
1.063000000000e+01,1.553000000000e+20
1.116000000000e+01,1.563000000000e+20
1.172000000000e+01,1.573000000000e+20
1.231000000000e+01,1.585000000000e+20
1.293000000000e+01,1.597000000000e+20
1.358000000000e+01,1.611000000000e+20
1.427000000000e+01,1.626000000000e+20
1.499000000000e+01,1.643000000000e+20
1.574000000000e+01,1.661000000000e+20
1.654000000000e+01,1.681000000000e+20
1.737000000000e+01,1.703000000000e+20
1.773000000000e+01,1.712000000000e+20
1.808000000000e+01,1.723000000000e+20
1.845000000000e+01,1.733000000000e+20
1.882000000000e+01,1.743000000000e+20
1.921000000000e+01,1.754000000000e+20
1.960000000000e+01,1.766000000000e+20
1.999000000000e+01,1.778000000000e+20
2.040000000000e+01,1.790000000000e+20
2.081000000000e+01,1.803000000000e+20
2.124000000000e+01,1.816000000000e+20
2.167000000000e+01,1.830000000000e+20
2.211000000000e+01,1.844000000000e+20
2.256000000000e+01,1.859000000000e+20
2.302000000000e+01,1.875000000000e+20
2.349000000000e+01,1.891000000000e+20
2.397000000000e+01,1.908000000000e+20
2.446000000000e+01,1.925000000000e+20
2.496000000000e+01,1.943000000000e+20
2.547000000000e+01,1.961000000000e+20
2.599000000000e+01,1.981000000000e+20
2.653000000000e+01,2.001000000000e+20
2.707000000000e+01,2.021000000000e+20
2.763000000000e+01,2.043000000000e+20
2.820000000000e+01,2.065000000000e+20
2.878000000000e+01,2.089000000000e+20
2.937000000000e+01,2.113000000000e+20
2.998000000000e+01,2.138000000000e+20
3.060000000000e+01,2.164000000000e+20
3.123000000000e+01,2.191000000000e+20
3.188000000000e+01,2.219000000000e+20
