# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_d8267176f7672819d9e1"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "14N16O+(v=0)"
# neutral: "Xe"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 500 K"
# group_comment: "Ab Initio Potential (Shifted) of Orek, Klos et al., J. Chem. Phys. 144 (2016) 204303. The calculations were made with the Monchick-Mason Approximation, as discussed by Viehland et al. (2021)."
# source_family: "ab initio potential (shifted) of orek, klos et al., j. chem. phys. 144 (2016) 204303. the calculations were made with the monchick-mason approximation, as discussed by viehland et al. (2021)."
# comment: "Mi = 29.998, M = 131.293, &alpha; = 2.4953."
# updated: "2021-04-28 14:45:51"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_13988_neutral_38_39_40/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "054bb1b0020b61793afa8cc8ce954bf761880c5022d88e20459687d809417f27"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,3.985158480160e+21
1.600000000000e-01,3.985423644740e+21
3.900000000000e-01,3.985423644740e+21
9.800000000000e-01,3.985423644740e+21
1.460000000000e+00,3.985423644740e+21
2.190000000000e+00,3.985688809321e+21
3.290000000000e+00,3.985953973901e+21
3.950000000000e+00,3.986219138482e+21
4.740000000000e+00,3.986749467643e+21
5.450000000000e+00,3.987279796804e+21
6.270000000000e+00,3.987810125965e+21
7.200000000000e+00,3.988605619706e+21
8.280000000000e+00,3.989666278028e+21
9.110000000000e+00,3.990461771770e+21
1.002000000000e+01,3.991787594672e+21
1.102000000000e+01,3.993113417574e+21
1.212000000000e+01,3.994704405057e+21
1.332000000000e+01,3.996825721701e+21
1.465000000000e+01,3.999477367506e+21
1.538000000000e+01,4.000803190409e+21
1.614000000000e+01,4.002659342472e+21
1.694000000000e+01,4.004515494535e+21
1.778000000000e+01,4.006636811179e+21
1.866000000000e+01,4.008758127823e+21
1.913000000000e+01,4.010083950726e+21
1.960000000000e+01,4.011409773628e+21
2.009000000000e+01,4.013000761111e+21
2.058000000000e+01,4.014326584013e+21
2.109000000000e+01,4.015917571496e+21
2.161000000000e+01,4.017773723560e+21
2.215000000000e+01,4.019629875623e+21
