# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_027fa9846b2b28d48226"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "19F^-"
# neutral: "Xe"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "Compiled Ko of Ellis et al., At. Data Nucl. Data Tables 22 (1978) 179."
# source_family: "compiled ko of ellis et al., at. data nucl. data tables 22 (1978) 179."
# comment: ""
# updated: "2011-12-12 11:32:19"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_027_70_70/002_mobility.txt"
# source_file_sha256: "811af16a2a6c7468f9fd7c1947cdcab32aed6e4c28b8bf91a05ff0eec97158cd"
reduced_electric_field_Td,reduced_transport_SI
3.000000000000e+00,4.401732036107e+21
4.000000000000e+00,4.401732036107e+21
6.000000000000e+00,4.401732036107e+21
8.000000000000e+00,4.401732036107e+21
1.000000000000e+01,4.428248494156e+21
1.200000000000e+01,4.454764952205e+21
1.500000000000e+01,4.481281410254e+21
2.000000000000e+01,4.507797868302e+21
2.500000000000e+01,4.560830784400e+21
3.000000000000e+01,4.613863700498e+21
4.000000000000e+01,4.746445990742e+21
5.000000000000e+01,4.879028280986e+21
6.000000000000e+01,5.038127029279e+21
8.000000000000e+01,5.833620770744e+21
1.000000000000e+02,6.629114512209e+21
1.200000000000e+02,7.318542421479e+21
1.500000000000e+02,7.689772834163e+21
2.000000000000e+02,7.636739918065e+21
2.500000000000e+02,7.345058879528e+21
