# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_b3573ed284741cd583c5"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "28Si^+(2P)"
# neutral: "Xe"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 27.9769, M = 131.293, &alpha; = 4.044."
# updated: "2021-12-28 21:31:05"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_001_1020_1020/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "12f6666bea9d545a093d155409c955191834619c0ea82b29b3f17046c8049931"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,3.948035438891e+21
1.900000000000e-01,3.948035438891e+21
7.800000000000e-01,3.948035438891e+21
1.360000000000e+00,3.948035438891e+21
2.390000000000e+00,3.948035438891e+21
3.340000000000e+00,3.947770274311e+21
4.680000000000e+00,3.947770274311e+21
5.620000000000e+00,3.947770274311e+21
6.740000000000e+00,3.947770274311e+21
7.750000000000e+00,3.947770274311e+21
8.910000000000e+00,3.947770274311e+21
1.025000000000e+01,3.947505109730e+21
1.179000000000e+01,3.947505109730e+21
1.297000000000e+01,3.947505109730e+21
1.426000000000e+01,3.947505109730e+21
1.498000000000e+01,3.947239945150e+21
1.573000000000e+01,3.947239945150e+21
1.651000000000e+01,3.947239945150e+21
1.734000000000e+01,3.947239945150e+21
1.821000000000e+01,3.947239945150e+21
1.912000000000e+01,3.947239945150e+21
2.007000000000e+01,3.947239945150e+21
2.108000000000e+01,3.946974780569e+21
2.213000000000e+01,3.946974780569e+21
2.324000000000e+01,3.946974780569e+21
2.440000000000e+01,3.946974780569e+21
2.489000000000e+01,3.946974780569e+21
2.538000000000e+01,3.946974780569e+21
2.589000000000e+01,3.946974780569e+21
2.641000000000e+01,3.946974780569e+21
2.694000000000e+01,3.946974780569e+21
2.748000000000e+01,3.946974780569e+21
2.803000000000e+01,3.947239945150e+21
2.859000000000e+01,3.946974780569e+21
2.916000000000e+01,3.946974780569e+21
2.974000000000e+01,3.946974780569e+21
3.034000000000e+01,3.947239945150e+21
3.094000000000e+01,3.947239945150e+21
3.156000000000e+01,3.947239945150e+21
3.219000000000e+01,3.947239945150e+21
3.284000000000e+01,3.947239945150e+21
3.349000000000e+01,3.947239945150e+21
3.416000000000e+01,3.947239945150e+21
3.485000000000e+01,3.947239945150e+21
3.554000000000e+01,3.947505109730e+21
3.625000000000e+01,3.947505109730e+21
3.698000000000e+01,3.947770274311e+21
3.772000000000e+01,3.947770274311e+21
3.847000000000e+01,3.947770274311e+21
3.924000000000e+01,3.947770274311e+21
4.003000000000e+01,3.947770274311e+21
4.083000000000e+01,3.948035438891e+21
4.164000000000e+01,3.948035438891e+21
4.247000000000e+01,3.948035438891e+21
4.332000000000e+01,3.948035438891e+21
4.419000000000e+01,3.948035438891e+21
4.507000000000e+01,3.948035438891e+21
4.597000000000e+01,3.948035438891e+21
4.689000000000e+01,3.948035438891e+21
4.782000000000e+01,3.948035438891e+21
4.878000000000e+01,3.948035438891e+21
4.975000000000e+01,3.948035438891e+21
5.075000000000e+01,3.948035438891e+21
5.176000000000e+01,3.947770274311e+21
