# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_47c1411bd648a0d42800"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "28Si^+(2P1/2)"
# neutral: "Xe"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 27.9769, M = 131.293, &alpha; = 4.044."
# updated: "2021-12-27 15:53:50"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_002_1021_1021/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "4293aa19ad992d0e497beb075a7e7d626ea0e8943cecccf27711116040055cd0"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,1.335000000000e+20
2.300000000000e-01,1.335000000000e+20
9.300000000000e-01,1.336000000000e+20
1.630000000000e+00,1.336000000000e+20
2.850000000000e+00,1.338000000000e+20
3.990000000000e+00,1.340000000000e+20
5.590000000000e+00,1.344000000000e+20
8.050000000000e+00,1.353000000000e+20
9.260000000000e+00,1.359000000000e+20
1.065000000000e+01,1.366000000000e+20
1.225000000000e+01,1.376000000000e+20
1.409000000000e+01,1.389000000000e+20
1.551000000000e+01,1.400000000000e+20
1.707000000000e+01,1.414000000000e+20
1.883000000000e+01,1.430000000000e+20
1.978000000000e+01,1.440000000000e+20
2.078000000000e+01,1.450000000000e+20
2.293000000000e+01,1.474000000000e+20
2.409000000000e+01,1.488000000000e+20
2.531000000000e+01,1.503000000000e+20
2.659000000000e+01,1.520000000000e+20
2.794000000000e+01,1.539000000000e+20
2.936000000000e+01,1.559000000000e+20
2.996000000000e+01,1.567000000000e+20
3.057000000000e+01,1.576000000000e+20
3.119000000000e+01,1.586000000000e+20
3.248000000000e+01,1.606000000000e+20
3.382000000000e+01,1.627000000000e+20
3.451000000000e+01,1.639000000000e+20
3.522000000000e+01,1.650000000000e+20
3.594000000000e+01,1.662000000000e+20
3.667000000000e+01,1.675000000000e+20
3.743000000000e+01,1.688000000000e+20
3.820000000000e+01,1.702000000000e+20
3.898000000000e+01,1.716000000000e+20
4.061000000000e+01,1.746000000000e+20
4.144000000000e+01,1.761000000000e+20
4.230000000000e+01,1.778000000000e+20
4.317000000000e+01,1.795000000000e+20
4.407000000000e+01,1.812000000000e+20
4.498000000000e+01,1.830000000000e+20
