# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_c259626404b69fcd5eef"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "28Si^+(2P1/2)"
# neutral: "Xe"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 27.9769, M = 131.293, &alpha; = 4.044."
# updated: "2021-12-27 15:53:50"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_002_1021_1021/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "874805eb69102a9e42079caf4777a341ed1131b7c8321cef33663bb008631acc"
reduced_electric_field_Td,reduced_transport_SI
4.000000000000e-02,3.927087437033e+21
1.600000000000e-01,3.927087437033e+21
6.400000000000e-01,3.927087437033e+21
1.120000000000e+00,3.927087437033e+21
2.740000000000e+00,3.926822272452e+21
4.610000000000e+00,3.926026778711e+21
5.530000000000e+00,3.925496449550e+21
6.370000000000e+00,3.924966120389e+21
8.420000000000e+00,3.923375132906e+21
9.690000000000e+00,3.922314474584e+21
1.066000000000e+01,3.921253816262e+21
1.173000000000e+01,3.919927993360e+21
1.231000000000e+01,3.919132499618e+21
1.293000000000e+01,3.918337005877e+21
1.426000000000e+01,3.916480853813e+21
1.498000000000e+01,3.915420195491e+21
1.653000000000e+01,3.913033714267e+21
1.736000000000e+01,3.911442726784e+21
1.823000000000e+01,3.909851739301e+21
1.915000000000e+01,3.907995587238e+21
2.012000000000e+01,3.906139435174e+21
2.136000000000e+01,3.903487789369e+21
2.179000000000e+01,3.902427131047e+21
2.223000000000e+01,3.901366472725e+21
2.268000000000e+01,3.900305814403e+21
2.314000000000e+01,3.899245156082e+21
2.361000000000e+01,3.898184497760e+21
2.458000000000e+01,3.895798016535e+21
2.507000000000e+01,3.894472193633e+21
2.558000000000e+01,3.893146370730e+21
2.663000000000e+01,3.890229560345e+21
2.773000000000e+01,3.887312749960e+21
2.829000000000e+01,3.885721762477e+21
2.946000000000e+01,3.882274622930e+21
3.006000000000e+01,3.880418470867e+21
3.067000000000e+01,3.878562318803e+21
3.130000000000e+01,3.876706166740e+21
3.194000000000e+01,3.874850014677e+21
3.259000000000e+01,3.872728698033e+21
3.326000000000e+01,3.870607381389e+21
