# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_7b466737c1a242f91c3f"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "29Si^+(2P1/2)"
# neutral: "Xe"
# gas_temperature_K: 500.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 500 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 28.9765, M = 131.293, &alpha; = 4.044."
# updated: "2021-12-27 15:53:50"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_005_2133_2133/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "7a49605eeb0dfa2062e980e397905b50d0d84873bfc7d8c2dc861c5d903067fc"
reduced_electric_field_Td,reduced_transport_SI
7.000000000000e-02,3.721319722574e+21
2.700000000000e-01,3.721319722574e+21
1.070000000000e+00,3.721319722574e+21
3.270000000000e+00,3.720789393413e+21
6.420000000000e+00,3.719728735091e+21
9.250000000000e+00,3.717872583027e+21
1.224000000000e+01,3.715220937223e+21
1.408000000000e+01,3.713099620579e+21
1.620000000000e+01,3.710447974774e+21
1.783000000000e+01,3.708326658130e+21
1.962000000000e+01,3.705675012325e+21
2.061000000000e+01,3.704084024842e+21
2.165000000000e+01,3.702227872779e+21
2.274000000000e+01,3.700371720715e+21
2.389000000000e+01,3.698250404071e+21
2.637000000000e+01,3.693477441623e+21
2.771000000000e+01,3.690825795818e+21
3.059000000000e+01,3.684461845886e+21
3.215000000000e+01,3.681014706340e+21
3.378000000000e+01,3.677037237632e+21
3.447000000000e+01,3.675446250149e+21
3.518000000000e+01,3.673590098086e+21
3.590000000000e+01,3.671733946023e+21
3.663000000000e+01,3.669877793959e+21
3.738000000000e+01,3.668021641896e+21
3.815000000000e+01,3.665900325252e+21
3.893000000000e+01,3.663779008608e+21
3.973000000000e+01,3.661657691964e+21
4.054000000000e+01,3.659536375320e+21
4.138000000000e+01,3.657149894096e+21
4.399000000000e+01,3.649990450422e+21
4.490000000000e+01,3.647338804618e+21
4.583000000000e+01,3.644687158813e+21
4.677000000000e+01,3.641770348427e+21
4.774000000000e+01,3.639118702622e+21
4.873000000000e+01,3.636201892237e+21
4.975000000000e+01,3.633019917271e+21
5.078000000000e+01,3.629837942305e+21
5.184000000000e+01,3.626655967339e+21
5.292000000000e+01,3.623473992374e+21
