# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_119e59d76e9a84bc55c4"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "29Si^+(2P3/2)"
# neutral: "Xe"
# gas_temperature_K: 300.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 300 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 28.9765, M = 131.293, &alpha; = 4.044."
# updated: "2021-12-28 20:13:32"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ions_006_2134_2134/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "2abd1a07d524d58bf39e3840548d026d1f5e55f8b5f99aa162b6c8439923aa63"
reduced_electric_field_Td,reduced_transport_SI
5.000000000000e-02,1.020000000000e+20
2.000000000000e-01,1.020000000000e+20
7.900000000000e-01,1.020000000000e+20
1.380000000000e+00,1.021000000000e+20
4.740000000000e+00,1.028000000000e+20
5.690000000000e+00,1.030000000000e+20
7.850000000000e+00,1.042000000000e+20
9.030000000000e+00,1.049000000000e+20
1.039000000000e+01,1.058000000000e+20
1.194000000000e+01,1.070000000000e+20
1.314000000000e+01,1.081000000000e+20
1.445000000000e+01,1.094000000000e+20
1.593000000000e+01,1.110000000000e+20
1.672000000000e+01,1.119000000000e+20
1.756000000000e+01,1.130000000000e+20
1.843000000000e+01,1.142000000000e+20
1.935000000000e+01,1.154000000000e+20
2.032000000000e+01,1.168000000000e+20
2.133000000000e+01,1.184000000000e+20
2.239000000000e+01,1.201000000000e+20
2.467000000000e+01,1.242000000000e+20
2.516000000000e+01,1.251000000000e+20
2.617000000000e+01,1.270000000000e+20
2.722000000000e+01,1.292000000000e+20
2.776000000000e+01,1.303000000000e+20
2.945000000000e+01,1.341000000000e+20
3.003000000000e+01,1.354000000000e+20
3.063000000000e+01,1.368000000000e+20
3.124000000000e+01,1.383000000000e+20
3.185000000000e+01,1.398000000000e+20
3.312000000000e+01,1.431000000000e+20
3.378000000000e+01,1.449000000000e+20
3.582000000000e+01,1.508000000000e+20
3.652000000000e+01,1.529000000000e+20
3.724000000000e+01,1.550000000000e+20
3.797000000000e+01,1.573000000000e+20
4.104000000000e+01,1.674000000000e+20
4.184000000000e+01,1.702000000000e+20
4.266000000000e+01,1.731000000000e+20
4.349000000000e+01,1.761000000000e+20
4.434000000000e+01,1.792000000000e+20
4.520000000000e+01,1.825000000000e+20
4.608000000000e+01,1.859000000000e+20
4.698000000000e+01,1.894000000000e+20
4.789000000000e+01,1.931000000000e+20
4.881000000000e+01,1.969000000000e+20
5.072000000000e+01,2.050000000000e+20
5.269000000000e+01,2.137000000000e+20
5.474000000000e+01,2.230000000000e+20
5.578000000000e+01,2.279000000000e+20
5.685000000000e+01,2.329000000000e+20
5.794000000000e+01,2.382000000000e+20
5.904000000000e+01,2.436000000000e+20
6.017000000000e+01,2.492000000000e+20
6.131000000000e+01,2.550000000000e+20
6.248000000000e+01,2.609000000000e+20
6.367000000000e+01,2.671000000000e+20
6.487000000000e+01,2.735000000000e+20
6.610000000000e+01,2.800000000000e+20
6.735000000000e+01,2.868000000000e+20
6.862000000000e+01,2.938000000000e+20
6.992000000000e+01,3.011000000000e+20
7.124000000000e+01,3.085000000000e+20
7.258000000000e+01,3.163000000000e+20
7.395000000000e+01,3.243000000000e+20
7.535000000000e+01,3.326000000000e+20
7.677000000000e+01,3.413000000000e+20
7.822000000000e+01,3.502000000000e+20
7.969000000000e+01,3.595000000000e+20
8.120000000000e+01,3.692000000000e+20
8.274000000000e+01,3.794000000000e+20
8.431000000000e+01,3.900000000000e+20
8.590000000000e+01,4.010000000000e+20
8.919000000000e+01,4.246000000000e+20
9.088000000000e+01,4.373000000000e+20
9.262000000000e+01,4.508000000000e+20
9.439000000000e+01,4.649000000000e+20
9.620000000000e+01,4.799000000000e+20
9.804000000000e+01,4.958000000000e+20
9.992000000000e+01,5.126000000000e+20
1.057500000000e+02,5.685000000000e+20
1.077900000000e+02,5.896000000000e+20
1.098700000000e+02,6.118000000000e+20
1.119800000000e+02,6.353000000000e+20
1.141500000000e+02,6.605000000000e+20
1.256500000000e+02,8.111000000000e+20
1.280400000000e+02,8.452000000000e+20
1.305100000000e+02,8.821000000000e+20
1.330300000000e+02,9.208000000000e+20
1.407900000000e+02,1.046500000000e+21
1.434500000000e+02,1.091100000000e+21
1.461600000000e+02,1.137300000000e+21
1.489100000000e+02,1.184700000000e+21
1.545200000000e+02,1.285000000000e+21
1.573900000000e+02,1.335600000000e+21
1.602900000000e+02,1.387300000000e+21
1.632300000000e+02,1.439400000000e+21
1.662100000000e+02,1.493000000000e+21
1.692300000000e+02,1.547100000000e+21
1.722800000000e+02,1.602400000000e+21
1.753800000000e+02,1.658200000000e+21
1.785200000000e+02,1.714000000000e+21
1.816900000000e+02,1.771500000000e+21
1.849300000000e+02,1.830400000000e+21
1.882000000000e+02,1.889300000000e+21
1.915300000000e+02,1.949200000000e+21
1.983000000000e+02,2.072800000000e+21
2.017800000000e+02,2.136500000000e+21
2.053100000000e+02,2.201100000000e+21
2.089000000000e+02,2.267200000000e+21
