# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_d255dd000f65694fc12d"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "70Ge^+(2P1/2)"
# neutral: "Xe"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 131.293, &alpha; = 4.044."
# updated: "2022-01-15 19:59:33"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14055_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "fdee983d4be0566542de88705f1d7a8f60ab815f57ba637c0170f5c1f9d769ae"
reduced_electric_field_Td,reduced_transport_SI
8.000000000000e-02,2.732521001933e+21
3.300000000000e-01,2.732521001933e+21
1.300000000000e+00,2.732521001933e+21
2.280000000000e+00,2.732521001933e+21
3.990000000000e+00,2.732255837352e+21
5.580000000000e+00,2.731990672772e+21
7.810000000000e+00,2.731460343611e+21
1.125000000000e+01,2.730399685289e+21
1.294000000000e+01,2.729869356128e+21
1.489000000000e+01,2.729073862386e+21
1.713000000000e+01,2.728013204064e+21
2.168000000000e+01,2.725361558260e+21
2.386000000000e+01,2.723770570777e+21
2.506000000000e+01,2.722975077035e+21
2.632000000000e+01,2.721914418713e+21
2.765000000000e+01,2.720853760391e+21
2.904000000000e+01,2.719793102069e+21
3.204000000000e+01,2.717141456264e+21
3.715000000000e+01,2.712368493816e+21
3.903000000000e+01,2.710512341752e+21
4.101000000000e+01,2.708391025108e+21
4.269000000000e+01,2.706534873045e+21
4.444000000000e+01,2.704678720981e+21
4.535000000000e+01,2.703618062659e+21
4.627000000000e+01,2.702557404338e+21
4.915000000000e+01,2.699110264791e+21
5.118000000000e+01,2.696723783567e+21
5.223000000000e+01,2.695397960664e+21
5.329000000000e+01,2.694072137762e+21
5.438000000000e+01,2.692746314859e+21
5.779000000000e+01,2.688503681572e+21
5.898000000000e+01,2.686912694089e+21
6.019000000000e+01,2.685321706606e+21
6.143000000000e+01,2.683730719123e+21
6.269000000000e+01,2.682139731640e+21
6.665000000000e+01,2.676836440030e+21
7.234000000000e+01,2.669411831776e+21
7.384000000000e+01,2.667555679713e+21
7.537000000000e+01,2.665434363069e+21
7.694000000000e+01,2.663313046425e+21
7.855000000000e+01,2.660926565201e+21
8.708000000000e+01,2.650319981981e+21
8.891000000000e+01,2.647933500757e+21
9.077000000000e+01,2.645547019533e+21
9.268000000000e+01,2.643160538308e+21
9.462000000000e+01,2.640774057084e+21
9.661000000000e+01,2.638387575859e+21
9.865000000000e+01,2.636001094635e+21
1.007300000000e+02,2.633614613411e+21
1.028500000000e+02,2.631228132186e+21
1.050200000000e+02,2.628841650962e+21
1.072400000000e+02,2.626720334318e+21
1.095100000000e+02,2.624333853093e+21
1.118300000000e+02,2.622212536450e+21
1.166200000000e+02,2.617704738581e+21
1.216200000000e+02,2.613992434454e+21
1.242100000000e+02,2.612136282391e+21
1.323500000000e+02,2.606567826201e+21
1.380400000000e+02,2.604446509557e+21
1.438500000000e+02,2.604711674137e+21
1.531500000000e+02,2.607628484523e+21
1.563600000000e+02,2.609484636586e+21
1.596300000000e+02,2.611605953230e+21
1.629700000000e+02,2.613992434454e+21
1.663700000000e+02,2.616909244840e+21
1.768800000000e+02,2.630432638445e+21
1.804800000000e+02,2.636266259215e+21
1.841300000000e+02,2.643160538308e+21
1.878200000000e+02,2.649524488240e+21
1.990800000000e+02,2.672858971323e+21
2.066800000000e+02,2.689829504474e+21
2.143200000000e+02,2.706269708464e+21
2.181700000000e+02,2.713694316718e+21
2.219900000000e+02,2.721649254133e+21
2.334200000000e+02,2.738619787284e+21
3.443500000000e+02,2.834874530001e+21
3.538500000000e+02,2.855292202699e+21
3.587100000000e+02,2.865633621338e+21
3.688700000000e+02,2.889498433582e+21
3.741500000000e+02,2.901961168865e+21
3.795800000000e+02,2.914689068728e+21
3.851700000000e+02,2.927682133172e+21
3.909300000000e+02,2.940940362197e+21
3.968700000000e+02,2.954994084962e+21
4.030100000000e+02,2.966926491084e+21
4.093500000000e+02,2.982040872172e+21
4.226900000000e+02,3.008557330221e+21
4.297200000000e+02,3.021285230085e+21
4.445300000000e+02,3.045945536070e+21
4.523600000000e+02,3.057612777611e+21
4.604700000000e+02,3.068749689992e+21
4.688800000000e+02,3.079091108631e+21
4.776100000000e+02,3.088637033529e+21
4.866700000000e+02,3.097652629265e+21
4.960600000000e+02,3.105607566680e+21
5.058200000000e+02,3.112501845773e+21
5.159200000000e+02,3.118600631124e+21
5.264100000000e+02,3.123638758153e+21
5.372800000000e+02,3.127616226860e+21
5.485600000000e+02,3.130267872665e+21
5.602600000000e+02,3.131593695568e+21
5.723600000000e+02,3.131593695568e+21
5.849300000000e+02,3.130267872665e+21
5.979300000000e+02,3.128676885182e+21
8.141700000000e+02,3.040377079880e+21
9.245200000000e+02,2.970373630631e+21
9.486800000000e+02,2.954994084962e+21
9.735600000000e+02,2.939349374714e+21
1.025660000000e+03,2.906999295894e+21
1.052890000000e+03,2.890293927323e+21
1.080960000000e+03,2.873588558753e+21
1.109820000000e+03,2.856618025601e+21
1.139490000000e+03,2.839647492450e+21
1.201410000000e+03,2.804910932406e+21
1.372040000000e+03,2.715020139620e+21
1.446970000000e+03,2.680548744157e+21
1.788360000000e+03,2.549557441396e+21
1.836080000000e+03,2.533647566566e+21
1.884950000000e+03,2.517737691737e+21
1.935040000000e+03,2.502092981488e+21
1.986340000000e+03,2.486713435820e+21
2.038590000000e+03,2.471864219313e+21
2.092690000000e+03,2.456484673644e+21
2.147790000000e+03,2.441635457137e+21
2.204190000000e+03,2.427051405210e+21
2.261970000000e+03,2.412732517864e+21
2.320980000000e+03,2.398678795098e+21
2.381400000000e+03,2.384625072332e+21
2.443210000000e+03,2.371101678727e+21
2.506460000000e+03,2.357843449703e+21
2.571130000000e+03,2.344585220678e+21
2.637250000000e+03,2.331592156234e+21
2.704880000000e+03,2.319129420951e+21
2.774000000000e+03,2.306666685668e+21
2.844630000000e+03,2.294469114966e+21
2.916800000000e+03,2.282536708844e+21
2.990540000000e+03,2.270604302722e+21
3.066040000000e+03,2.258937061180e+21
3.142840000000e+03,2.247800148800e+21
3.221400000000e+03,2.236928401000e+21
3.301720000000e+03,2.226056653200e+21
