# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_50d1f099fb3810ab9e7f"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "70Ge^+(2P3/2)"
# neutral: "Xe"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1 Average of PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1 average of pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 69.9242, M = 131.293, &alpha; = 4.044."
# updated: "2022-01-20 22:07:58"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14056_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "455027430317d211af01cd4de91f2115444a4408122c68bc7bc38f9a3457d899"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,4.960000000000e+19
2.200000000000e-01,4.960000000000e+19
8.900000000000e-01,4.960000000000e+19
1.550000000000e+00,4.960000000000e+19
2.710000000000e+00,4.970000000000e+19
5.320000000000e+00,5.000000000000e+19
8.800000000000e+00,5.070000000000e+19
1.012000000000e+01,5.100000000000e+19
1.164000000000e+01,5.150000000000e+19
1.339000000000e+01,5.210000000000e+19
1.621000000000e+01,5.330000000000e+19
1.702000000000e+01,5.370000000000e+19
1.787000000000e+01,5.410000000000e+19
1.971000000000e+01,5.510000000000e+19
2.174000000000e+01,5.630000000000e+19
2.283000000000e+01,5.700000000000e+19
2.397000000000e+01,5.780000000000e+19
2.518000000000e+01,5.860000000000e+19
2.777000000000e+01,6.060000000000e+19
2.832000000000e+01,6.100000000000e+19
2.889000000000e+01,6.150000000000e+19
2.947000000000e+01,6.190000000000e+19
3.007000000000e+01,6.240000000000e+19
3.067000000000e+01,6.300000000000e+19
3.129000000000e+01,6.350000000000e+19
3.192000000000e+01,6.410000000000e+19
3.256000000000e+01,6.470000000000e+19
3.597000000000e+01,6.800000000000e+19
3.896000000000e+01,7.130000000000e+19
3.974000000000e+01,7.220000000000e+19
4.054000000000e+01,7.310000000000e+19
4.136000000000e+01,7.410000000000e+19
4.304000000000e+01,7.610000000000e+19
4.391000000000e+01,7.720000000000e+19
4.479000000000e+01,7.830000000000e+19
4.756000000000e+01,8.220000000000e+19
5.151000000000e+01,8.810000000000e+19
5.255000000000e+01,8.980000000000e+19
5.691000000000e+01,9.730000000000e+19
5.806000000000e+01,9.940000000000e+19
6.042000000000e+01,1.038000000000e+20
6.163000000000e+01,1.063000000000e+20
6.412000000000e+01,1.114000000000e+20
6.805000000000e+01,1.200000000000e+20
6.941000000000e+01,1.232000000000e+20
7.659000000000e+01,1.410000000000e+20
8.123000000000e+01,1.537000000000e+20
8.611000000000e+01,1.675000000000e+20
8.951000000000e+01,1.775000000000e+20
9.125000000000e+01,1.828000000000e+20
9.303000000000e+01,1.883000000000e+20
9.483000000000e+01,1.940000000000e+20
9.667000000000e+01,1.998000000000e+20
1.004400000000e+02,2.121000000000e+20
1.023700000000e+02,2.185000000000e+20
