# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_1724d174619f9f1754f7"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "72Ge^+(2P)"
# neutral: "Xe"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 131.293, &alpha; = 4.044."
# updated: "2022-02-05 15:10:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14060_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "fc6077eee74b798db46fcf1afb8fb286cc9e3069ad7e322bc5b38605012ffbc3"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,4.890000000000e+19
2.200000000000e-01,4.890000000000e+19
9.000000000000e-01,4.890000000000e+19
1.570000000000e+00,4.900000000000e+19
3.850000000000e+00,4.910000000000e+19
5.390000000000e+00,4.930000000000e+19
6.460000000000e+00,4.950000000000e+19
7.760000000000e+00,4.980000000000e+19
8.920000000000e+00,5.000000000000e+19
1.026000000000e+01,5.040000000000e+19
1.357000000000e+01,5.150000000000e+19
1.493000000000e+01,5.200000000000e+19
1.643000000000e+01,5.260000000000e+19
1.812000000000e+01,5.340000000000e+19
1.903000000000e+01,5.390000000000e+19
1.998000000000e+01,5.440000000000e+19
2.098000000000e+01,5.490000000000e+19
2.203000000000e+01,5.550000000000e+19
2.430000000000e+01,5.690000000000e+19
2.552000000000e+01,5.780000000000e+19
2.681000000000e+01,5.860000000000e+19
2.815000000000e+01,5.960000000000e+19
2.930000000000e+01,6.050000000000e+19
3.049000000000e+01,6.150000000000e+19
3.237000000000e+01,6.300000000000e+19
3.506000000000e+01,6.540000000000e+19
3.577000000000e+01,6.610000000000e+19
3.649000000000e+01,6.680000000000e+19
3.723000000000e+01,6.750000000000e+19
3.798000000000e+01,6.830000000000e+19
4.033000000000e+01,7.070000000000e+19
4.114000000000e+01,7.160000000000e+19
4.283000000000e+01,7.340000000000e+19
4.369000000000e+01,7.440000000000e+19
4.548000000000e+01,7.650000000000e+19
4.640000000000e+01,7.760000000000e+19
5.341000000000e+01,8.700000000000e+19
5.450000000000e+01,8.850000000000e+19
6.026000000000e+01,9.750000000000e+19
6.273000000000e+01,1.016000000000e+20
6.798000000000e+01,1.110000000000e+20
7.077000000000e+01,1.163000000000e+20
7.367000000000e+01,1.221000000000e+20
7.668000000000e+01,1.283000000000e+20
7.982000000000e+01,1.350000000000e+20
8.477000000000e+01,1.462000000000e+20
8.648000000000e+01,1.502000000000e+20
9.182000000000e+01,1.631000000000e+20
9.747000000000e+01,1.774000000000e+20
1.034700000000e+02,1.936000000000e+20
1.165100000000e+02,2.326000000000e+20
1.188400000000e+02,2.406000000000e+20
1.212100000000e+02,2.486000000000e+20
1.236200000000e+02,2.572000000000e+20
1.260900000000e+02,2.664000000000e+20
1.391500000000e+02,3.217000000000e+20
1.419100000000e+02,3.353000000000e+20
1.447300000000e+02,3.497000000000e+20
1.759500000000e+02,5.708000000000e+20
1.793700000000e+02,6.024000000000e+20
1.828500000000e+02,6.344000000000e+20
1.863700000000e+02,6.689000000000e+20
1.899500000000e+02,7.054000000000e+20
1.935700000000e+02,7.439000000000e+20
2.009400000000e+02,8.200000000000e+20
2.047000000000e+02,8.609000000000e+20
2.084800000000e+02,9.011000000000e+20
2.123000000000e+02,9.418000000000e+20
