# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_1d046ab8fd13f635eda3"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P)"
# neutral: "Xe"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 131.293, &alpha; = 4.044."
# updated: "2022-02-05 15:10:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14060_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "c105f0a582c6973b30afb6fc22567706f0840e78e78539a5711cf55f58c81c20"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,2.801463792860e+21
2.200000000000e-01,2.801463792860e+21
9.000000000000e-01,2.801463792860e+21
1.570000000000e+00,2.801463792860e+21
3.850000000000e+00,2.801198628279e+21
5.390000000000e+00,2.800933463699e+21
6.460000000000e+00,2.800933463699e+21
7.760000000000e+00,2.800668299118e+21
8.920000000000e+00,2.800403134538e+21
1.026000000000e+01,2.799872805377e+21
1.357000000000e+01,2.798812147055e+21
1.493000000000e+01,2.798281817894e+21
1.643000000000e+01,2.797751488733e+21
1.812000000000e+01,2.796955994991e+21
1.903000000000e+01,2.796425665830e+21
1.998000000000e+01,2.795895336669e+21
2.098000000000e+01,2.795365007508e+21
2.203000000000e+01,2.794834678347e+21
2.430000000000e+01,2.793508855445e+21
2.552000000000e+01,2.792713361704e+21
2.681000000000e+01,2.791917867962e+21
2.815000000000e+01,2.791122374221e+21
2.930000000000e+01,2.790326880479e+21
3.049000000000e+01,2.789531386738e+21
3.237000000000e+01,2.788205563835e+21
3.506000000000e+01,2.786349411772e+21
3.577000000000e+01,2.785819082611e+21
3.649000000000e+01,2.785288753450e+21
3.723000000000e+01,2.784758424289e+21
3.798000000000e+01,2.784228095128e+21
4.033000000000e+01,2.782371943065e+21
4.114000000000e+01,2.781841613904e+21
4.283000000000e+01,2.780515791001e+21
4.369000000000e+01,2.779985461840e+21
4.548000000000e+01,2.778659638938e+21
4.640000000000e+01,2.778129309777e+21
5.341000000000e+01,2.773356347328e+21
5.450000000000e+01,2.772560853586e+21
6.026000000000e+01,2.769644043201e+21
6.273000000000e+01,2.768848549460e+21
6.798000000000e+01,2.767257561977e+21
7.077000000000e+01,2.766462068235e+21
7.367000000000e+01,2.765666574494e+21
