# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_8ef72f32bda4c36cfe18"
# quantity: "reduced_mobility"
# reduced_quantity: "K0_times_N0"
# units: "1/(m V s)"
# ion: "72Ge^+(2P)"
# neutral: "Xe"
# gas_temperature_K: 400.0
# database: "Viehland database"
# process: "Mobility (Ko)"
# parameters: "Tgas = 400 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. 1:1:1 Average of PI-1/2, PI-3/2 and Sigma-1/2 CBS Potentials. These values were obtained after the zeroes of the potentials were shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. 1:1:1 average of pi-1/2, pi-3/2 and sigma-1/2 cbs potentials. these values were obtained after the zeroes of the potentials were shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 131.293, &alpha; = 4.044."
# updated: "2022-02-05 15:10:59"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14060_neutral_39_40_208/005_mobility_vs_reduced_electric_field.txt"
# source_file_sha256: "c105f0a582c6973b30afb6fc22567706f0840e78e78539a5711cf55f58c81c20"
reduced_electric_field_Td,reduced_transport_SI
8.000000000000e-02,2.762484599528e+21
3.200000000000e-01,2.762484599528e+21
1.290000000000e+00,2.762484599528e+21
2.250000000000e+00,2.762484599528e+21
3.940000000000e+00,2.762484599528e+21
5.520000000000e+00,2.762484599528e+21
7.720000000000e+00,2.762219434947e+21
9.270000000000e+00,2.762219434947e+21
1.112000000000e+01,2.761954270367e+21
1.279000000000e+01,2.761689105786e+21
1.471000000000e+01,2.761423941206e+21
1.692000000000e+01,2.761158776625e+21
1.946000000000e+01,2.760628447464e+21
2.141000000000e+01,2.760363282884e+21
2.355000000000e+01,2.760098118303e+21
2.473000000000e+01,2.759832953723e+21
2.597000000000e+01,2.759567789143e+21
2.727000000000e+01,2.759302624562e+21
2.864000000000e+01,2.759037459982e+21
3.007000000000e+01,2.758772295401e+21
3.158000000000e+01,2.758507130821e+21
3.316000000000e+01,2.758241966240e+21
3.482000000000e+01,2.757976801660e+21
3.657000000000e+01,2.757711637079e+21
3.840000000000e+01,2.757446472499e+21
4.114000000000e+01,2.756916143338e+21
4.280000000000e+01,2.756650978757e+21
4.454000000000e+01,2.756385814177e+21
4.634000000000e+01,2.756120649596e+21
4.822000000000e+01,2.755855485016e+21
5.018000000000e+01,2.755590320435e+21
5.221000000000e+01,2.755325155855e+21
5.326000000000e+01,2.755325155855e+21
5.541000000000e+01,2.755059991274e+21
5.766000000000e+01,2.754794826694e+21
5.882000000000e+01,2.754794826694e+21
6.243000000000e+01,2.754794826694e+21
6.368000000000e+01,2.754794826694e+21
6.496000000000e+01,2.754794826694e+21
6.626000000000e+01,2.754794826694e+21
6.759000000000e+01,2.754794826694e+21
6.894000000000e+01,2.754794826694e+21
7.032000000000e+01,2.754794826694e+21
7.173000000000e+01,2.754794826694e+21
7.317000000000e+01,2.754794826694e+21
7.463000000000e+01,2.754794826694e+21
7.765000000000e+01,2.754529662113e+21
8.241000000000e+01,2.754264497533e+21
8.407000000000e+01,2.754264497533e+21
8.575000000000e+01,2.754264497533e+21
8.745000000000e+01,2.754529662113e+21
8.919000000000e+01,2.754794826694e+21
9.465000000000e+01,2.755059991274e+21
9.846000000000e+01,2.755325155855e+21
1.004200000000e+02,2.755590320435e+21
1.044700000000e+02,2.755855485016e+21
1.065500000000e+02,2.756120649596e+21
1.086800000000e+02,2.756385814177e+21
1.130500000000e+02,2.757181307918e+21
1.176000000000e+02,2.757976801660e+21
1.247700000000e+02,2.759832953723e+21
1.350600000000e+02,2.764075587011e+21
1.460700000000e+02,2.772560853586e+21
1.518400000000e+02,2.779189968099e+21
1.578700000000e+02,2.786349411772e+21
