# format: "paschen-1d-ion-transport-v1"
# dataset_id: "lxcat_15da5e8bbd090b855ff2"
# quantity: "reduced_longitudinal_diffusion"
# reduced_quantity: "N_times_D_longitudinal"
# units: "1/(m s)"
# ion: "72Ge^+(2P1/2)"
# neutral: "Xe"
# gas_temperature_K: 200.0
# database: "Viehland database"
# process: "Diffusion x gas density (NDz)"
# parameters: "Tgas = 200 K"
# group_comment: "A. R. Davies, A. Cranney, L. A. Viehland and T. G. Wright, Phys. Chem. Chem. Phys., submitted December 14, 2021. PI-1/2 CBS Potential. These values were obtained after the zero of this potential was shifted; see L. A. Viehland, T. Skaist, C. Adhikari and W. F. Siems, Int. J. Ion Mobility Spectrom. 20 (2017) 1-9. The accuracies are limited by the potentials, as described in the paper."
# source_family: "a. r. davies, a. cranney, l. a. viehland and t. g. wright, phys. chem. chem. phys., submitted december 14, 2021. pi-1/2 cbs potential. these values were obtained after the zero of this potential was shifted; see l. a. viehland, t. skaist, c. adhikari and w. f. siems, int. j. ion transport spectrom. 20 (2017) 1-9. the accuracies are limited by the potentials, as described in the paper."
# comment: "Mi = 71.9221, M = 131.293, &alpha; = 4.044."
# updated: "2022-01-15 19:59:33"
# permalink: "www.lxcat.net/Viehland"
# reference: "L. A. Viehland and C. C. Kirkpatrick, Int. J. Mass Spectrom. Ion Proc. 149/150 (1995) 555."
# source_file: "raw_lxcat/lxcat_ion_swarm_2026-07-21/batches/ion_14061_neutral_39_40_208/001_diffusion_x_gas_density_vs_reduced_electric_field.txt"
# source_file_sha256: "497e3b150b75d2fbb6cfc01f88a37f32bff0f0d64c4aa04691df7c330a7626c7"
reduced_electric_field_Td,reduced_transport_SI
6.000000000000e-02,4.850000000000e+19
9.000000000000e-01,4.850000000000e+19
1.580000000000e+00,4.860000000000e+19
3.880000000000e+00,4.870000000000e+19
5.430000000000e+00,4.890000000000e+19
7.820000000000e+00,4.930000000000e+19
8.990000000000e+00,4.960000000000e+19
1.034000000000e+01,4.990000000000e+19
1.369000000000e+01,5.100000000000e+19
1.506000000000e+01,5.150000000000e+19
1.657000000000e+01,5.210000000000e+19
1.919000000000e+01,5.330000000000e+19
2.015000000000e+01,5.380000000000e+19
2.117000000000e+01,5.430000000000e+19
2.335000000000e+01,5.560000000000e+19
2.452000000000e+01,5.630000000000e+19
2.576000000000e+01,5.710000000000e+19
2.842000000000e+01,5.880000000000e+19
2.958000000000e+01,5.970000000000e+19
3.079000000000e+01,6.060000000000e+19
3.269000000000e+01,6.200000000000e+19
3.336000000000e+01,6.250000000000e+19
3.403000000000e+01,6.310000000000e+19
3.472000000000e+01,6.370000000000e+19
3.688000000000e+01,6.550000000000e+19
3.762000000000e+01,6.610000000000e+19
3.839000000000e+01,6.680000000000e+19
3.997000000000e+01,6.830000000000e+19
4.078000000000e+01,6.900000000000e+19
4.161000000000e+01,6.980000000000e+19
4.332000000000e+01,7.150000000000e+19
4.421000000000e+01,7.240000000000e+19
4.511000000000e+01,7.330000000000e+19
4.603000000000e+01,7.420000000000e+19
4.697000000000e+01,7.520000000000e+19
4.794000000000e+01,7.620000000000e+19
4.992000000000e+01,7.840000000000e+19
5.199000000000e+01,8.070000000000e+19
5.307000000000e+01,8.200000000000e+19
5.758000000000e+01,8.730000000000e+19
5.998000000000e+01,9.020000000000e+19
6.123000000000e+01,9.180000000000e+19
6.512000000000e+01,9.690000000000e+19
6.648000000000e+01,9.870000000000e+19
6.787000000000e+01,1.006000000000e+20
6.928000000000e+01,1.026000000000e+20
7.073000000000e+01,1.046000000000e+20
7.221000000000e+01,1.067000000000e+20
7.373000000000e+01,1.089000000000e+20
7.527000000000e+01,1.112000000000e+20
7.686000000000e+01,1.136000000000e+20
8.013000000000e+01,1.186000000000e+20
8.182000000000e+01,1.212000000000e+20
8.355000000000e+01,1.240000000000e+20
8.532000000000e+01,1.268000000000e+20
9.479000000000e+01,1.430000000000e+20
9.681000000000e+01,1.466000000000e+20
9.888000000000e+01,1.505000000000e+20
1.031600000000e+02,1.586000000000e+20
1.053800000000e+02,1.630000000000e+20
1.076400000000e+02,1.676000000000e+20
1.099600000000e+02,1.724000000000e+20
1.123300000000e+02,1.775000000000e+20
1.147500000000e+02,1.829000000000e+20
1.197700000000e+02,1.945000000000e+20
1.223600000000e+02,2.010000000000e+20
1.250100000000e+02,2.078000000000e+20
1.277200000000e+02,2.151000000000e+20
1.304900000000e+02,2.230000000000e+20
1.333200000000e+02,2.314000000000e+20
1.362100000000e+02,2.406000000000e+20
1.391700000000e+02,2.505000000000e+20
1.452700000000e+02,2.730000000000e+20
1.484200000000e+02,2.859000000000e+20
1.516300000000e+02,2.999000000000e+20
1.549100000000e+02,3.155000000000e+20
1.582500000000e+02,3.326000000000e+20
1.616600000000e+02,3.518000000000e+20
1.759800000000e+02,4.533000000000e+20
1.796700000000e+02,4.851000000000e+20
1.834600000000e+02,5.239000000000e+20
